# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
1 99916737153.500000  -0.005064 0.004882 79658  -0.000008 0.001247 0.039080 0.046758  -0.660714 0.055385   78977 -0.000008 0.001204 -0.000023
2 99923527001.000000  -0.004475 0.004676 79646  0.000014 0.001211 -0.008823 -0.105686  1.130751 -0.094785   79248 0.000016 0.001187 0.000024
3 99930316848.500000  -0.004911 0.004328 79651  -0.000001 0.001200 -0.126519 0.025168  -0.089033 0.007463   79074 0.000005 0.001165 0.000038
4 99937106696.000000  -0.004008 0.004591 79648  -0.000004 0.001180 0.089219 -0.005020  -0.280388 0.023504   79095 -0.000018 0.001147 -0.000010
5 99943896543.500000  -0.003836 0.004884 79664  0.000017 0.001178 0.131938 0.114912  1.391668 -0.116657   78956 -0.000001 0.001134 -0.000003
6 99950686391.000000  -0.004203 0.009655 79650  0.000033 0.001220 0.677556 3.344635  2.650418 -0.222172   78560 -0.000004 0.001101 -0.000008
7 99957476238.500000  -0.003828 0.014086 79646  0.000069 0.001322 1.237376 7.636583  5.476148 -0.459040   78431 0.000005 0.001149 0.000001
8 99964266086.000000  -0.004227 0.052918 79650  0.000270 0.002715 8.260253 104.421576  21.516276 -1.803608   77626 -0.000016 0.001216 -0.000030
9 99971055933.500000  -0.004158 0.054161 79652  0.000355 0.003134 8.158043 89.552535  28.291739 -2.371563   77553 -0.000014 0.001143 -0.000012
10 99977845781.000000  -0.004307 0.141319 79653  0.000596 0.005698 13.161740 222.526887  47.463452 -3.978637   77283 -0.000010 0.001169 -0.000024
11 99984635628.500000  -0.004944 0.142529 79652  0.000533 0.005677 13.711056 240.886580  42.486045 -3.561405   77376 -0.000042 0.001228 -0.000026
12 99991425476.000000  -0.006065 0.136268 79646  0.000480 0.005102 15.144245 291.752686  38.229251 -3.204578   77226 0.000020 0.001234 0.000015
13 99998215323.500000  -0.004554 0.093528 79648  0.000327 0.003720 12.692051 220.262931  26.047600 -2.183447   77462 -0.000050 0.001185 -0.000062
14 100005005171.000000  -0.004329 0.077471 79646  0.000382 0.003783 9.971676 126.745569  30.410631 -2.549180   77706 -0.000017 0.001130 -0.000026
15 100011795018.500000  -0.004338 0.134942 79660  0.000544 0.005680 12.505631 194.164502  43.350252 -3.633847   77596 -0.000019 0.001176 -0.000031
16 100018584866.000000  -0.004776 0.154940 79643  0.000536 0.006363 14.452774 245.832507  42.720674 -3.581072   77893 -0.000012 0.001168 -0.000031
17 100025374713.500000  -0.004489 0.101599 79643  0.000347 0.004448 13.461454 218.661416  27.600315 -2.313604   77998 -0.000024 0.001193 -0.000019
18 100032164561.000000  -0.003853 0.036910 79645  0.000148 0.002103 8.571382 114.325436  11.822141 -0.990994   78449 -0.000009 0.001122 -0.000013
19 100038954408.500000  -0.004325 0.021041 79648  0.000049 0.001349 3.314559 36.782214  3.919076 -0.328518   78663 -0.000009 0.001072 0.000000
20 100045744256.000000  -0.004188 0.012655 79648  0.000037 0.001184 0.809048 5.843978  2.928809 -0.245508   79052 0.000013 0.001097 -0.000005
21 100052534103.500000  -0.003912 0.004175 79648  0.000013 0.001131 -0.036237 -0.104923  1.048683 -0.087906   79278 0.000010 0.001109 0.000024
22 100059323951.000000  -0.004160 0.003997 79653  -0.000007 0.001124 0.018189 -0.027058  -0.588705 0.049348   79107 -0.000010 0.001094 -0.000013
23 100066113798.500000  -0.004700 0.004149 79657  -0.000019 0.001136 -0.127072 0.203548  -1.529000 0.128169   78829 -0.000004 0.001085 -0.000002
24 100072903646.000000  -0.003917 0.003724 79657  -0.000006 0.001056 0.033608 -0.179777  -0.493938 0.041404   79331 -0.000005 0.001039 -0.000009
25 100079693493.500000  -0.004377 0.004177 79659  0.000003 0.001184 -0.047239 0.119282  0.233274 -0.019554   78827 0.000008 0.001135 0.000002
26 100086483341.000000  -0.004620 0.003969 79650  -0.000005 0.001117 0.026903 0.045874  -0.362020 0.030346   79092 -0.000003 0.001083 -0.000020
27 100093273188.500000  -0.004972 0.003950 79651  -0.000005 0.001101 -0.098282 0.183325  -0.433012 0.036297   78923 0.000004 0.001056 0.000020
28 100100063036.000000  -0.004811 0.004852 79651  0.000004 0.001115 -0.053181 0.185268  0.330245 -0.027683   78903 0.000006 0.001068 0.000013
29 100106852883.500000  -0.003883 0.004093 79652  -0.000018 0.001098 0.024948 -0.130396  -1.410446 0.118231   79258 -0.000019 0.001076 -0.000030
30 100113642731.000000  -0.004186 0.004144 79652  0.000003 0.001074 0.046023 0.173377  0.208134 -0.017447   78746 -0.000002 0.001026 -0.000015
