# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
31 100120432578.500000  -0.004125 0.003502 79653  -0.000000 0.001013 -0.085813 0.005936  -0.015562 0.001305   79055 0.000008 0.000983 0.000018
32 100127222426.000000  -0.004211 0.003894 79653  -0.000012 0.001072 0.109722 -0.038641  -0.970178 0.081325   79100 -0.000021 0.001042 -0.000039
33 100134012273.500000  -0.004473 0.004460 79654  0.000000 0.001107 -0.047369 0.119654  0.029005 -0.002431   78986 0.000005 0.001066 0.000015
34 100140802121.000000  -0.004153 0.003821 79651  -0.000006 0.001022 -0.062165 0.043770  -0.440619 0.036935   78998 -0.000002 0.000988 0.000010
35 100147591968.500000  -0.003907 0.004287 79648  0.000003 0.001101 0.048357 -0.093396  0.238138 -0.019962   79218 0.000003 0.001075 -0.000008
36 100154381816.000000  -0.004016 0.004602 79662  -0.000006 0.001048 0.194165 0.072107  -0.475467 0.039856   78990 -0.000018 0.001011 -0.000052
37 100161171663.500000  -0.004660 0.003855 79654  -0.000000 0.001088 -0.067415 -0.033642  -0.026675 0.002236   79161 0.000004 0.001060 0.000013
38 100167961511.000000  -0.004305 0.004766 79655  0.000005 0.001093 0.078402 0.198701  0.364594 -0.030562   78868 -0.000009 0.001046 -0.000005
39 100174751358.500000  -0.004278 0.003667 79655  -0.000013 0.001077 -0.158658 0.040361  -1.047682 0.087822   79079 0.000003 0.001042 0.000006
40 100181541206.000000  -0.004276 0.004483 79659  -0.000009 0.001100 0.096569 -0.018157  -0.682411 0.057203   79172 -0.000013 0.001073 -0.000027
41 100188331053.500000  -0.004266 0.004015 79659  0.000011 0.001092 0.059698 -0.017727  0.891334 -0.074716   79150 0.000006 0.001063 -0.000001
42 100195120901.000000  -0.004580 0.004755 79659  -0.000018 0.001075 -0.005769 0.118886  -1.406695 0.117917   79093 -0.000015 0.001040 -0.000009
43 100201910748.500000  -0.004042 0.003936 79660  -0.000009 0.001122 -0.018609 -0.090900  -0.725744 0.060836   79213 -0.000008 0.001097 -0.000003
44 100208700596.000000  -0.003550 0.003995 79660  0.000018 0.001059 0.027981 -0.077169  1.439688 -0.120682   79200 0.000014 0.001035 0.000008
45 100215490443.500000  -0.004830 0.003661 79661  -0.000003 0.001031 -0.106101 0.174598  -0.257618 0.021595   78928 0.000003 0.000990 0.000024
46 100222280291.000000  -0.003643 0.004281 79668  0.000007 0.001085 0.014189 -0.087820  0.593521 -0.049752   79202 0.000004 0.001059 0.000012
47 100229070138.500000  -0.004255 0.003868 79664  -0.000016 0.001057 0.003695 -0.045936  -1.309908 0.109803   79207 -0.000017 0.001031 -0.000014
48 100235859986.000000  -0.004409 0.004245 79666  0.000016 0.001070 -0.060245 0.164844  1.298688 -0.108863   78893 0.000024 0.001027 0.000025
49 100242649833.500000  -0.004082 0.003755 79666  -0.000004 0.001080 -0.027131 -0.097695  -0.295850 0.024800   79251 0.000001 0.001057 -0.000012
50 100249439681.000000  -0.004020 0.003759 79665  -0.000002 0.001076 -0.124457 -0.053752  -0.146006 0.012239   79150 0.000009 0.001048 0.000029
51 100256229528.500000  -0.003674 0.004069 79662  0.000005 0.000997 0.021936 -0.166104  0.415704 -0.034846   79300 0.000001 0.000978 0.000007
52 100263019376.000000  -0.003946 0.004356 79659  -0.000018 0.001067 0.032629 0.033166  -1.464885 0.122794   79072 -0.000023 0.001034 -0.000017
53 100269809223.500000  -0.003709 0.003871 79658  -0.000000 0.001036 -0.006236 -0.104032  -0.012801 0.001073   79211 -0.000003 0.001012 0.000006
54 100276599071.000000  -0.004369 0.004316 79661  0.000006 0.001085 -0.009000 0.111072  0.451396 -0.037838   78962 0.000009 0.001045 0.000010
55 100283388918.500000  -0.004064 0.004471 79662  0.000013 0.001062 -0.073010 0.042503  1.015034 -0.085086   79047 0.000018 0.001027 0.000026
56 100290178766.000000  -0.004595 0.003953 79646  0.000001 0.001094 -0.037911 0.063705  0.102618 -0.008602   79015 0.000002 0.001058 0.000019
57 100296968613.500000  -0.004678 0.003917 79677  -0.000015 0.001079 -0.129871 0.118571  -1.187434 0.099537   79005 -0.000005 0.001040 0.000008
58 100303758461.000000  -0.004383 0.003954 79655  0.000005 0.001078 -0.061542 -0.046609  0.406308 -0.034059   79160 0.000013 0.001050 -0.000004
59 100310548308.500000  -0.004295 0.003908 79654  -0.000003 0.000991 0.022799 0.150736  -0.254789 0.021358   78880 -0.000004 0.000952 -0.000020
60 100317338156.000000  -0.004186 0.005042 79654  0.000002 0.001086 0.116759 0.097592  0.171852 -0.014406   79036 -0.000005 0.001049 -0.000021
61 100324128003.500000  -0.003879 0.003617 79653  -0.000010 0.001098 -0.108356 0.014034  -0.822994 0.068988   78950 0.000001 0.001060 0.000012
62 100330917851.000000  -0.004025 0.003848 79652  -0.000011 0.001037 0.034046 -0.048022  -0.901657 0.075582   79140 -0.000014 0.001010 -0.000021
63 100337707698.500000  -0.004207 0.004009 79651  -0.000015 0.001030 -0.117808 0.061136  -1.178220 0.098765   79049 -0.000006 0.000996 0.000010
64 100344497546.000000  -0.005012 0.003905 79649  -0.000016 0.001091 -0.133051 0.073325  -1.313190 0.110079   79012 -0.000005 0.001054 0.000012
65 100351287393.500000  -0.003989 0.003995 79650  -0.000014 0.001074 -0.068260 -0.018129  -1.123329 0.094163   79100 -0.000005 0.001043 -0.000003
66 100358077241.000000  -0.003289 0.004837 79650  0.000019 0.001055 0.186176 0.129722  1.479275 -0.124001   79076 0.000001 0.001021 -0.000018
67 100364867088.500000  -0.004807 0.004154 79663  0.000024 0.001087 -0.037128 0.159208  1.940332 -0.162649   79008 0.000030 0.001048 0.000022
68 100371656936.000000  -0.003754 0.003424 79649  0.000011 0.001036 0.003977 -0.045891  0.852240 -0.071439   79057 0.000014 0.001007 0.000005
69 100378446783.500000  -0.004038 0.004793 79651  0.000021 0.001071 -0.044375 0.128338  1.700622 -0.142555   78898 0.000023 0.001029 0.000033
70 100385236631.000000  -0.004400 0.004071 79651  -0.000009 0.001088 0.001885 -0.031894  -0.753650 0.063175   79095 -0.000011 0.001057 -0.000009
71 100392026478.500000  -0.003891 0.004212 79653  -0.000007 0.001052 -0.042540 -0.042176  -0.566212 0.047463   79164 -0.000008 0.001024 0.000004
72 100398816326.000000  -0.004457 0.004887 79658  -0.000003 0.001082 0.095515 0.152917  -0.210805 0.017671   78943 -0.000009 0.001041 -0.000025
73 100405606173.500000  -0.004725 0.004528 79662  -0.000005 0.001102 0.036472 0.092933  -0.424635 0.035595   78983 -0.000010 0.001062 -0.000004
74 100412396021.000000  -0.004818 0.004332 79662  0.000011 0.001062 -0.071120 0.182625  0.862641 -0.072311   78969 0.000018 0.001022 0.000022
75 100419185868.500000  -0.003953 0.004569 79662  -0.000008 0.001013 0.145004 0.102832  -0.636805 0.053380   78928 -0.000022 0.000975 -0.000033
76 100425975716.000000  -0.003878 0.003878 79658  0.000014 0.001062 0.003325 -0.093388  1.152782 -0.096632   79207 0.000012 0.001037 0.000018
77 100432765563.500000  -0.004194 0.004461 79651  -0.000015 0.001076 0.020387 0.059115  -1.218448 0.102137   78964 -0.000015 0.001038 -0.000012
78 100439555411.000000  -0.004737 0.005694 79672  0.000008 0.001107 0.095001 0.370441  0.611216 -0.051235   78976 -0.000003 0.001059 0.000009
79 100446345258.500000  -0.004301 0.005568 79661  0.000007 0.001123 0.158858 0.335599  0.586236 -0.049141   78900 -0.000007 0.001073 -0.000008
80 100453135106.000000  -0.004477 0.005816 79664  0.000006 0.001061 0.094835 0.621150  0.455112 -0.038150   78929 0.000004 0.001009 0.000009
81 100459924953.500000  -0.004060 0.006273 79660  0.000023 0.001072 0.130586 0.306830  1.844402 -0.154608   79125 0.000019 0.001036 0.000007
82 100466714801.000000  -0.003687 0.006508 79657  0.000017 0.001102 0.274436 0.785355  1.386610 -0.116233   78876 -0.000006 0.001042 -0.000009
83 100473504648.500000  -0.003910 0.007149 79658  0.000005 0.001131 0.323099 1.125837  0.389729 -0.032669   78755 -0.000020 0.001061 -0.000034
84 100480294496.000000  -0.003890 0.008349 79658  0.000001 0.001130 0.296163 1.145253  0.090363 -0.007575   79035 -0.000013 0.001078 -0.000032
85 100487084343.500000  -0.003926 0.006575 79654  0.000011 0.001082 0.165545 0.565599  0.846141 -0.070928   78798 -0.000002 0.001028 -0.000012
86 100493874191.000000  -0.003794 0.005535 79653  0.000013 0.001115 0.125592 0.396183  1.022448 -0.085707   78746 0.000001 0.001057 0.000003
87 100500664038.500000  -0.004385 0.008239 79651  0.000009 0.001173 0.267436 0.948842  0.684525 -0.057380   78795 -0.000010 0.001108 -0.000021
88 100507453886.000000  -0.004621 0.009480 79660  0.000016 0.001195 0.519008 2.093200  1.268631 -0.106343   78711 -0.000017 0.001106 -0.000032
89 100514243733.500000  -0.004365 0.012150 79649  0.000049 0.001211 1.053988 6.629889  3.871281 -0.324511   78506 0.000007 0.001069 -0.000010
90 100521033581.000000  -0.004308 0.011406 79654  0.000053 0.001204 1.013351 5.890179  4.206472 -0.352609   78237 0.000004 0.001048 -0.000001
91 100527823428.500000  -0.003971 0.011340 79654  0.000063 0.001282 0.981215 5.297132  5.021710 -0.420946   78445 0.000011 0.001130 0.000001
92 100534613276.000000  -0.004002 0.016691 79647  0.000069 0.001331 1.910068 14.874503  5.472182 -0.458707   78432 0.000002 0.001107 -0.000005
93 100541403123.500000  -0.004849 0.013217 79647  0.000055 0.001299 1.289914 8.253326  4.367817 -0.366133   78179 -0.000001 0.001103 -0.000001
94 100548192971.000000  -0.004932 0.011769 79648  0.000050 0.001236 1.165221 7.750088  3.961763 -0.332096   78788 0.000010 0.001086 0.000017
95 100554982818.500000  -0.004375 0.009427 79647  0.000056 0.001193 0.533170 1.917579  4.469099 -0.374623   78401 0.000016 0.001091 -0.000020
96 100561772666.000000  -0.004599 0.009299 79646  0.000031 0.001189 0.678911 3.414991  2.444753 -0.204932   78326 -0.000007 0.001057 -0.000005
97 100568562513.500000  -0.003712 0.012431 79645  0.000034 0.001199 1.152207 7.712986  2.694527 -0.225869   78842 -0.000005 0.001068 0.000003
98 100575352361.000000  -0.003770 0.011730 79647  0.000028 0.001200 0.965698 6.394086  2.248562 -0.188486   78944 -0.000005 0.001084 0.000010
99 100582142208.500000  -0.004235 0.007928 79642  0.000018 0.001115 0.328522 1.791423  1.465537 -0.122849   78793 0.000007 0.001040 0.000008
100 100588932056.000000  -0.004989 0.004588 79646  0.000002 0.001103 -0.048884 0.114496  0.176224 -0.014772   78998 0.000003 0.001064 0.000021
101 100595721903.500000  -0.004230 0.004334 79647  0.000008 0.001057 0.016149 0.038563  0.632985 -0.053060   79049 0.000009 0.001024 0.000002
102 100602511751.000000  -0.004572 0.003680 79647  -0.000006 0.001080 0.005416 0.072687  -0.493354 0.041356   78970 -0.000010 0.001043 -0.000005
103 100609301598.500000  -0.004120 0.004538 79648  -0.000019 0.001058 0.034243 0.147920  -1.491901 0.125059   78954 -0.000024 0.001019 -0.000019
104 100616091446.000000  -0.004737 0.004089 79652  0.000008 0.001099 -0.058945 0.231851  0.653564 -0.054785   78798 0.000014 0.001050 0.000025
105 100622881293.500000  -0.004175 0.003897 79651  0.000015 0.001115 0.065277 -0.124360  1.162688 -0.097463   79250 0.000013 0.001091 -0.000006
106 100629671141.000000  -0.003867 0.005457 79652  0.000006 0.001147 0.073964 0.017939  0.514199 -0.043103   79150 -0.000002 0.001116 -0.000001
107 100636460988.500000  -0.004040 0.004181 79652  -0.000012 0.001108 -0.103644 0.049663  -0.965824 0.080960   79035 0.000000 0.001074 0.000001
108 100643250836.000000  -0.003982 0.004450 79642  0.000002 0.001111 0.070269 0.124609  0.169923 -0.014244   78911 -0.000005 0.001069 -0.000015
109 100650040683.500000  -0.004502 0.003915 79658  -0.000016 0.001145 -0.044768 -0.009015  -1.259855 0.105608   79074 -0.000011 0.001112 -0.000011
110 100656830531.000000  -0.003830 0.004190 79649  -0.000013 0.001063 0.056619 0.064737  -1.074528 0.090073   78927 -0.000019 0.001024 -0.000020
111 100663620378.500000  -0.003803 0.004892 79645  0.000021 0.001050 0.003148 0.099246  1.656845 -0.138886   78929 0.000022 0.001011 0.000015
112 100670410226.000000  -0.004736 0.004313 79643  0.000002 0.001062 0.054560 0.142589  0.176674 -0.014810   78957 -0.000002 0.001021 -0.000006
113 100677200073.500000  -0.004520 0.003745 79642  0.000020 0.001101 -0.019303 -0.076584  1.615470 -0.135417   79139 0.000021 0.001073 0.000024
114 100683989921.000000  -0.003992 0.003579 79640  0.000006 0.001029 -0.107000 -0.029106  0.450403 -0.037755   79111 0.000013 0.001001 0.000021
115 100690779768.500000  -0.003884 0.004357 79639  0.000008 0.001057 0.036943 -0.069310  0.631304 -0.052919   79195 0.000005 0.001033 0.000003
116 100697569616.000000  -0.004198 0.004038 79638  0.000006 0.001073 -0.020036 0.046119  0.474685 -0.039791   78940 0.000006 0.001035 0.000005
117 100704359463.500000  -0.003713 0.003570 79641  -0.000008 0.001070 0.028672 -0.237647  -0.605750 0.050777   79389 -0.000011 0.001057 -0.000023
118 100711149311.000000  -0.004364 0.003838 79642  -0.000012 0.001044 -0.009400 0.022559  -0.977859 0.081969   79050 -0.000011 0.001012 -0.000014
119 100717939158.500000  -0.004212 0.004207 79644  -0.000008 0.001126 -0.080887 -0.030832  -0.626428 0.052511   79085 -0.000001 0.001094 0.000015
120 100724729006.000000  -0.004378 0.003867 79641  -0.000009 0.001117 -0.036143 -0.098768  -0.732873 0.061433   79236 -0.000006 0.001093 -0.000013
121 100731518853.500000  -0.004417 0.003806 79643  0.000006 0.001061 -0.040970 -0.137100  0.481086 -0.040327   79279 0.000010 0.001041 0.000010
122 100738308701.000000  -0.003974 0.004313 79644  -0.000013 0.001116 -0.025294 -0.072764  -1.060398 0.088888   79150 -0.000015 0.001088 0.000003
123 100745098548.500000  -0.004231 0.004475 79648  -0.000019 0.001142 -0.007269 0.104944  -1.506180 0.126256   78932 -0.000021 0.001099 -0.000014
124 100751888396.000000  -0.004890 0.003889 79647  0.000008 0.001065 -0.130852 0.240325  0.645056 -0.054072   78890 0.000014 0.001019 0.000032
125 100758678243.500000  -0.003854 0.004955 79648  0.000024 0.001066 0.046709 0.003283  1.879800 -0.157575   79222 0.000020 0.001040 0.000020
126 100765468091.000000  -0.003972 0.004350 79645  -0.000012 0.001061 0.017748 0.071247  -0.929450 0.077911   79036 -0.000010 0.001027 -0.000024
127 100772257938.500000  -0.004344 0.004360 79647  0.000001 0.001096 0.057907 0.011164  0.054009 -0.004527   79029 -0.000003 0.001061 -0.000016
128 100779047786.000000  -0.005397 0.004082 79647  0.000004 0.001104 -0.005558 0.007753  0.338921 -0.028410   79170 0.000006 0.001075 -0.000001
129 100785837633.500000  -0.005140 0.004001 79624  -0.000008 0.001157 -0.018054 -0.042978  -0.636950 0.053393   79150 -0.000007 0.001128 -0.000002
130 100792627481.000000  -0.004163 0.004118 79666  -0.000004 0.001129 0.043815 0.032239  -0.279828 0.023457   79004 -0.000012 0.001091 -0.000016
131 100799417328.500000  -0.004002 0.004242 79647  -0.000001 0.001131 0.032487 -0.046595  -0.104211 0.008736   79205 -0.000007 0.001105 -0.000019
132 100806207176.000000  -0.003826 0.004207 79647  0.000007 0.001074 0.089479 0.131297  0.579420 -0.048570   78819 -0.000001 0.001030 -0.000005
133 100812997023.500000  -0.004672 0.005319 79646  0.000018 0.001136 -0.004216 0.115854  1.449254 -0.121484   79072 0.000021 0.001100 0.000019
134 100819786871.000000  -0.004257 0.004241 79645  0.000007 0.001079 -0.004429 -0.027659  0.548744 -0.045999   79145 0.000005 0.001050 0.000019
135 100826576718.500000  -0.004014 0.004140 79643  0.000004 0.001090 0.048536 -0.054945  0.302513 -0.025358   79132 -0.000001 0.001061 -0.000011
136 100833366566.000000  -0.004539 0.004345 79641  0.000017 0.001145 0.037254 0.116339  1.327677 -0.111293   78893 0.000009 0.001100 0.000020
137 100840156413.500000  -0.004573 0.003398 79643  -0.000014 0.001064 -0.105327 0.049759  -1.107405 0.092829   78944 0.000003 0.001027 -0.000003
138 100846946261.000000  -0.004029 0.004834 79643  0.000013 0.001088 -0.035896 0.004897  1.023825 -0.085822   79087 0.000020 0.001055 0.000018
139 100853736108.500000  -0.004920 0.004101 79642  -0.000003 0.001059 -0.038397 0.084181  -0.236697 0.019841   78983 0.000004 0.001024 -0.000002
140 100860525956.000000  -0.004517 0.003886 79650  0.000002 0.001091 -0.070789 -0.019955  0.182622 -0.015308   79119 0.000010 0.001060 0.000019
141 100867315803.500000  -0.004197 0.004427 79644  0.000002 0.001088 0.030931 0.101592  0.121829 -0.010212   78973 -0.000004 0.001049 0.000001
142 100874105651.000000  -0.004275 0.003941 79646  -0.000003 0.001089 0.070929 0.072258  -0.240898 0.020193   78928 -0.000007 0.001049 -0.000030
143 100880895498.500000  -0.004479 0.004378 79647  0.000033 0.001137 0.008370 0.076753  2.627309 -0.220235   78995 0.000030 0.001096 0.000032
144 100887685346.000000  -0.004081 0.004444 79648  -0.000015 0.001062 0.057735 0.107769  -1.173590 0.098376   78955 -0.000024 0.001022 -0.000020
145 100894475193.500000  -0.004187 0.004951 79648  0.000004 0.001142 0.041848 -0.137660  0.352777 -0.029572   79328 0.000000 0.001121 0.000006
146 100901265041.000000  -0.004027 0.003720 79639  0.000011 0.001077 0.022376 -0.068948  0.892900 -0.074848   79148 0.000008 0.001051 0.000008
147 100908054888.500000  -0.004834 0.003834 79637  -0.000006 0.001175 -0.064498 -0.030746  -0.498011 0.041746   79080 -0.000002 0.001143 0.000024
148 100914844736.000000  -0.004000 0.004360 79640  -0.000008 0.001090 -0.108774 -0.119072  -0.672238 0.056351   79219 -0.000001 0.001065 0.000022
149 100921634583.500000  -0.004115 0.005260 79642  0.000010 0.001134 -0.033094 -0.051611  0.792173 -0.066404   79232 0.000010 0.001109 0.000018
150 100928424431.000000  -0.004776 0.003956 79654  0.000005 0.001132 -0.014075 -0.028313  0.437699 -0.036690   79128 0.000006 0.001102 0.000016
151 100935214278.500000  -0.004031 0.004618 79650  0.000022 0.001093 -0.015096 -0.032053  1.770155 -0.148384   79157 0.000019 0.001063 0.000038
152 100942004126.000000  -0.004445 0.004638 79650  0.000013 0.001093 0.020114 0.110313  1.051684 -0.088158   78996 0.000011 0.001054 0.000013
153 100948793973.500000  -0.004041 0.004623 79650  0.000003 0.001082 0.046826 0.095030  0.246164 -0.020635   78998 -0.000001 0.001045 -0.000010
154 100955583821.000000  -0.004231 0.003944 79650  -0.000006 0.001078 -0.066255 0.071554  -0.492058 0.041247   78981 -0.000001 0.001040 0.000014
155 100962373668.500000  -0.003813 0.004271 79649  0.000014 0.001098 0.057725 -0.104093  1.116192 -0.093565   79206 0.000008 0.001073 -0.000002
156 100969163516.000000  -0.003983 0.005077 79646  0.000010 0.001084 0.150733 0.182671  0.808771 -0.067795   78877 -0.000007 0.001038 -0.000025
157 100975953363.500000  -0.003846 0.004228 79645  -0.000005 0.001120 -0.032289 0.045021  -0.412796 0.034603   78978 -0.000007 0.001083 0.000016
158 100982743211.000000  -0.004438 0.004185 79642  -0.000009 0.001089 -0.089280 0.019967  -0.729479 0.061149   79115 0.000004 0.001056 -0.000003
159 100989533058.500000  -0.004788 0.003914 79641  0.000007 0.001091 -0.039291 0.142524  0.574639 -0.048169   78881 0.000016 0.001048 0.000007
160 100996322906.000000  -0.004750 0.004237 79643  0.000013 0.001116 -0.005603 0.199930  1.039177 -0.087109   78685 0.000017 0.001062 0.000014
161 101003112753.500000  -0.004306 0.003716 79651  0.000010 0.001149 -0.065728 0.010862  0.805366 -0.067510   79022 0.000022 0.001112 0.000010
162 101009902601.000000  -0.004490 0.003877 79642  0.000019 0.001098 -0.098971 -0.085357  1.545408 -0.129544   79210 0.000026 0.001073 0.000048
163 101016692448.500000  -0.004288 0.004163 79643  -0.000005 0.001055 0.128373 -0.122230  -0.362558 0.030392   79266 -0.000013 0.001033 -0.000034
164 101023482296.000000  -0.004205 0.004257 79642  0.000004 0.001127 0.033525 0.019530  0.289424 -0.024261   78980 -0.000001 0.001090 0.000001
165 101030272143.500000  -0.003902 0.003626 79640  0.000008 0.001062 -0.015037 -0.042045  0.675768 -0.056646   79141 0.000009 0.001035 0.000010
166 101037061991.000000  -0.004727 0.005724 79640  0.000007 0.001127 0.040048 0.278067  0.526902 -0.044168   78819 0.000006 0.001077 0.000001
167 101043851838.500000  -0.004447 0.004241 79639  0.000005 0.001114 -0.089502 0.045034  0.417449 -0.034993   78987 0.000012 0.001077 0.000024
168 101050641686.000000  -0.003734 0.004083 79639  -0.000008 0.001116 0.014666 -0.099902  -0.671103 0.056255   79166 -0.000008 0.001090 -0.000021
169 101057431533.500000  -0.004547 0.005264 79639  -0.000003 0.001114 0.146768 0.268515  -0.267931 0.022459   78737 -0.000020 0.001059 -0.000023
170 101064221381.000000  -0.004222 0.005588 79641  0.000020 0.001092 0.089848 0.203334  1.611972 -0.135124   78996 0.000012 0.001051 0.000014
171 101071011228.500000  -0.004526 0.004852 79647  0.000019 0.001141 0.049453 0.157990  1.499697 -0.125713   78898 0.000012 0.001095 0.000010
172 101077801076.000000  -0.003783 0.006492 79639  0.000018 0.001079 0.053603 0.352286  1.438321 -0.120568   79064 0.000011 0.001040 0.000022
173 101084590923.500000  -0.003683 0.004768 79639  0.000012 0.001141 0.157619 0.094838  0.972205 -0.081495   78916 -0.000005 0.001098 -0.000021
174 101091380771.000000  -0.004077 0.003806 79637  0.000007 0.001086 0.081418 -0.080258  0.595022 -0.049878   79134 0.000005 0.001060 -0.000021
175 101098170618.500000  -0.004513 0.004744 79636  0.000004 0.001113 0.108039 0.150869  0.285369 -0.023921   78968 -0.000007 0.001071 -0.000028
176 101104960466.000000  -0.004437 0.005581 79635  0.000006 0.001178 0.012813 0.093558  0.507108 -0.042508   79063 0.000002 0.001140 0.000011
177 101111750313.500000  -0.003403 0.007339 79636  0.000019 0.001103 0.295218 0.815189  1.519777 -0.127396   78707 -0.000006 0.001040 -0.000022
178 101118540161.000000  -0.003761 0.004647 79634  0.000006 0.001086 0.052643 0.056102  0.467602 -0.039197   78997 0.000001 0.001050 -0.000009
179 101125330008.500000  -0.004056 0.003786 79632  0.000002 0.001077 0.013884 0.034347  0.122956 -0.010307   79029 -0.000000 0.001044 -0.000008
180 101132119856.000000  -0.004541 0.004252 79634  0.000007 0.001150 -0.010486 0.080606  0.589431 -0.049409   78957 0.000009 0.001109 0.000001
181 101138909703.500000  -0.004907 0.004619 79636  -0.000017 0.001127 -0.017700 0.086050  -1.375142 0.115272   79040 -0.000012 0.001089 -0.000025
182 101145699551.000000  -0.004120 0.004090 79642  -0.000025 0.001159 -0.032493 -0.061635  -1.989287 0.166753   79148 -0.000024 0.001131 -0.000020
183 101152489398.500000  -0.004169 0.004730 79635  -0.000019 0.001132 -0.011564 -0.014045  -1.536370 0.128787   79116 -0.000015 0.001102 -0.000016
184 101159279246.000000  -0.004021 0.004364 79630  0.000025 0.001063 -0.030472 -0.012584  1.977091 -0.165730   79051 0.000027 0.001032 0.000034
185 101166069093.500000  -0.003892 0.004969 79628  0.000018 0.001124 0.087026 0.014370  1.443060 -0.120965   79078 0.000013 0.001091 -0.000008
