# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
1 99442549037.500000  -0.002745 0.003252 74387  0.000001 0.000700 0.002449 0.077859  0.042153 -0.003453   73744 0.000001 0.000676 0.000002
2 99449183332.000000  -0.002927 0.003250 74372  0.000007 0.000642 -0.026827 0.106386  0.486493 -0.039846   73750 0.000008 0.000619 0.000011
3 99455817626.500000  -0.002875 0.003434 74373  -0.000002 0.000679 0.043211 0.091186  -0.142436 0.011666   73794 -0.000006 0.000656 -0.000006
4 99462451921.000000  -0.003125 0.002560 74371  0.000001 0.000641 -0.002154 0.043309  0.042548 -0.003485   73808 0.000001 0.000620 -0.000001
5 99469086215.500000  -0.002742 0.002677 74374  -0.000002 0.000662 0.016430 0.014082  -0.163003 0.013351   73805 -0.000003 0.000642 -0.000004
6 99475720510.000000  -0.002693 0.002970 74376  -0.000005 0.000641 -0.033465 -0.022148  -0.391355 0.032054   73897 -0.000004 0.000624 0.000001
7 99482354804.500000  -0.002759 0.002579 74373  -0.000001 0.000649 -0.011694 -0.044577  -0.054313 0.004448   73898 0.000001 0.000632 0.000002
8 99488989099.000000  -0.003300 0.002754 74376  -0.000003 0.000683 0.000434 0.081108  -0.201938 0.016540   73777 -0.000003 0.000659 -0.000006
9 99495623393.500000  -0.002779 0.002641 74372  0.000001 0.000648 0.004608 0.025588  0.064085 -0.005249   73807 0.000001 0.000628 0.000005
10 99502257688.000000  -0.002810 0.002978 74376  0.000001 0.000659 0.014785 -0.000160  0.062867 -0.005149   73866 0.000001 0.000640 -0.000001
11 99508891982.500000  -0.002519 0.002826 74370  -0.000004 0.000647 -0.013614 -0.040925  -0.272138 0.022289   73891 -0.000004 0.000630 -0.000004
12 99515526277.000000  -0.002707 0.002829 74369  0.000001 0.000641 -0.012052 0.054762  0.090063 -0.007377   73763 0.000001 0.000619 0.000006
13 99522160571.500000  -0.002738 0.002569 74372  0.000002 0.000662 -0.007143 0.008307  0.128058 -0.010489   73796 0.000002 0.000641 0.000002
14 99528794866.000000  -0.002637 0.003037 74367  -0.000002 0.000630 -0.032115 -0.020177  -0.154554 0.012659   73879 -0.000001 0.000613 0.000003
15 99535429160.500000  -0.002703 0.002522 74376  0.000002 0.000661 -0.023038 0.023079  0.172149 -0.014100   73809 0.000004 0.000640 0.000004
16 99542063455.000000  -0.002781 0.002548 74372  0.000000 0.000646 -0.000382 -0.010590  0.009985 -0.000818   73841 0.000001 0.000627 -0.000002
17 99548697749.500000  -0.002590 0.003022 74376  0.000002 0.000655 0.034226 0.035499  0.120006 -0.009829   73812 -0.000000 0.000635 -0.000002
18 99555332044.000000  -0.002942 0.002692 74368  -0.000001 0.000628 0.013414 -0.013777  -0.059783 0.004897   73866 -0.000002 0.000610 0.000000
19 99561966338.500000  -0.003024 0.002874 74364  0.000001 0.000650 -0.015506 0.044959  0.055814 -0.004571   73782 0.000002 0.000629 0.000005
20 99568600633.000000  -0.002807 0.002669 74365  0.000000 0.000673 -0.007715 -0.050531  0.023986 -0.001965   73935 0.000001 0.000657 0.000001
21 99575234927.500000  -0.002803 0.002982 74360  -0.000001 0.000624 0.002206 -0.019205  -0.050110 0.004104   73915 -0.000000 0.000607 -0.000002
22 99581869222.000000  -0.002672 0.002573 74368  -0.000004 0.000663 -0.017102 0.075605  -0.328482 0.026904   73726 -0.000003 0.000640 -0.000004
23 99588503516.500000  -0.002639 0.002436 74363  0.000001 0.000654 0.015898 -0.065281  0.111262 -0.009113   73904 0.000001 0.000638 -0.000004
24 99595137811.000000  -0.002773 0.002527 74367  -0.000003 0.000633 -0.000257 -0.018267  -0.193321 0.015834   73849 -0.000001 0.000615 -0.000004
25 99601772105.500000  -0.003230 0.003012 74370  0.000000 0.000660 -0.006816 0.143349  0.017578 -0.001440   73756 0.000001 0.000636 0.000002
26 99608406400.000000  -0.002968 0.002508 74366  0.000001 0.000630 -0.023016 0.010297  0.087823 -0.007193   73840 0.000002 0.000612 0.000005
27 99615040694.500000  -0.002913 0.002770 74373  0.000001 0.000656 -0.025083 0.077529  0.071984 -0.005896   73778 0.000002 0.000634 0.000007
28 99621674989.000000  -0.002965 0.002610 74370  -0.000001 0.000625 0.005654 -0.042152  -0.079936 0.006547   73922 -0.000002 0.000609 0.000001
29 99628309283.500000  -0.002559 0.002607 74366  0.000003 0.000627 0.007463 -0.031039  0.194601 -0.015939   73907 0.000002 0.000610 0.000001
30 99634943578.000000  -0.002429 0.002927 74376  0.000000 0.000638 0.010970 0.047368  0.000129 -0.000011   73809 -0.000001 0.000618 0.000003
31 99641577872.500000  -0.002612 0.002392 74371  -0.000001 0.000621 0.021316 0.000888  -0.053971 0.004420   73821 -0.000002 0.000602 -0.000006
32 99648212167.000000  -0.002792 0.002691 74374  -0.000002 0.000653 0.004971 -0.008574  -0.155328 0.012722   73894 -0.000003 0.000636 -0.000004
33 99654846461.500000  -0.002795 0.002672 74368  0.000002 0.000643 -0.020698 -0.076058  0.112419 -0.009208   73958 0.000002 0.000628 0.000003
34 99661480756.000000  -0.002659 0.002732 74366  -0.000001 0.000638 0.024714 0.053098  -0.067250 0.005508   73801 -0.000001 0.000618 -0.000007
35 99668115050.500000  -0.002652 0.002595 74370  -0.000002 0.000627 -0.010571 0.041311  -0.129053 0.010570   73802 -0.000002 0.000607 -0.000000
36 99674749345.000000  -0.002728 0.002706 74373  0.000004 0.000639 0.015296 0.000392  0.264190 -0.021638   73852 0.000002 0.000620 0.000004
37 99681383639.500000  -0.003157 0.002710 74370  -0.000003 0.000658 0.015645 0.045177  -0.191705 0.015702   73808 -0.000004 0.000637 -0.000005
38 99688017934.000000  -0.002669 0.002807 74368  0.000003 0.000639 0.001502 0.012322  0.206626 -0.016924   73828 0.000003 0.000620 0.000001
39 99694652228.500000  -0.002510 0.002714 74365  0.000001 0.000667 0.019225 -0.039832  0.073322 -0.006005   73903 -0.000000 0.000650 0.000002
40 99701286523.000000  -0.002686 0.002769 74360  0.000002 0.000632 0.010938 0.009705  0.122443 -0.010029   73850 0.000002 0.000613 -0.000002
41 99707920817.500000  -0.002634 0.002694 74357  -0.000000 0.000621 -0.010847 0.003768  -0.016386 0.001342   73849 0.000001 0.000604 -0.000000
42 99714555112.000000  -0.002626 0.002864 74360  -0.000001 0.000671 0.032247 0.046649  -0.069805 0.005717   73766 -0.000002 0.000649 -0.000005
43 99721189406.500000  -0.002556 0.002366 74354  -0.000003 0.000633 0.016980 -0.049356  -0.255947 0.020963   73878 -0.000004 0.000617 -0.000005
44 99727823701.000000  -0.002752 0.002840 74359  -0.000000 0.000676 -0.014739 -0.022935  -0.017886 0.001465   73858 0.000001 0.000657 0.000002
45 99734457995.500000  -0.002626 0.003393 74356  -0.000002 0.000635 0.027428 -0.012129  -0.150181 0.012301   73887 -0.000003 0.000618 -0.000007
46 99741092290.000000  -0.002706 0.002605 74353  -0.000000 0.000625 0.001865 0.032451  -0.003349 0.000274   73799 0.000001 0.000605 -0.000003
47 99747726584.500000  -0.002524 0.002808 74352  -0.000002 0.000651 0.029034 -0.001008  -0.121313 0.009936   73850 -0.000004 0.000632 -0.000002
48 99754360879.000000  -0.002795 0.002778 74347  -0.000006 0.000655 0.015707 -0.012504  -0.421533 0.034526   73828 -0.000007 0.000636 -0.000008
49 99760995173.500000  -0.002927 0.002807 74349  -0.000002 0.000687 0.017732 0.013693  -0.125295 0.010262   73787 -0.000003 0.000666 -0.000006
50 99767629468.000000  -0.002691 0.002966 74348  0.000002 0.000638 0.003738 0.045351  0.112470 -0.009212   73773 0.000001 0.000618 0.000002
51 99774263762.500000  -0.002695 0.002803 74346  0.000001 0.000675 0.018291 -0.031214  0.070000 -0.005733   73853 -0.000000 0.000657 0.000001
52 99780898057.000000  -0.002823 0.002429 74347  0.000000 0.000645 -0.009647 0.061587  0.035527 -0.002910   73705 0.000002 0.000622 -0.000002
53 99787532351.500000  -0.002897 0.002708 74348  -0.000002 0.000651 -0.027168 -0.037425  -0.116132 0.009512   73886 -0.000000 0.000634 0.000003
54 99794166646.000000  -0.002778 0.002937 74348  -0.000001 0.000666 0.024707 0.021783  -0.091353 0.007482   73841 -0.000003 0.000646 -0.000003
