# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
55 99800800940.500000  -0.002631 0.004357 74351  -0.000003 0.000648 0.070046 0.178850  -0.218872 0.017927   73794 -0.000006 0.000627 -0.000008
56 99807435235.000000  -0.002441 0.002758 74348  -0.000001 0.000665 0.014752 -0.007336  -0.040086 0.003283   73817 -0.000002 0.000646 0.000001
57 99814069529.500000  -0.003102 0.003590 74350  0.000001 0.000641 -0.018811 0.053842  0.063927 -0.005236   73832 0.000002 0.000621 0.000001
58 99820703824.000000  -0.002677 0.002918 74350  0.000003 0.000644 0.031137 -0.009743  0.217024 -0.017775   73859 0.000002 0.000626 -0.000004
59 99827338118.500000  -0.002466 0.002516 74353  -0.000002 0.000639 0.000574 -0.016993  -0.127619 0.010453   73844 -0.000001 0.000622 -0.000004
60 99833972413.000000  -0.002475 0.002536 74347  0.000002 0.000625 0.007361 0.031890  0.180850 -0.014812   73748 0.000002 0.000605 0.000002
61 99840606707.500000  -0.002480 0.003007 74342  -0.000003 0.000653 0.024086 -0.011683  -0.226331 0.018538   73833 -0.000004 0.000634 -0.000007
62 99847241002.000000  -0.002473 0.002750 74345  -0.000005 0.000638 0.005707 0.050300  -0.393985 0.032269   73722 -0.000007 0.000617 -0.000006
63 99853875296.500000  -0.003290 0.002882 74347  0.000000 0.000641 -0.026627 0.062926  0.018167 -0.001488   73785 0.000001 0.000620 0.000003
64 99860509591.000000  -0.002690 0.002549 74341  -0.000002 0.000653 -0.018767 0.017042  -0.145153 0.011889   73787 -0.000000 0.000632 0.000001
65 99867143885.500000  -0.003091 0.002590 74339  -0.000002 0.000650 -0.015847 0.052864  -0.165491 0.013555   73805 -0.000001 0.000631 -0.000004
66 99873778180.000000  -0.002849 0.002740 74335  -0.000004 0.000669 0.007788 0.040524  -0.262351 0.021488   73772 -0.000004 0.000648 -0.000005
67 99880412474.500000  -0.002553 0.002665 74332  0.000001 0.000632 0.033061 -0.011175  0.078501 -0.006430   73817 -0.000000 0.000614 -0.000002
68 99887046769.000000  -0.002759 0.003212 74332  -0.000005 0.000637 0.064791 0.073714  -0.407207 0.033352   73763 -0.000007 0.000616 -0.000015
69 99893681063.500000  -0.002930 0.002906 74336  0.000001 0.000645 0.012913 0.036421  0.037743 -0.003091   73796 0.000001 0.000625 -0.000005
70 99900315358.000000  -0.002556 0.002748 74337  -0.000002 0.000637 0.003177 -0.000016  -0.160225 0.013123   73849 -0.000003 0.000620 0.000001
71 99906949652.500000  -0.002688 0.002690 74340  0.000002 0.000662 -0.031805 0.008188  0.179769 -0.014724   73799 0.000004 0.000642 0.000007
72 99913583947.000000  -0.002614 0.003249 74344  -0.000001 0.000644 0.055865 0.022287  -0.050377 0.004126   73826 -0.000004 0.000625 -0.000004
73 99920218241.500000  -0.003097 0.003173 74346  0.000001 0.000678 0.013154 0.010695  0.059167 -0.004846   73885 0.000001 0.000660 -0.000001
74 99926852536.000000  -0.002534 0.002951 74342  -0.000001 0.000633 0.007396 0.044761  -0.100783 0.008255   73779 -0.000002 0.000613 -0.000002
75 99933486830.500000  -0.002915 0.002466 74339  -0.000001 0.000635 -0.048523 0.055753  -0.052838 0.004328   73769 0.000003 0.000615 0.000004
76 99940121125.000000  -0.002883 0.003413 74339  -0.000001 0.000680 0.020453 0.057041  -0.047632 0.003901   73784 -0.000002 0.000658 0.000001
77 99946755419.500000  -0.002861 0.003285 74341  -0.000000 0.000654 0.001203 0.060869  -0.034459 0.002822   73776 -0.000001 0.000633 0.000000
78 99953389714.000000  -0.002770 0.007462 74339  0.000003 0.000670 0.153334 1.179766  0.202403 -0.016578   73742 -0.000000 0.000643 0.000001
79 99960024008.500000  -0.003171 0.012357 74340  0.000007 0.000719 1.047643 10.978178  0.495364 -0.040573   73538 -0.000008 0.000654 -0.000009
80 99966658303.000000  -0.003107 0.020399 74341  0.000011 0.000858 4.105606 60.558410  0.797074 -0.065284   73473 -0.000017 0.000682 -0.000015
81 99973292597.500000  -0.003100 0.039794 74329  0.000028 0.001065 9.738919 239.103170  2.092578 -0.171392   73326 -0.000017 0.000728 -0.000017
82 99979926892.000000  -0.003864 0.067377 74336  0.000053 0.001380 19.241354 655.406928  3.916348 -0.320768   73258 -0.000009 0.000704 -0.000006
83 99986561186.500000  -0.003214 0.054835 74338  0.000041 0.001267 15.900428 476.473455  3.073886 -0.251766   73423 -0.000010 0.000719 -0.000012
84 99993195481.000000  -0.003131 0.061466 74342  0.000037 0.001242 20.901346 761.732845  2.761246 -0.226160   73409 -0.000009 0.000679 -0.000012
85 99999829775.500000  -0.003300 0.039974 74340  0.000021 0.000963 10.224878 289.218182  1.533764 -0.125623   73402 -0.000009 0.000682 -0.000004
86 100006464070.000000  -0.002793 0.048459 74343  0.000041 0.001142 14.504363 422.666266  3.017721 -0.247166   73334 -0.000006 0.000668 -0.000001
87 100013098364.500000  -0.003325 0.082104 74346  0.000058 0.001553 23.828110 893.329812  4.299420 -0.352143   73230 -0.000012 0.000676 -0.000016
88 100019732659.000000  -0.003088 0.077292 74341  0.000056 0.001546 23.300795 809.863576  4.142250 -0.339270   73555 -0.000005 0.000688 -0.000010
89 100026366953.500000  -0.002973 0.041228 74339  0.000029 0.001037 13.399749 366.946634  2.176708 -0.178283   73543 -0.000004 0.000660 -0.000009
90 100033001248.000000  -0.002719 0.017796 74339  0.000016 0.000761 2.547401 39.861473  1.168180 -0.095680   73658 -0.000002 0.000667 -0.000004
91 100039635542.500000  -0.003023 0.010223 74336  0.000004 0.000696 0.619892 7.276874  0.270066 -0.022120   73759 0.000002 0.000653 0.000004
92 100046269837.000000  -0.002952 0.005083 74336  0.000000 0.000638 0.042416 0.343358  0.019253 -0.001577   73785 -0.000001 0.000616 -0.000003
93 100052904131.500000  -0.002585 0.003082 74340  0.000007 0.000676 0.027786 -0.003206  0.483429 -0.039595   73838 0.000004 0.000657 0.000008
94 100059538426.000000  -0.002674 0.002674 74337  0.000002 0.000631 0.000043 0.018885  0.125704 -0.010296   73776 0.000001 0.000612 0.000001
95 100066172720.500000  -0.002582 0.003071 74334  0.000000 0.000655 0.005558 0.050419  0.004417 -0.000362   73789 -0.000001 0.000634 0.000002
96 100072807015.000000  -0.002969 0.002777 74331  -0.000000 0.000653 -0.040790 0.076118  -0.033222 0.002721   73760 0.000001 0.000631 0.000005
97 100079441309.500000  -0.002958 0.002896 74336  -0.000000 0.000653 0.039896 0.001208  -0.020341 0.001666   73818 -0.000001 0.000634 -0.000002
98 100086075604.000000  -0.002909 0.002842 74333  -0.000000 0.000654 0.008155 -0.005160  -0.007466 0.000611   73862 -0.000001 0.000636 -0.000002
99 100092709898.500000  -0.002777 0.002554 74328  0.000002 0.000653 0.026002 -0.044410  0.131808 -0.010796   73865 0.000001 0.000636 -0.000001
100 100099344193.000000  -0.002833 0.002901 74330  0.000000 0.000665 -0.033550 0.110873  0.033361 -0.002732   73707 0.000002 0.000641 0.000004
101 100105978487.500000  -0.002592 0.002752 74334  -0.000003 0.000654 -0.002155 -0.079489  -0.250337 0.020504   73949 -0.000002 0.000639 -0.000005
102 100112612782.000000  -0.002845 0.002727 74345  -0.000005 0.000668 -0.006367 -0.047875  -0.370455 0.030342   73915 -0.000005 0.000651 -0.000004
103 100119247076.500000  -0.002746 0.002705 74339  -0.000001 0.000651 -0.019384 0.006322  -0.058286 0.004774   73829 -0.000000 0.000632 0.000001
104 100125881371.000000  -0.002679 0.002658 74343  -0.000001 0.000659 0.017906 -0.066206  -0.073361 0.006009   73925 -0.000003 0.000644 -0.000004
105 100132515665.500000  -0.002814 0.003005 74345  0.000000 0.000672 0.020249 -0.062461  0.009760 -0.000799   73908 -0.000001 0.000655 -0.000002
106 100139149960.000000  -0.002814 0.002640 74343  0.000003 0.000649 -0.003317 0.001053  0.247201 -0.020247   73799 0.000003 0.000630 0.000005
107 100145784254.500000  -0.002571 0.002461 74345  -0.000001 0.000657 0.020567 0.004364  -0.039002 0.003194   73786 -0.000001 0.000637 -0.000003
108 100152418549.000000  -0.002623 0.002791 74343  0.000003 0.000660 0.009016 0.035799  0.224770 -0.018410   73803 0.000003 0.000639 0.000002
109 100159052843.500000  -0.002836 0.003046 74345  -0.000000 0.000654 0.041381 -0.015944  -0.025255 0.002069   73856 -0.000002 0.000635 -0.000004
110 100165687138.000000  -0.002698 0.003623 74353  -0.000000 0.000674 0.000069 0.041348  -0.033206 0.002720   73817 0.000000 0.000654 -0.000003
111 100172321432.500000  -0.002539 0.002673 74349  0.000003 0.000661 0.012242 -0.078394  0.199000 -0.016299   73908 0.000003 0.000645 -0.000001
112 100178955727.000000  -0.003029 0.002853 74356  -0.000001 0.000667 -0.039885 0.044172  -0.109181 0.008942   73778 -0.000000 0.000645 0.000005
113 100185590021.500000  -0.002973 0.002825 74343  -0.000001 0.000643 0.012095 0.037696  -0.062832 0.005146   73793 -0.000001 0.000623 -0.000005
114 100192224316.000000  -0.002573 0.002880 74338  -0.000003 0.000642 0.020682 -0.070106  -0.238334 0.019521   73911 -0.000004 0.000626 -0.000008
115 100198858610.500000  -0.002915 0.002571 74339  0.000002 0.000654 -0.035067 0.049869  0.161292 -0.013211   73749 0.000003 0.000633 0.000006
116 100205492905.000000  -0.002626 0.003002 74339  -0.000001 0.000653 -0.014140 -0.004020  -0.056865 0.004658   73816 0.000000 0.000635 0.000002
117 100212127199.500000  -0.002742 0.002986 74342  0.000003 0.000683 0.029902 0.061333  0.230005 -0.018839   73751 0.000001 0.000660 0.000001
118 100218761494.000000  -0.002639 0.002468 74342  0.000002 0.000653 -0.041688 0.022886  0.176499 -0.014456   73767 0.000004 0.000632 0.000007
119 100225395788.500000  -0.003207 0.002580 74349  0.000001 0.000682 0.001902 0.031905  0.087398 -0.007158   73783 0.000001 0.000660 -0.000002
120 100232030083.000000  -0.002940 0.003163 74347  -0.000004 0.000664 0.015458 0.050098  -0.286067 0.023430   73770 -0.000004 0.000643 -0.000009
121 100238664377.500000  -0.002585 0.002508 74351  -0.000001 0.000631 0.031522 -0.037963  -0.099462 0.008146   73879 -0.000003 0.000615 -0.000004
122 100245298672.000000  -0.002639 0.002741 74351  0.000004 0.000657 -0.025929 -0.079567  0.270100 -0.022122   73907 0.000005 0.000641 0.000010
123 100251932966.500000  -0.003556 0.005597 74350  0.000000 0.000669 0.017672 0.281419  0.003756 -0.000308   73813 0.000001 0.000647 0.000002
124 100258567261.000000  -0.003143 0.003636 74352  -0.000003 0.000674 0.019111 0.076067  -0.256536 0.021012   73772 -0.000004 0.000653 -0.000006
125 100265201555.500000  -0.003100 0.002600 74350  0.000002 0.000667 -0.023449 -0.009375  0.167730 -0.013738   73857 0.000002 0.000649 0.000005
126 100271835850.000000  -0.002799 0.003075 74347  -0.000002 0.000655 0.009207 0.095995  -0.142180 0.011645   73757 -0.000002 0.000633 -0.000003
127 100278470144.500000  -0.002698 0.003018 74355  -0.000002 0.000696 0.025171 -0.009723  -0.181971 0.014904   73840 -0.000004 0.000676 -0.000004
128 100285104439.000000  -0.002905 0.002598 74344  0.000004 0.000652 -0.028360 -0.004859  0.330711 -0.027087   73854 0.000006 0.000634 0.000007
129 100291738733.500000  -0.002914 0.002622 74355  0.000002 0.000676 0.030596 0.036834  0.137923 -0.011297   73756 0.000001 0.000654 -0.000003
130 100298373028.000000  -0.002812 0.002736 74344  -0.000001 0.000679 0.021995 -0.031840  -0.087858 0.007196   73875 -0.000002 0.000661 -0.000006
131 100305007322.500000  -0.002533 0.002492 74351  0.000002 0.000658 0.013562 -0.055256  0.134342 -0.011003   73885 0.000001 0.000641 -0.000004
132 100311641617.000000  -0.002947 0.002571 74349  -0.000002 0.000674 -0.037329 0.021927  -0.158140 0.012952   73823 -0.000000 0.000654 0.000003
133 100318275911.500000  -0.002584 0.002619 74347  -0.000002 0.000652 0.023026 0.013388  -0.142788 0.011695   73773 -0.000002 0.000632 -0.000006
134 100324910206.000000  -0.002705 0.002738 74349  -0.000003 0.000690 0.013618 0.013163  -0.232737 0.019062   73784 -0.000004 0.000669 -0.000005
135 100331544500.500000  -0.003037 0.002791 74354  -0.000003 0.000656 -0.001849 0.050169  -0.237893 0.019485   73794 -0.000003 0.000635 -0.000003
136 100338178795.000000  -0.003197 0.003511 74357  0.000002 0.000666 0.023765 0.048152  0.131617 -0.010780   73838 0.000001 0.000646 -0.000006
137 100344813089.500000  -0.002649 0.002595 74354  0.000003 0.000659 -0.011997 -0.025045  0.212741 -0.017425   73854 0.000004 0.000640 0.000004
138 100351447384.000000  -0.002556 0.002926 74354  -0.000003 0.000668 -0.007006 -0.035330  -0.198931 0.016293   73880 -0.000002 0.000651 -0.000001
139 100358081678.500000  -0.003142 0.003435 74351  -0.000001 0.000684 0.031959 0.072872  -0.058527 0.004794   73776 -0.000001 0.000662 -0.000005
140 100364715973.000000  -0.003162 0.002625 74356  0.000001 0.000673 -0.035564 0.022474  0.103342 -0.008464   73790 0.000004 0.000652 0.000006
141 100371350267.500000  -0.003184 0.003075 74352  0.000004 0.000693 0.002752 0.028458  0.275234 -0.022543   73848 0.000003 0.000672 0.000005
142 100377984562.000000  -0.002725 0.003024 74350  0.000002 0.000659 0.035342 -0.018910  0.124252 -0.010177   73852 -0.000000 0.000641 -0.000003
143 100384618856.500000  -0.002704 0.002584 74345  -0.000002 0.000667 -0.004497 0.021728  -0.158523 0.012984   73776 -0.000001 0.000646 -0.000003
144 100391253151.000000  -0.003010 0.002831 74337  -0.000003 0.000692 -0.031725 -0.065231  -0.226771 0.018574   73941 -0.000001 0.000677 0.000003
145 100397887445.500000  -0.002945 0.003183 74337  -0.000000 0.000680 0.003740 0.045350  -0.028248 0.002314   73787 -0.000000 0.000659 -0.000002
146 100404521740.000000  -0.002651 0.004031 74332  -0.000002 0.000686 0.036722 0.028878  -0.144229 0.011813   73857 -0.000004 0.000667 -0.000005
147 100411156034.500000  -0.002745 0.003196 74335  -0.000001 0.000667 -0.003509 0.130005  -0.048067 0.003937   73690 -0.000001 0.000642 0.000003
148 100417790329.000000  -0.002727 0.003253 74332  0.000000 0.000687 0.018866 0.023419  0.000576 -0.000047   73808 -0.000003 0.000666 0.000001
149 100424424623.500000  -0.002781 0.002696 74331  0.000003 0.000696 -0.002259 -0.024788  0.200399 -0.016414   73837 0.000003 0.000677 0.000003
150 100431058918.000000  -0.002643 0.003190 74342  0.000002 0.000660 0.008924 0.034307  0.158559 -0.012987   73808 0.000002 0.000640 0.000003
151 100437693212.500000  -0.002971 0.002737 74344  0.000000 0.000709 0.012566 0.014448  0.012133 -0.000994   73778 -0.000000 0.000687 -0.000003
152 100444327507.000000  -0.002864 0.003267 74347  0.000001 0.000656 0.035381 0.065558  0.086080 -0.007050   73767 -0.000001 0.000635 -0.000002
153 100450961801.500000  -0.003006 0.002861 74345  -0.000002 0.000694 -0.004114 0.079373  -0.130181 0.010662   73726 -0.000002 0.000670 0.000002
154 100457596096.000000  -0.002919 0.002813 74346  -0.000001 0.000665 -0.027145 0.033904  -0.078381 0.006420   73815 0.000000 0.000645 0.000003
155 100464230390.500000  -0.002907 0.002906 74345  0.000003 0.000683 0.036367 0.022235  0.193081 -0.015814   73811 0.000001 0.000662 -0.000006
156 100470864685.000000  -0.003162 0.003304 74339  0.000001 0.000704 -0.010706 0.020243  0.059589 -0.004881   73845 0.000002 0.000684 -0.000000
157 100477498979.500000  -0.003094 0.002908 74350  0.000004 0.000668 0.013978 -0.010280  0.278098 -0.022778   73865 0.000003 0.000650 -0.000000
158 100484133274.000000  -0.002797 0.003063 74353  0.000000 0.000702 -0.009259 -0.005532  0.001210 -0.000099   73827 0.000000 0.000681 0.000002
159 100490767568.500000  -0.002734 0.002977 74357  0.000000 0.000667 0.020456 0.031808  0.011181 -0.000916   73754 -0.000001 0.000645 -0.000002
160 100497401863.000000  -0.002788 0.002912 74360  0.000001 0.000662 0.002411 -0.038413  0.097750 -0.008006   73897 0.000001 0.000644 0.000005
161 100504036157.500000  -0.003227 0.003710 74352  0.000002 0.000697 -0.010578 0.136444  0.149529 -0.012247   73727 0.000003 0.000671 0.000006
162 100510670452.000000  -0.002883 0.005841 74349  0.000000 0.000693 0.064218 0.438332  0.014701 -0.001204   73763 -0.000001 0.000668 -0.000003
163 100517304746.500000  -0.002869 0.003385 74349  -0.000002 0.000717 0.052193 0.019934  -0.127800 0.010467   73840 -0.000004 0.000696 -0.000009
164 100523939041.000000  -0.003214 0.002997 74354  -0.000000 0.000705 0.006664 0.054297  -0.031813 0.002606   73806 -0.000002 0.000683 0.000000
165 100530573335.500000  -0.003111 0.006858 74346  -0.000004 0.000740 0.192429 0.982172  -0.263879 0.021613   73786 -0.000010 0.000711 -0.000012
166 100537207630.000000  -0.003156 0.007632 74347  0.000002 0.000695 0.263581 1.685525  0.169405 -0.013875   73703 -0.000004 0.000661 -0.000007
167 100543841924.500000  -0.002841 0.006798 74351  0.000004 0.000688 0.140640 0.860407  0.280170 -0.022947   73823 0.000000 0.000664 0.000002
168 100550476219.000000  -0.003544 0.005018 74345  0.000005 0.000709 0.058658 0.267001  0.341617 -0.027980   73734 0.000002 0.000682 -0.000002
169 100557110513.500000  -0.003068 0.003500 74352  -0.000003 0.000672 0.004040 0.104662  -0.186788 0.015299   73715 -0.000002 0.000647 -0.000005
170 100563744808.000000  -0.002836 0.005658 74348  0.000005 0.000716 0.086859 0.391591  0.404764 -0.033152   73782 0.000003 0.000690 0.000000
171 100570379102.500000  -0.002998 0.007045 74356  0.000002 0.000707 0.157777 1.100512  0.149066 -0.012209   73770 -0.000001 0.000677 -0.000001
172 100577013397.000000  -0.002787 0.005566 74356  0.000000 0.000689 0.170682 0.763622  0.030131 -0.002468   73779 -0.000004 0.000660 -0.000011
173 100583647691.500000  -0.002730 0.003935 74349  0.000005 0.000721 0.048287 0.119407  0.405871 -0.033243   73780 0.000003 0.000697 0.000001
174 100590281986.000000  -0.002608 0.002753 74353  -0.000000 0.000651 0.011993 0.007170  -0.008524 0.000698   73820 -0.000000 0.000632 -0.000003
175 100596916280.500000  -0.002803 0.002662 74344  0.000000 0.000692 0.015373 -0.065313  0.003371 -0.000276   73878 -0.000001 0.000675 -0.000003
176 100603550575.000000  -0.003045 0.002720 74346  0.000003 0.000679 0.013565 -0.036508  0.227485 -0.018632   73868 0.000003 0.000661 0.000001
177 100610184869.500000  -0.002795 0.003078 74343  -0.000003 0.000669 0.004314 0.017006  -0.237898 0.019485   73834 -0.000003 0.000650 -0.000001
178 100616819164.000000  -0.003197 0.002898 74340  -0.000003 0.000698 -0.020131 -0.003554  -0.198872 0.016289   73836 -0.000001 0.000678 -0.000001
179 100623453458.500000  -0.002697 0.003177 74344  0.000002 0.000653 -0.017112 0.010833  0.149426 -0.012239   73795 0.000003 0.000634 0.000005
180 100630087753.000000  -0.002928 0.002681 74337  0.000003 0.000699 -0.000893 -0.024353  0.242551 -0.019866   73836 0.000004 0.000679 0.000003
181 100636722047.500000  -0.003107 0.002689 74348  0.000002 0.000663 0.003789 0.012201  0.143359 -0.011742   73834 0.000000 0.000644 0.000004
182 100643356342.000000  -0.003252 0.002807 74337  0.000001 0.000703 -0.033356 -0.007042  0.096726 -0.007922   73863 0.000003 0.000684 0.000005
183 100649990636.500000  -0.002659 0.003694 74340  0.000001 0.000680 0.042385 0.112641  0.103230 -0.008455   73749 -0.000001 0.000657 0.000001
184 100656624931.000000  -0.002985 0.002629 74338  0.000001 0.000662 -0.037697 0.016132  0.070625 -0.005785   73828 0.000002 0.000643 0.000004
185 100663259225.500000  -0.002747 0.003202 74334  0.000002 0.000697 0.038655 0.024168  0.122319 -0.010018   73749 -0.000002 0.000675 -0.000000
