# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
42 114146318085.000000  -0.008115 0.007547 68658  -0.000004 0.002093 -0.058796 -0.034213  -0.286402 0.024008   68132 0.000015 0.002028 0.000005
43 114153107932.500000  -0.007049 0.008171 68659  -0.000031 0.002029 0.075980 -0.017945  -2.136442 0.179088   68172 -0.000042 0.001970 -0.000073
44 114159897780.000000  -0.007720 0.008641 68662  -0.000015 0.002030 0.119652 0.105853  -1.039956 0.087175   68033 -0.000039 0.001954 -0.000067
45 114166687627.500000  -0.007164 0.008575 68663  0.000006 0.001982 0.093471 0.138653  0.411930 -0.034530   68014 -0.000018 0.001905 -0.000014
46 114173477475.000000  -0.007692 0.007174 68664  -0.000011 0.002060 -0.000739 -0.015461  -0.730154 0.061205   68159 -0.000017 0.002001 0.000003
47 114180267322.500000  -0.008607 0.007574 68659  0.000006 0.002028 -0.059230 0.135158  0.445006 -0.037303   67986 0.000011 0.001946 0.000048
48 114187057170.000000  -0.007550 0.007145 68661  0.000016 0.001960 0.053646 0.114026  1.073002 -0.089945   67935 0.000016 0.001877 -0.000032
49 114193847017.500000  -0.007403 0.007116 68662  0.000029 0.001931 0.021740 0.067156  1.981188 -0.166074   68014 0.000035 0.001857 0.000003
50 114200636865.000000  -0.007372 0.007173 68664  0.000009 0.002046 -0.095129 -0.034845  0.618067 -0.051810   68155 0.000019 0.001985 0.000060
51 114207426712.500000  -0.006801 0.009549 68666  -0.000009 0.002016 0.102941 0.040810  -0.591165 0.049555   68162 -0.000025 0.001951 -0.000051
52 114214216560.000000  -0.007521 0.007530 68664  -0.000013 0.002012 0.038262 -0.028043  -0.872100 0.073104   68178 -0.000014 0.001956 -0.000047
53 114221006407.500000  -0.009125 0.008059 68662  -0.000011 0.002170 -0.030687 0.009221  -0.780097 0.065392   68181 -0.000005 0.002107 0.000013
54 114227796255.000000  -0.007968 0.007655 68660  -0.000008 0.002018 -0.015700 -0.045706  -0.551212 0.046206   68213 -0.000006 0.001964 -0.000007
55 114234586102.500000  -0.006554 0.009213 68659  0.000029 0.002053 0.094863 0.029619  2.007656 -0.168292   68063 0.000013 0.001983 0.000007
56 114241375950.000000  -0.008287 0.007181 68661  -0.000006 0.002144 -0.060246 -0.145870  -0.440203 0.036900   68308 0.000003 0.002101 0.000032
57 114248165797.500000  -0.007897 0.008911 68659  0.000018 0.002094 0.052118 0.039121  1.242628 -0.104164   68096 0.000005 0.002023 0.000003
58 114254955645.000000  -0.007857 0.007233 68658  0.000013 0.002009 0.027527 -0.113495  0.902457 -0.075649   68321 0.000010 0.001968 -0.000009
59 114261745492.500000  -0.008602 0.007323 68660  0.000025 0.002095 -0.097625 0.049609  1.707341 -0.143118   68047 0.000042 0.002018 0.000068
60 114268535340.000000  -0.007644 0.008131 68660  0.000022 0.002008 0.041695 0.011172  1.513115 -0.126837   68228 0.000014 0.001954 0.000020
61 114275325187.500000  -0.008184 0.007810 68657  -0.000014 0.002050 0.045958 -0.042649  -0.983224 0.082419   68241 -0.000026 0.001997 -0.000047
62 114282115035.000000  -0.006704 0.008037 68656  -0.000012 0.001968 0.059316 0.019220  -0.835957 0.070074   68169 -0.000026 0.001911 -0.000026
63 114288904882.500000  -0.009640 0.009274 68658  0.000015 0.002128 -0.023351 -0.006413  1.061007 -0.088939   68298 0.000019 0.002077 0.000034
64 114295694730.000000  -0.008651 0.009967 68657  0.000003 0.002141 -0.001930 0.237850  0.186062 -0.015597   67986 -0.000001 0.002049 0.000002
65 114302484577.500000  -0.007574 0.008198 68655  -0.000005 0.001947 0.056781 0.028200  -0.349698 0.029314   68197 -0.000020 0.001891 -0.000006
66 114309274425.000000  -0.008878 0.009144 68656  -0.000008 0.002052 -0.034903 0.054233  -0.578946 0.048530   68119 -0.000006 0.001983 0.000007
