# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
183 115103686582.500000  -0.051575 0.303731 68656  0.001286 0.019363 5.658072 53.798429  88.290535 -7.400979   60667 -0.000227 0.006398 -0.000120
184 115110476430.000000  -0.125394 0.821041 68660  0.005399 0.059301 6.923533 65.362631  370.708540 -31.074747   58923 -0.000550 0.011719 -0.000352
185 115117266277.500000  -0.174862 1.104941 68658  0.009851 0.092464 6.222299 46.710487  676.335306 -56.693996   59641 -0.001326 0.016692 -0.001031
186 115124056125.000000  -0.164360 1.578032 68655  0.012318 0.109379 7.236787 64.778389  845.693945 -70.890531   61508 -0.001493 0.018676 -0.002167
187 115130845972.500000  -0.194121 1.736407 68660  0.017389 0.136150 6.945315 56.592933  1193.922903 -100.080921   61050 -0.001490 0.019724 -0.001578
188 115137635820.000000  -0.218880 2.443450 68650  0.028536 0.205505 6.989416 54.595429  1959.019941 -164.215394   59932 -0.001424 0.020818 -0.001330
189 115144425667.500000  -0.246317 3.048826 68663  0.037343 0.260308 6.754025 50.008651  2564.096423 -214.936100   61005 -0.002201 0.028806 -0.001514
190 115151215515.000000  -0.259769 3.657492 68662  0.042465 0.293070 6.796472 51.042981  2915.762190 -244.414581   61395 -0.001894 0.032298 -0.001175
191 115158005362.500000  -0.281660 4.607611 68662  0.043788 0.310349 7.774235 71.330027  3006.587432 -252.028032   61978 -0.002278 0.034665 -0.002295
192 115164795210.000000  -0.251364 4.945533 68660  0.042312 0.311425 8.684076 91.904498  2905.162510 -243.526060   62560 -0.002490 0.035775 -0.003318
193 115171585057.500000  -0.229421 4.957602 68662  0.039734 0.288861 8.763563 96.286083  2728.223034 -228.694059   62839 -0.002306 0.034986 -0.002552
194 115178374905.000000  -0.207550 4.285124 68657  0.038244 0.265705 7.927832 75.924581  2625.739418 -220.103341   62980 -0.002502 0.033954 -0.001834
195 115185164752.500000  -0.185863 2.765773 68656  0.033864 0.232980 7.248832 58.967743  2324.990415 -194.892972   63926 -0.002228 0.035088 -0.002730
196 115191954600.000000  -0.186824 3.139917 68656  0.029940 0.228929 8.389242 80.102603  2055.540232 -172.306235   63832 -0.003460 0.034810 -0.002965
197 115198744447.500000  -0.205716 3.524788 68658  0.026828 0.215341 8.907809 93.311019  1841.929968 -154.400295   62991 -0.001647 0.036235 -0.001134
198 115205534295.000000  -0.294979 3.288938 68668  0.025695 0.214157 8.738449 93.747782  1764.446081 -147.905186   60635 -0.001468 0.035654 -0.001284
199 115212324142.500000  -0.283905 3.422792 68644  0.024468 0.212302 8.934312 98.446098  1679.575941 -140.790923   59934 -0.001352 0.031421 -0.001992
200 115219113990.000000  -0.192742 2.574230 68659  0.019103 0.171011 8.751515 91.484232  1311.576272 -109.943248   61011 -0.000122 0.026298 -0.000561
201 115225903837.500000  -0.162955 2.069728 68658  0.011830 0.121730 9.513329 113.343618  812.237876 -68.086067   61877 -0.001186 0.023997 -0.001588
202 115232693685.000000  -0.151440 1.631739 68659  0.007533 0.087349 9.709389 124.276999  517.230694 -43.357008   61841 -0.001201 0.019741 -0.001252
203 115239483532.500000  -0.134036 0.651944 68658  0.004102 0.053839 5.726423 48.389526  281.656146 -23.609905   60717 -0.000891 0.017113 -0.000941
204 115246273380.000000  -0.120988 0.284133 68658  0.000682 0.027312 2.209199 19.812407  46.833607 -3.925840   60615 0.000029 0.012582 -0.000376
205 115253063227.500000  -0.059141 0.154107 68658  0.000189 0.015251 2.034762 17.295835  12.966615 -1.086930   60115 0.000004 0.006424 -0.000143
206 115259853075.000000  -0.030694 0.082449 68657  0.000032 0.007715 2.549706 21.939223  2.183006 -0.182991   63145 -0.000135 0.004199 -0.000100
207 115266642922.500000  -0.010616 0.032769 68654  -0.000008 0.003319 1.788106 12.267081  -0.572144 0.047960   67276 -0.000177 0.002703 -0.000182
208 115273432770.000000  -0.009774 0.009376 68655  0.000022 0.002590 -0.004858 0.112008  1.512822 -0.126813   67951 0.000026 0.002483 -0.000006
209 115280222617.500000  -0.010229 0.009395 68656  -0.000052 0.002597 -0.044096 0.003073  -3.553014 0.297832   68105 -0.000055 0.002511 -0.000022
210 115287012465.000000  -0.009190 0.007860 68655  0.000026 0.002400 0.063361 -0.045358  1.798048 -0.150722   68220 0.000023 0.002340 -0.000030
211 115293802312.500000  -0.008944 0.009172 68654  0.000018 0.002429 -0.060590 -0.085981  1.252170 -0.104964   68273 0.000032 0.002374 0.000040
212 115300592160.000000  -0.009509 0.010321 68658  -0.000007 0.002519 -0.024271 -0.039152  -0.488697 0.040965   68196 -0.000008 0.002452 0.000029
213 115307382007.500000  -0.009016 0.010132 68659  0.000021 0.002376 -0.050392 0.060607  1.423380 -0.119315   68082 0.000023 0.002294 0.000085
214 115314171855.000000  -0.009783 0.008936 68659  -0.000018 0.002466 0.016421 -0.007610  -1.205080 0.101016   68227 -0.000023 0.002402 0.000005
215 115320961702.500000  -0.008504 0.008403 68658  -0.000008 0.002394 -0.068128 -0.070881  -0.551138 0.046199   68228 0.000001 0.002333 0.000026
216 115327751550.000000  -0.008965 0.009590 68656  0.000006 0.002388 0.016637 0.066470  0.395477 -0.033151   68133 -0.000005 0.002311 0.000002
217 115334541397.500000  -0.008791 0.009245 68653  0.000004 0.002466 0.009842 -0.066882  0.258785 -0.021693   68229 0.000005 0.002404 -0.000005
218 115341331245.000000  -0.009426 0.009958 68655  -0.000036 0.002477 0.039805 -0.055854  -2.448324 0.205231   68204 -0.000039 0.002411 -0.000064
219 115348121092.500000  -0.009255 0.009233 68671  0.000019 0.002444 0.089936 0.034198  1.329268 -0.111426   68102 0.000010 0.002364 -0.000058
220 115354910940.000000  -0.010954 0.009972 68638  -0.000029 0.002624 -0.046176 -0.049523  -2.011086 0.168580   68223 -0.000021 0.002559 0.000017
221 115361700787.500000  -0.009039 0.011578 68660  -0.000015 0.002443 0.136815 0.228433  -1.048901 0.087924   67971 -0.000045 0.002334 -0.000062
222 115368490635.000000  -0.010024 0.010080 68662  0.000058 0.002537 -0.003941 0.163000  4.001885 -0.335459   67900 0.000050 0.002424 0.000065
223 115375280482.500000  -0.008936 0.008545 68661  -0.000045 0.002474 -0.097163 -0.035275  -3.073443 0.257632   68173 -0.000036 0.002404 0.000008
224 115382070330.000000  -0.009969 0.010602 68663  -0.000003 0.002700 0.028407 -0.016797  -0.186828 0.015661   68182 -0.000011 0.002622 -0.000014
225 115388860177.500000  -0.011314 0.010518 68665  -0.000055 0.002640 0.033108 -0.035148  -3.753336 0.314624   68273 -0.000069 0.002572 -0.000052
226 115395650025.000000  -0.010951 0.009651 68662  0.000005 0.002631 0.053387 0.099082  0.376867 -0.031591   67972 -0.000015 0.002529 -0.000018
227 115402439872.500000  -0.010210 0.009484 68660  0.000023 0.002529 0.060778 0.054909  1.582056 -0.132616   68078 0.000014 0.002441 -0.000017
228 115409229720.000000  -0.009635 0.009442 68659  0.000012 0.002625 0.003874 -0.147063  0.792069 -0.066395   68322 0.000012 0.002572 0.000005
229 115416019567.500000  -0.012071 0.011140 68658  0.000025 0.002649 0.055160 0.064632  1.708151 -0.143186   68157 0.000013 0.002564 -0.000011
230 115422809415.000000  -0.009989 0.009758 68657  -0.000023 0.002787 -0.007763 -0.015831  -1.587787 0.133097   68179 -0.000020 0.002710 -0.000042
231 115429599262.500000  -0.010153 0.009924 68660  -0.000016 0.002570 -0.001098 -0.007583  -1.120645 0.093938   68214 -0.000021 0.002499 0.000009
232 115436389110.000000  -0.011020 0.009387 68662  -0.000002 0.002691 -0.003465 -0.065716  -0.152514 0.012785   68294 -0.000009 0.002632 -0.000006
233 115443178957.500000  -0.008929 0.010367 68659  -0.000046 0.002696 0.103140 -0.065541  -3.186477 0.267107   68258 -0.000067 0.002631 -0.000077
234 115449968805.000000  -0.009855 0.010690 68654  -0.000004 0.002696 0.045421 -0.028698  -0.254703 0.021351   68217 -0.000017 0.002624 -0.000051
235 115456758652.500000  -0.010161 0.014463 68654  0.000016 0.002811 0.044949 0.190288  1.080725 -0.090592   68179 0.000008 0.002716 0.000028
236 115463548500.000000  -0.010013 0.017706 68656  -0.000019 0.002803 0.040411 0.496142  -1.326324 0.111179   68019 -0.000020 0.002678 0.000008
237 115470338347.500000  -0.009604 0.010472 68654  0.000009 0.002682 0.001508 -0.029583  0.641212 -0.053750   68168 0.000021 0.002608 0.000009
238 115477128195.000000  -0.010260 0.011361 68653  -0.000020 0.002658 0.119487 0.084819  -1.364144 0.114350   68129 -0.000034 0.002569 -0.000090
239 115483918042.500000  -0.009514 0.014700 68653  -0.000030 0.002664 0.067648 0.112106  -2.070156 0.173531   68226 -0.000041 0.002588 -0.000053
240 115490707890.000000  -0.009743 0.013553 68667  -0.000024 0.002885 0.175694 0.125309  -1.670602 0.140039   68114 -0.000059 0.002786 -0.000109
241 115497497737.500000  -0.011466 0.023415 68645  -0.000007 0.002916 0.164619 1.171670  -0.464800 0.038962   68060 -0.000026 0.002775 0.000020
242 115504287585.000000  -0.010763 0.010907 68646  0.000010 0.002760 0.079248 -0.024286  0.696337 -0.058371   68229 -0.000002 0.002690 -0.000029
243 115511077432.500000  -0.010027 0.012370 68646  0.000012 0.002783 0.113242 0.088118  0.815346 -0.068347   68098 -0.000014 0.002689 -0.000044
244 115517867280.000000  -0.011342 0.010521 68648  -0.000019 0.002697 -0.066024 -0.053678  -1.332053 0.111660   68235 -0.000013 0.002624 0.000023
245 115524657127.500000  -0.010451 0.010563 68646  -0.000020 0.002751 0.009776 -0.006496  -1.345082 0.112752   68162 -0.000029 0.002672 -0.000006
246 115531446975.000000  -0.010470 0.009432 68645  -0.000029 0.002671 0.007231 -0.010287  -1.961697 0.164440   68154 -0.000046 0.002594 -0.000021
247 115538236822.500000  -0.011584 0.009976 68648  -0.000009 0.002790 0.031346 -0.025986  -0.616974 0.051718   68189 -0.000019 0.002713 -0.000026
248 115545026670.000000  -0.012867 0.010855 68650  -0.000035 0.002910 0.004941 -0.032675  -2.403090 0.201440   68242 -0.000034 0.002837 -0.000054
249 115551816517.500000  -0.009718 0.011890 68652  0.000018 0.002826 0.085940 0.005960  1.224943 -0.102681   68183 0.000003 0.002743 0.000011
250 115558606365.000000  -0.009409 0.010460 68653  0.000009 0.002696 -0.072716 -0.054992  0.594560 -0.049839   68227 0.000017 0.002628 0.000069
251 115565396212.500000  -0.010295 0.011988 68654  -0.000030 0.002912 0.015127 0.043237  -2.067964 0.173348   68114 -0.000043 0.002818 -0.000049
252 115572186060.000000  -0.009108 0.009633 68654  -0.000014 0.002767 -0.025992 -0.186790  -0.971095 0.081402   68397 -0.000011 0.002727 0.000013
253 115578975907.500000  -0.010157 0.010113 68653  -0.000017 0.002734 0.012457 -0.003325  -1.135912 0.095218   68134 -0.000019 0.002649 -0.000030
254 115585765755.000000  -0.009696 0.010029 68655  -0.000010 0.002737 0.015383 0.142332  -0.671168 0.056261   67851 -0.000014 0.002615 -0.000029
255 115592555602.500000  -0.010381 0.009713 68655  0.000009 0.002668 -0.002664 0.001742  0.648578 -0.054367   68194 0.000017 0.002591 0.000003
256 115599345450.000000  -0.011422 0.010098 68655  0.000038 0.002767 -0.082682 0.115709  2.612784 -0.219017   67967 0.000051 0.002659 0.000100
257 115606135297.500000  -0.010221 0.010445 68654  -0.000039 0.002778 -0.019824 -0.146315  -2.660491 0.223016   68332 -0.000029 0.002725 -0.000050
258 115612925145.000000  -0.010271 0.009140 68650  -0.000012 0.002640 -0.018193 -0.118114  -0.801009 0.067145   68268 -0.000007 0.002581 0.000013
259 115619714992.500000  -0.011598 0.010640 68650  0.000038 0.002768 -0.058067 0.036437  2.581557 -0.216400   68140 0.000038 0.002680 0.000094
260 115626504840.000000  -0.011225 0.010946 68650  0.000025 0.002892 0.044894 0.026406  1.741940 -0.146019   68114 0.000013 0.002800 -0.000025
261 115633294687.500000  -0.010170 0.010585 68661  -0.000020 0.002811 0.044563 -0.109357  -1.380797 0.115746   68292 -0.000023 0.002751 -0.000039
262 115640084535.000000  -0.011246 0.010609 68636  0.000020 0.002907 0.059483 0.054776  1.381195 -0.115779   68044 0.000011 0.002803 -0.000009
263 115646874382.500000  -0.010507 0.009454 68647  -0.000062 0.002811 -0.006654 -0.019288  -4.231788 0.354731   68116 -0.000062 0.002729 -0.000039
264 115653664230.000000  -0.009748 0.009842 68648  0.000015 0.002697 -0.004415 -0.089767  1.036079 -0.086850   68266 0.000012 0.002639 0.000010
265 115660454077.500000  -0.011240 0.011609 68649  0.000025 0.002721 0.018495 0.127146  1.727941 -0.144845   68074 0.000026 0.002623 0.000016
266 115667243925.000000  -0.009872 0.009956 68650  0.000021 0.002768 -0.040414 -0.133808  1.459916 -0.122378   68313 0.000031 0.002713 0.000038
267 115674033772.500000  -0.009646 0.011528 68653  0.000001 0.002643 0.070426 0.166798  0.074680 -0.006260   67958 -0.000012 0.002534 -0.000031
268 115680823620.000000  -0.012157 0.009995 68654  0.000015 0.002893 0.018029 -0.021284  1.036531 -0.086888   68175 0.000005 0.002809 0.000005
269 115687613467.500000  -0.011126 0.010416 68657  0.000058 0.002731 -0.009344 0.019002  4.012123 -0.336317   68139 0.000059 0.002644 0.000054
270 115694403315.000000  -0.012781 0.012047 68652  0.000020 0.002840 0.032621 0.017447  1.393755 -0.116832   68211 0.000016 0.002761 -0.000014
271 115701193162.500000  -0.011776 0.010560 68666  -0.000017 0.002855 -0.049524 0.016759  -1.168079 0.097915   68203 0.000000 0.002773 0.000005
272 115707983010.000000  -0.011318 0.010108 68634  -0.000046 0.002965 -0.062023 0.008330  -3.170838 0.265796   68156 -0.000030 0.002879 0.000002
273 115714772857.500000  -0.011737 0.009853 68656  -0.000004 0.002841 -0.112956 0.015444  -0.305601 0.025617   68186 0.000026 0.002760 0.000021
274 115721562705.000000  -0.012582 0.010338 68659  0.000013 0.003057 0.007413 0.078718  0.886822 -0.074338   68094 0.000027 0.002951 -0.000010
275 115728352552.500000  -0.010571 0.010250 68658  0.000012 0.003038 0.004659 -0.028381  0.798378 -0.066924   68150 0.000021 0.002951 -0.000029
276 115735142400.000000  -0.011422 0.016151 68656  -0.000003 0.003417 0.154462 -0.034857  -0.183984 0.015423   68273 -0.000028 0.003332 -0.000145
