# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
25 85833208231.000000  -0.002679 0.002682 89413  0.000000 0.000702 -0.009314 -0.044079  0.023800 -0.001717   88831 -0.000001 0.000683 0.000006
26 85839050278.000000  -0.003034 0.003613 89411  -0.000000 0.000729 0.020267 0.148122  -0.012743 0.000919   88649 -0.000000 0.000702 -0.000002
27 85844892325.000000  -0.003080 0.002875 89409  -0.000003 0.000724 0.045615 -0.046126  -0.286388 0.020655   88856 -0.000005 0.000706 -0.000016
28 85850734372.000000  -0.003065 0.002910 89400  0.000003 0.000697 0.005406 -0.022660  0.235310 -0.016971   88804 0.000003 0.000678 -0.000002
29 85856576419.000000  -0.003158 0.002977 89405  -0.000001 0.000700 0.057036 0.062824  -0.069020 0.004978   88693 -0.000004 0.000677 -0.000006
30 85862418466.000000  -0.002712 0.002873 89404  0.000001 0.000712 0.017429 -0.110454  0.110410 -0.007963   88912 -0.000001 0.000697 0.000000
31 85868260513.000000  -0.002905 0.002995 89399  -0.000001 0.000712 -0.025198 0.008907  -0.112831 0.008138   88728 -0.000001 0.000690 0.000005
32 85874102560.000000  -0.002987 0.002918 89375  -0.000001 0.000722 0.001631 0.041917  -0.073158 0.005276   88636 -0.000001 0.000698 -0.000001
33 85879944607.000000  -0.002913 0.003052 89401  -0.000001 0.000694 0.014292 -0.043880  -0.105428 0.007604   88892 -0.000002 0.000677 -0.000000
34 85885786654.000000  -0.002856 0.003170 89428  0.000000 0.000706 0.035124 0.037557  0.020943 -0.001511   88732 -0.000002 0.000683 -0.000004
35 85891628701.000000  -0.002895 0.002689 89409  -0.000001 0.000681 0.002175 0.044394  -0.051852 0.003740   88716 -0.000000 0.000659 -0.000000
36 85897470748.000000  -0.003232 0.003176 89402  -0.000001 0.000728 -0.010281 0.019835  -0.069303 0.004998   88777 -0.000000 0.000706 0.000000
37 85903312795.000000  -0.003132 0.002855 89403  -0.000000 0.000722 -0.031966 0.003651  -0.007567 0.000546   88794 0.000001 0.000701 0.000006
38 85909154842.000000  -0.002966 0.003369 89409  0.000003 0.000713 -0.001227 0.053192  0.307205 -0.022157   88694 0.000004 0.000689 0.000002
39 85914996889.000000  -0.003048 0.002659 89408  -0.000006 0.000697 0.036877 -0.038997  -0.515108 0.037152   88855 -0.000009 0.000679 -0.000013
40 85920838936.000000  -0.002719 0.002799 89411  -0.000004 0.000709 0.020599 -0.001394  -0.345925 0.024949   88772 -0.000005 0.000688 -0.000007
41 85926680983.000000  -0.003638 0.002808 89410  0.000007 0.000685 -0.024123 -0.054256  0.613932 -0.044279   88905 0.000008 0.000668 0.000009
42 85932523030.000000  -0.002714 0.002830 89408  0.000001 0.000708 -0.008762 -0.068366  0.113711 -0.008201   88851 0.000002 0.000690 0.000002
43 85938365077.000000  -0.002936 0.002911 89405  -0.000002 0.000723 -0.028082 0.026868  -0.140887 0.010161   88710 0.000001 0.000700 0.000001
44 85944207124.000000  -0.003080 0.002994 89409  -0.000001 0.000712 -0.003802 -0.008540  -0.085313 0.006153   88800 0.000001 0.000692 -0.000002
45 85950049171.000000  -0.002812 0.002887 89412  0.000005 0.000718 -0.004295 -0.032727  0.483369 -0.034863   88771 0.000005 0.000697 0.000005
46 85955891218.000000  -0.003314 0.002955 89411  -0.000003 0.000710 -0.000667 -0.002364  -0.252549 0.018215   88824 -0.000003 0.000690 -0.000001
47 85961733265.000000  -0.003338 0.003124 89410  0.000003 0.000742 -0.005891 -0.002490  0.286086 -0.020634   88800 0.000005 0.000721 0.000002
48 85967575312.000000  -0.003669 0.003474 89411  -0.000001 0.000745 -0.037346 0.102030  -0.109845 0.007922   88725 0.000001 0.000720 0.000000
49 85973417359.000000  -0.002772 0.005422 89411  0.000002 0.000718 0.075596 0.389215  0.160712 -0.011591   88697 -0.000000 0.000692 0.000002
50 85979259406.000000  -0.003075 0.004316 89412  0.000001 0.000711 0.029342 0.110167  0.077239 -0.005571   88786 0.000000 0.000689 -0.000002
51 85985101453.000000  -0.002890 0.003974 89412  0.000006 0.000724 0.046986 0.070412  0.558888 -0.040309   88712 0.000003 0.000700 0.000002
52 85990943500.000000  -0.002934 0.003156 89412  0.000002 0.000700 -0.004276 0.038632  0.166930 -0.012040   88751 0.000003 0.000678 0.000001
53 85996785547.000000  -0.003419 0.004765 89411  -0.000002 0.000740 0.052778 0.183577  -0.151865 0.010953   88684 -0.000003 0.000713 -0.000010
54 86002627594.000000  -0.003013 0.005765 89407  0.000003 0.000751 0.034066 0.214392  0.229915 -0.016582   88806 0.000001 0.000728 0.000001
55 86008469641.000000  -0.003193 0.005827 89405  0.000006 0.000740 0.049720 0.368468  0.548610 -0.039568   88649 0.000006 0.000712 0.000005
56 86014311688.000000  -0.003033 0.003478 89407  0.000006 0.000742 0.029835 0.099684  0.558946 -0.040313   88652 0.000004 0.000716 0.000004
57 86020153735.000000  -0.002863 0.004353 89406  0.000002 0.000749 0.034198 0.071126  0.192533 -0.013886   88809 -0.000000 0.000727 -0.000001
58 86025995782.000000  -0.002797 0.004060 89405  -0.000002 0.000714 -0.010096 0.043473  -0.206330 0.014881   88816 -0.000002 0.000694 0.000003
59 86031837829.000000  -0.003113 0.005353 89405  -0.000000 0.000719 0.051956 0.280018  -0.021922 0.001581   88665 -0.000001 0.000693 0.000001
60 86037679876.000000  -0.003023 0.008214 89406  0.000002 0.000732 0.153234 1.392244  0.215354 -0.015532   88704 0.000001 0.000701 0.000001
61 86043521923.000000  -0.003193 0.005770 89375  0.000004 0.000737 0.057063 0.382077  0.327116 -0.023593   88754 0.000002 0.000712 0.000006
62 86049363970.000000  -0.002560 0.002979 89434  -0.000001 0.000713 0.053234 -0.006244  -0.073293 0.005286   88788 -0.000004 0.000692 -0.000008
63 86055206017.000000  -0.003192 0.003581 89404  0.000001 0.000737 -0.001701 0.040925  0.098996 -0.007140   88722 0.000001 0.000713 0.000003
64 86061048064.000000  -0.003236 0.003227 89396  -0.000002 0.000715 0.002558 0.098292  -0.211077 0.015224   88644 -0.000002 0.000690 -0.000002
65 86066890111.000000  -0.003146 0.003030 89396  0.000002 0.000726 0.035832 -0.040035  0.189267 -0.013651   88849 0.000002 0.000708 -0.000007
66 86072732158.000000  -0.003552 0.002976 89404  0.000002 0.000726 -0.060859 0.027032  0.178688 -0.012888   88794 0.000005 0.000705 0.000010
67 86078574205.000000  -0.002871 0.002680 89400  -0.000001 0.000721 -0.007084 -0.030158  -0.076653 0.005529   88789 -0.000001 0.000701 -0.000001
68 86084416252.000000  -0.003273 0.002661 89394  0.000005 0.000707 0.023128 -0.018942  0.406408 -0.029312   88786 0.000002 0.000687 0.000003
69 86090258299.000000  -0.002972 0.003017 89391  -0.000000 0.000687 -0.008711 -0.003472  -0.027227 0.001964   88786 0.000000 0.000667 0.000003
70 86096100346.000000  -0.003457 0.002811 89388  0.000003 0.000720 -0.007939 0.002217  0.236302 -0.017043   88763 0.000003 0.000699 0.000003
71 86101942393.000000  -0.003540 0.002939 89389  -0.000008 0.000737 -0.066400 0.073978  -0.740964 0.053441   88711 -0.000004 0.000713 -0.000003
72 86107784440.000000  -0.003186 0.003330 89390  0.000007 0.000743 0.016645 0.022522  0.659353 -0.047555   88764 0.000007 0.000721 0.000001
73 86113626487.000000  -0.003031 0.002781 89393  0.000001 0.000702 0.010587 0.027222  0.077738 -0.005607   88738 -0.000001 0.000681 -0.000002
74 86119468534.000000  -0.002988 0.003227 89395  0.000001 0.000710 -0.018293 -0.013102  0.095347 -0.006877   88774 0.000003 0.000690 -0.000000
75 86125310581.000000  -0.003263 0.003010 89396  -0.000002 0.000727 -0.021743 -0.028162  -0.167106 0.012052   88823 0.000000 0.000708 0.000001
76 86131152628.000000  -0.003234 0.003877 89399  -0.000001 0.000717 -0.006244 0.043571  -0.122876 0.008862   88782 0.000000 0.000696 -0.000002
77 86136994675.000000  -0.002876 0.003055 89394  0.000002 0.000708 0.033213 0.070901  0.195349 -0.014089   88665 0.000001 0.000684 -0.000003
78 86142836722.000000  -0.002695 0.003267 89392  0.000005 0.000713 0.049490 -0.027044  0.414703 -0.029910   88775 0.000001 0.000692 -0.000002
79 86148678769.000000  -0.002922 0.002955 89389  0.000001 0.000708 -0.027915 0.049794  0.108427 -0.007820   88642 0.000003 0.000684 0.000006
80 86154520816.000000  -0.002891 0.002917 89381  -0.000004 0.000731 -0.003721 -0.031042  -0.328725 0.023709   88813 -0.000004 0.000712 0.000003
81 86160362863.000000  -0.002993 0.002908 89380  -0.000001 0.000696 0.014456 0.042922  -0.118183 0.008524   88700 -0.000001 0.000674 -0.000006
82 86166204910.000000  -0.002850 0.003032 89383  -0.000006 0.000716 0.047989 0.037041  -0.575824 0.041531   88673 -0.000010 0.000693 -0.000014
83 86172046957.000000  -0.003093 0.003014 89384  0.000003 0.000719 -0.001022 -0.025986  0.259510 -0.018717   88849 0.000002 0.000701 0.000004
84 86177889004.000000  -0.003057 0.003095 89391  -0.000006 0.000703 -0.028119 -0.019644  -0.548399 0.039553   88838 -0.000004 0.000685 -0.000002
85 86183731051.000000  -0.003121 0.002846 89388  0.000000 0.000717 0.004574 -0.014005  0.032510 -0.002345   88782 -0.000000 0.000697 0.000001
86 86189573098.000000  -0.002912 0.003056 89387  -0.000002 0.000725 0.006164 -0.033354  -0.185169 0.013355   88825 -0.000003 0.000706 -0.000003
87 86195415145.000000  -0.002853 0.003211 89385  0.000001 0.000727 -0.000653 -0.006104  0.091292 -0.006584   88831 0.000001 0.000708 0.000001
88 86201257192.000000  -0.002932 0.003001 89387  -0.000001 0.000723 -0.000991 -0.034531  -0.049511 0.003571   88795 0.000001 0.000704 -0.000000
89 86207099239.000000  -0.002963 0.003157 89375  -0.000004 0.000772 -0.006090 -0.031207  -0.400030 0.028852   88770 -0.000004 0.000751 -0.000003
90 86212941286.000000  -0.002761 0.002983 89390  -0.000005 0.000712 -0.020683 0.023144  -0.479994 0.034619   88734 -0.000006 0.000690 -0.000002
91 86218783333.000000  -0.003280 0.003041 89418  -0.000001 0.000739 0.018474 0.064650  -0.074654 0.005384   88711 -0.000002 0.000715 -0.000005
92 86224625380.000000  -0.002758 0.002995 89395  -0.000002 0.000725 0.032100 -0.004923  -0.192130 0.013857   88798 -0.000004 0.000705 -0.000005
93 86230467427.000000  -0.002902 0.003926 89395  0.000006 0.000747 0.050888 0.019604  0.493436 -0.035589   88819 0.000002 0.000727 -0.000000
94 86236309474.000000  -0.002962 0.005084 89391  0.000002 0.000763 0.014909 0.216251  0.158052 -0.011399   88704 0.000002 0.000737 0.000007
95 86242151521.000000  -0.003379 0.008464 89388  0.000003 0.000795 0.361975 2.283947  0.270803 -0.019531   88478 -0.000007 0.000745 -0.000009
96 86247993568.000000  -0.003361 0.008304 89388  0.000003 0.000865 0.565217 3.719247  0.279718 -0.020174   88285 -0.000012 0.000791 -0.000011
97 86253835615.000000  -0.003459 0.019054 89387  0.000015 0.000894 2.601982 36.781809  1.347926 -0.097218   88206 -0.000010 0.000754 -0.000011
98 86259677662.000000  -0.003539 0.021758 89386  0.000012 0.000947 3.697444 59.581528  1.063491 -0.076703   88459 -0.000012 0.000785 -0.000011
99 86265519709.000000  -0.003089 0.023936 89385  0.000007 0.000903 4.402289 84.564881  0.612119 -0.044149   88564 -0.000012 0.000754 -0.000015
100 86271361756.000000  -0.007388 0.023982 89382  0.000010 0.000862 3.337762 68.577401  0.876701 -0.063231   88425 -0.000004 0.000744 -0.000007
101 86277203803.000000  -0.009583 0.015608 89380  0.000009 0.000847 1.857504 24.104391  0.767853 -0.055381   88406 -0.000015 0.000735 -0.000017
102 86283045850.000000  -0.003098 0.030706 89383  0.000017 0.000919 6.310275 146.800141  1.504046 -0.108478   88296 -0.000007 0.000719 -0.000008
103 86288887897.000000  -0.003083 0.025256 89385  0.000027 0.000966 5.430664 98.385639  2.397449 -0.172914   88433 -0.000002 0.000758 -0.000007
104 86294729944.000000  -0.003518 0.021520 89385  0.000012 0.000889 4.049380 67.263686  1.085934 -0.078322   88344 -0.000012 0.000729 -0.000014
105 86300571991.000000  -0.003249 0.010370 89381  0.000005 0.000766 0.934718 8.502111  0.438654 -0.031638   88488 -0.000008 0.000702 -0.000010
106 86306414038.000000  -0.002646 0.004373 89377  0.000003 0.000726 0.073463 0.133206  0.271613 -0.019590   88826 -0.000000 0.000705 -0.000004
107 86312256085.000000  -0.003081 0.003851 89370  -0.000005 0.000744 0.031230 0.151440  -0.410458 0.029604   88595 -0.000006 0.000717 -0.000008
108 86318098132.000000  -0.002879 0.002952 89374  0.000002 0.000740 0.010783 0.016500  0.144441 -0.010418   88751 0.000000 0.000718 0.000006
109 86323940179.000000  -0.002973 0.003179 89371  0.000003 0.000717 -0.009134 -0.010449  0.263051 -0.018972   88797 0.000005 0.000698 0.000000
110 86329782226.000000  -0.002927 0.003172 89370  -0.000003 0.000732 0.038498 0.026589  -0.259495 0.018716   88705 -0.000005 0.000710 -0.000006
111 86335624273.000000  -0.003458 0.003192 89369  0.000001 0.000716 0.040570 0.078368  0.107439 -0.007749   88608 -0.000001 0.000691 -0.000007
112 86341466320.000000  -0.002935 0.002955 89372  0.000002 0.000733 0.040527 0.030692  0.160772 -0.011596   88633 -0.000000 0.000709 -0.000006
113 86347308367.000000  -0.002922 0.003007 89369  0.000001 0.000724 0.002518 0.020513  0.069525 -0.005014   88679 0.000000 0.000701 0.000002
114 86353150414.000000  -0.003475 0.003000 89369  0.000003 0.000725 -0.047482 0.068904  0.227493 -0.016408   88690 0.000005 0.000701 0.000007
115 86358992461.000000  -0.003125 0.003116 89367  -0.000003 0.000711 -0.039437 0.077398  -0.245355 0.017696   88615 -0.000000 0.000686 0.000002
116 86364834508.000000  -0.003479 0.003202 89367  0.000002 0.000719 -0.005316 0.033434  0.162176 -0.011697   88703 0.000002 0.000696 0.000001
117 86370676555.000000  -0.002761 0.003394 89375  -0.000005 0.000732 0.024525 -0.033802  -0.411304 0.029665   88808 -0.000006 0.000713 -0.000010
118 86376518602.000000  -0.003091 0.002909 89359  -0.000002 0.000745 -0.001170 0.055616  -0.177064 0.012771   88629 -0.000002 0.000720 -0.000003
119 86382360649.000000  -0.003111 0.002925 89370  0.000000 0.000746 -0.009311 -0.037399  0.005292 -0.000382   88816 0.000001 0.000727 -0.000001
120 86388202696.000000  -0.002971 0.003486 89387  0.000001 0.000742 0.034873 0.045754  0.052504 -0.003787   88722 -0.000002 0.000719 -0.000005
121 86394044743.000000  -0.003028 0.002730 89366  0.000007 0.000705 -0.026594 -0.012498  0.603985 -0.043562   88740 0.000009 0.000686 0.000013
122 86399886790.000000  -0.003025 0.003605 89364  -0.000002 0.000755 -0.021471 0.044489  -0.203471 0.014675   88708 -0.000001 0.000732 0.000006
123 86405728837.000000  -0.002746 0.004376 89356  0.000002 0.000717 0.052461 0.034395  0.197504 -0.014245   88806 -0.000001 0.000697 -0.000001
124 86411570884.000000  -0.003262 0.003979 89356  -0.000004 0.000751 -0.015963 0.111252  -0.318240 0.022953   88646 -0.000003 0.000725 0.000002
125 86417412931.000000  -0.003139 0.004116 89353  0.000002 0.000761 0.022521 0.024974  0.155037 -0.011182   88774 0.000000 0.000740 -0.000003
126 86423254978.000000  -0.003390 0.004594 89357  -0.000002 0.000738 -0.017095 0.125283  -0.153371 0.011062   88713 -0.000000 0.000714 0.000004
127 86429097025.000000  -0.003491 0.005746 89356  0.000001 0.000761 0.050939 0.255882  0.103530 -0.007467   88679 0.000001 0.000734 -0.000004
128 86434939072.000000  -0.002768 0.003827 89352  0.000001 0.000740 0.018668 -0.024033  0.127638 -0.009206   88742 0.000000 0.000719 -0.000002
129 86440781119.000000  -0.003030 0.003179 89352  -0.000001 0.000727 0.054821 -0.050443  -0.062309 0.004494   88817 -0.000001 0.000709 -0.000011
130 86446623166.000000  -0.003380 0.003017 89349  0.000002 0.000764 -0.030775 0.014530  0.147944 -0.010670   88677 0.000004 0.000740 0.000008
131 86452465213.000000  -0.002811 0.003224 89346  0.000001 0.000745 0.030350 0.032879  0.046458 -0.003351   88663 -0.000002 0.000721 -0.000004
132 86458307260.000000  -0.002980 0.003723 89347  0.000005 0.000738 -0.006668 0.018758  0.406540 -0.029321   88713 0.000005 0.000716 0.000005
133 86464149307.000000  -0.003685 0.003394 89344  -0.000001 0.000735 0.004198 0.022620  -0.053989 0.003894   88790 -0.000001 0.000715 0.000000
134 86469991354.000000  -0.002871 0.002703 89345  0.000001 0.000746 -0.036495 -0.074727  0.103420 -0.007459   88809 0.000003 0.000728 0.000006
135 86475833401.000000  -0.002976 0.002971 89343  0.000005 0.000713 0.032577 0.010806  0.417060 -0.030080   88726 0.000004 0.000692 -0.000001
136 86481675448.000000  -0.003166 0.002939 89341  0.000000 0.000714 -0.004672 -0.027705  0.036241 -0.002614   88766 0.000001 0.000695 -0.000001
137 86487517495.000000  -0.002976 0.002859 89339  -0.000004 0.000733 0.041705 -0.014222  -0.343401 0.024767   88716 -0.000006 0.000713 -0.000010
138 86493359542.000000  -0.003148 0.002866 89338  -0.000001 0.000742 -0.005598 -0.016923  -0.055843 0.004028   88761 0.000000 0.000722 -0.000004
139 86499201589.000000  -0.002954 0.003356 89338  -0.000002 0.000751 0.064651 -0.036723  -0.221004 0.015940   88819 -0.000005 0.000732 -0.000011
140 86505043636.000000  -0.003229 0.003016 89338  -0.000001 0.000720 -0.006490 0.044168  -0.067269 0.004852   88654 0.000001 0.000697 -0.000004
141 86510885683.000000  -0.003046 0.003026 89329  0.000001 0.000724 -0.042248 0.039084  0.084135 -0.006068   88587 0.000004 0.000699 0.000007
142 86516727730.000000  -0.003279 0.003244 89332  0.000003 0.000735 -0.010872 0.055053  0.232890 -0.016797   88651 0.000001 0.000712 0.000009
143 86522569777.000000  -0.003031 0.003409 89326  -0.000001 0.000743 0.022311 0.042100  -0.087064 0.006279   88662 -0.000002 0.000720 -0.000002
144 86528411824.000000  -0.002827 0.002811 89327  -0.000001 0.000737 0.021873 -0.058340  -0.119709 0.008634   88748 -0.000003 0.000718 -0.000001
145 86534253871.000000  -0.003229 0.002926 89329  -0.000001 0.000711 0.009504 -0.026181  -0.097925 0.007063   88733 -0.000002 0.000691 -0.000005
146 86540095918.000000  -0.002777 0.002905 89330  -0.000003 0.000742 0.008488 -0.092270  -0.273037 0.019693   88813 -0.000003 0.000724 -0.000003
147 86545937965.000000  -0.002993 0.003056 89309  0.000005 0.000764 0.058830 -0.012765  0.442129 -0.031888   88679 0.000001 0.000742 -0.000003
148 86551780012.000000  -0.003221 0.003130 89352  0.000003 0.000755 -0.003342 -0.006505  0.234930 -0.016944   88704 0.000003 0.000732 0.000003
149 86557622059.000000  -0.002746 0.002965 89331  -0.000002 0.000736 -0.003009 -0.019910  -0.166400 0.012001   88712 -0.000002 0.000715 0.000001
150 86563464106.000000  -0.003029 0.003409 89340  -0.000003 0.000745 -0.002047 0.086512  -0.285803 0.020613   88607 -0.000003 0.000719 -0.000005
151 86569306153.000000  -0.003337 0.003067 89341  0.000002 0.000729 -0.008490 0.003771  0.179701 -0.012961   88695 0.000003 0.000707 0.000007
152 86575148200.000000  -0.003738 0.003989 89339  0.000001 0.000748 0.010595 0.126181  0.125819 -0.009075   88597 0.000001 0.000721 0.000003
153 86580990247.000000  -0.002968 0.002934 89335  -0.000001 0.000720 0.000094 0.063325  -0.068060 0.004909   88635 0.000000 0.000696 -0.000003
154 86586832294.000000  -0.002687 0.003412 89335  0.000006 0.000734 0.082587 0.054444  0.500125 -0.036071   88650 0.000001 0.000710 -0.000008
155 86592674341.000000  -0.003050 0.003126 89334  -0.000000 0.000759 0.011504 -0.018794  -0.040081 0.002891   88749 -0.000001 0.000738 -0.000001
156 86598516388.000000  -0.003029 0.002670 89339  -0.000000 0.000743 -0.024328 -0.012241  -0.012030 0.000868   88693 0.000001 0.000722 0.000003
157 86604358435.000000  -0.003334 0.003289 89346  0.000006 0.000737 0.001131 0.008123  0.507985 -0.036638   88738 0.000006 0.000716 0.000005
158 86610200482.000000  -0.003591 0.003012 89354  0.000002 0.000738 -0.023000 0.037072  0.215095 -0.015514   88706 0.000004 0.000715 0.000004
159 86616042529.000000  -0.003120 0.003229 89356  -0.000006 0.000735 -0.000726 0.079578  -0.491767 0.035468   88579 -0.000006 0.000708 -0.000005
160 86621884576.000000  -0.002952 0.003159 89365  -0.000004 0.000729 0.067316 0.062969  -0.381140 0.027489   88623 -0.000008 0.000704 -0.000012
161 86627726623.000000  -0.003295 0.003056 89369  0.000003 0.000744 -0.036234 0.150336  0.270582 -0.019515   88509 0.000007 0.000714 0.000001
162 86633568670.000000  -0.002786 0.003119 89373  -0.000001 0.000750 0.019311 -0.077018  -0.079098 0.005705   88857 -0.000002 0.000732 -0.000001
163 86639410717.000000  -0.003106 0.003053 89371  0.000006 0.000739 -0.018079 0.000093  0.539620 -0.038920   88719 0.000007 0.000717 0.000007
164 86645252764.000000  -0.003290 0.003675 89373  0.000001 0.000753 0.019707 0.034398  0.110219 -0.007949   88738 -0.000000 0.000731 0.000004
165 86651094811.000000  -0.003252 0.003194 89372  -0.000003 0.000726 0.027168 -0.009756  -0.273072 0.019695   88758 -0.000005 0.000706 -0.000005
166 86656936858.000000  -0.003157 0.003397 89372  -0.000004 0.000754 0.014730 0.112294  -0.367772 0.026525   88584 -0.000005 0.000725 -0.000006
167 86662778905.000000  -0.003026 0.006919 89377  0.000004 0.000795 0.265332 1.124782  0.327879 -0.023648   88625 -0.000005 0.000757 -0.000010
168 86668620952.000000  -0.003450 0.017591 89379  0.000011 0.000860 2.532642 36.030803  1.009839 -0.072834   88482 -0.000011 0.000744 -0.000017
169 86674462999.000000  -0.003098 0.022143 89371  0.000013 0.000881 3.916088 69.219009  1.145855 -0.082644   88564 -0.000007 0.000738 -0.000009
170 86680305046.000000  -0.003346 0.021237 89369  0.000007 0.000862 3.340902 59.610292  0.587655 -0.042384   88582 -0.000010 0.000742 -0.000010
171 86686147093.000000  -0.004762 0.014713 89375  0.000003 0.000807 1.049537 14.067214  0.292824 -0.021120   88515 -0.000005 0.000744 -0.000008
172 86691989140.000000  -0.005941 0.011765 89380  0.000012 0.000785 0.625037 6.644076  1.060736 -0.076505   88528 0.000002 0.000729 0.000006
173 86697831187.000000  -0.003189 0.023511 89381  0.000010 0.000820 3.666345 77.122272  0.867792 -0.062589   88519 -0.000003 0.000705 0.000002
174 86703673234.000000  -0.003075 0.022164 89391  0.000012 0.000865 3.413228 60.335599  1.112222 -0.080218   88493 -0.000004 0.000736 -0.000006
175 86709515281.000000  -0.003000 0.014635 89388  0.000009 0.000808 1.523117 18.678642  0.774997 -0.055896   88545 -0.000007 0.000729 -0.000007
176 86715357328.000000  -0.003287 0.005394 89376  0.000001 0.000783 0.100608 0.376753  0.112134 -0.008088   88630 -0.000005 0.000752 -0.000005
177 86721199375.000000  -0.002956 0.004511 89429  0.000001 0.000737 0.038984 0.216688  0.123195 -0.008885   88668 -0.000001 0.000709 0.000003
178 86727041422.000000  -0.002854 0.002852 89399  -0.000002 0.000726 0.006190 0.007080  -0.137340 0.009906   88736 -0.000003 0.000704 -0.000003
179 86732883469.000000  -0.003028 0.003348 89404  -0.000005 0.000727 0.011877 -0.015727  -0.432870 0.031220   88849 -0.000005 0.000708 -0.000008
180 86738725516.000000  -0.003043 0.003633 89398  -0.000003 0.000735 -0.023220 0.123258  -0.285595 0.020598   88615 -0.000001 0.000707 -0.000000
181 86744567563.000000  -0.003016 0.007325 89398  -0.000000 0.000740 0.294877 1.558035  -0.017794 0.001283   88578 -0.000009 0.000701 -0.000019
182 86750409610.000000  -0.003466 0.010463 89397  0.000004 0.000818 1.219184 11.187917  0.386119 -0.027848   88481 -0.000012 0.000732 -0.000006
183 86756251657.000000  -0.002989 0.013108 89394  0.000016 0.000839 1.601775 16.520905  1.432084 -0.103288   88419 -0.000005 0.000737 0.000000
184 86762093704.000000  -0.003336 0.020694 89400  0.000017 0.000911 2.800656 41.103713  1.480605 -0.106787   88424 -0.000008 0.000770 -0.000004
185 86767935751.000000  -0.002893 0.023238 89402  0.000018 0.000906 3.882410 68.699105  1.608422 -0.116006   88566 -0.000007 0.000759 -0.000010
