# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
1 85692999103.000000  -0.003841 0.003562 89504  -0.000003 0.000878 -0.028603 0.024893  -0.301259 0.021728   88807 -0.000001 0.000850 -0.000002
2 85698841150.000000  -0.003343 0.003255 89410  0.000005 0.000798 0.006411 0.058742  0.454990 -0.032816   88628 0.000005 0.000770 0.000002
3 85704683197.000000  -0.003215 0.005472 89381  0.000001 0.000809 0.018326 0.295676  0.076999 -0.005553   88646 0.000003 0.000779 -0.000000
4 85710525244.000000  -0.003106 0.003700 89406  0.000006 0.000802 0.028544 0.014812  0.563913 -0.040672   88818 0.000005 0.000780 0.000001
5 85716367291.000000  -0.003033 0.003272 89430  0.000005 0.000768 -0.025964 -0.002751  0.442553 -0.031919   88806 0.000007 0.000745 0.000010
6 85722209338.000000  -0.003132 0.003142 89395  0.000002 0.000748 -0.022522 0.061694  0.184394 -0.013299   88664 0.000002 0.000722 0.000012
7 85728051385.000000  -0.002991 0.003211 89397  0.000000 0.000739 -0.027341 0.039732  0.018539 -0.001337   88721 0.000002 0.000715 0.000003
8 85733893432.000000  -0.002910 0.003216 89400  0.000001 0.000754 0.023916 -0.019924  0.082631 -0.005960   88795 -0.000000 0.000734 -0.000003
9 85739735479.000000  -0.003004 0.003415 89401  -0.000003 0.000757 0.012639 -0.052455  -0.254845 0.018380   88856 -0.000004 0.000738 -0.000005
10 85745577526.000000  -0.003040 0.003543 89410  -0.000002 0.000755 0.010933 -0.002284  -0.183191 0.013212   88823 -0.000002 0.000734 -0.000001
11 85751419573.000000  -0.003110 0.002920 89405  0.000006 0.000747 0.001984 -0.019554  0.574022 -0.041401   88840 0.000007 0.000727 0.000004
12 85757261620.000000  -0.002885 0.003020 89403  0.000004 0.000723 -0.019535 0.025554  0.337150 -0.024317   88734 0.000004 0.000701 0.000009
13 85763103667.000000  -0.003254 0.003044 89403  0.000003 0.000734 -0.020240 0.059211  0.289354 -0.020869   88699 0.000004 0.000710 0.000004
14 85768945714.000000  -0.003137 0.002950 89406  -0.000001 0.000734 -0.033227 0.032002  -0.092172 0.006648   88711 0.000002 0.000710 0.000004
15 85774787761.000000  -0.003064 0.002902 89408  -0.000001 0.000725 0.024518 -0.062067  -0.094524 0.006817   88884 -0.000003 0.000707 -0.000005
16 85780629808.000000  -0.002925 0.003577 89414  -0.000001 0.000726 0.058125 0.060457  -0.104907 0.007566   88754 -0.000005 0.000703 -0.000008
17 85786471855.000000  -0.003498 0.003688 89414  0.000004 0.000736 0.012932 0.042792  0.364389 -0.026281   88817 0.000002 0.000714 0.000006
18 85792313902.000000  -0.002836 0.003072 89407  -0.000001 0.000708 -0.013714 0.037718  -0.058050 0.004187   88745 0.000001 0.000686 -0.000001
19 85798155949.000000  -0.002957 0.003183 89406  -0.000000 0.000729 0.038108 0.086084  -0.007628 0.000550   88639 -0.000003 0.000703 -0.000003
20 85803997996.000000  -0.002935 0.002563 89407  -0.000002 0.000708 -0.021550 -0.071146  -0.221545 0.015979   88880 0.000000 0.000691 -0.000003
21 85809840043.000000  -0.002760 0.003092 89412  0.000005 0.000712 -0.007711 -0.029944  0.410009 -0.029572   88846 0.000005 0.000693 0.000006
22 85815682090.000000  -0.003129 0.002910 89416  -0.000004 0.000726 -0.042964 -0.010626  -0.340340 0.024547   88773 -0.000002 0.000705 0.000002
23 85821524137.000000  -0.003189 0.003449 89421  0.000004 0.000717 0.032522 0.035998  0.392424 -0.028303   88852 0.000002 0.000697 0.000003
24 85827366184.000000  -0.002761 0.002878 89420  0.000000 0.000706 -0.006721 -0.071048  0.008999 -0.000649   88923 0.000000 0.000689 0.000003
