# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
95 88072906722.000000  -0.002387 0.002653 89512  -0.000003 0.000605 0.007627 0.001033  -0.276628 0.019952   88878 -0.000003 0.000587 -0.000004
96 88078748769.000000  -0.002737 0.002619 89509  0.000002 0.000627 -0.039798 -0.014696  0.188616 -0.013604   88873 0.000004 0.000609 0.000010
97 88084590816.000000  -0.002781 0.002498 89505  0.000002 0.000648 -0.009728 -0.042132  0.141838 -0.010230   88945 0.000002 0.000631 0.000004
98 88090432863.000000  -0.002454 0.002313 89506  0.000000 0.000610 -0.012998 -0.031619  0.003433 -0.000248   88860 0.000001 0.000593 0.000002
99 88096274910.000000  -0.002636 0.003197 89502  -0.000001 0.000613 -0.002967 0.113010  -0.103342 0.007453   88748 -0.000001 0.000591 -0.000001
100 88102116957.000000  -0.002452 0.002525 89499  -0.000001 0.000608 0.027358 0.032405  -0.100536 0.007251   88841 -0.000002 0.000589 -0.000006
101 88107959004.000000  -0.002468 0.003034 89494  0.000002 0.000610 0.012768 -0.000925  0.152697 -0.011013   88894 0.000001 0.000593 0.000001
102 88113801051.000000  -0.002730 0.002402 89496  -0.000001 0.000609 0.006043 0.013086  -0.050732 0.003659   88835 -0.000001 0.000590 -0.000003
103 88119643098.000000  -0.002828 0.002551 89496  -0.000001 0.000639 0.022843 -0.024972  -0.113936 0.008217   88900 -0.000002 0.000621 -0.000003
104 88125485145.000000  -0.002735 0.002774 89494  -0.000000 0.000621 0.018339 0.050321  -0.013466 0.000971   88739 -0.000001 0.000599 -0.000004
105 88131327192.000000  -0.002452 0.002448 89491  -0.000003 0.000623 0.004843 -0.036471  -0.228201 0.016459   88920 -0.000002 0.000606 -0.000004
106 88137169239.000000  -0.002539 0.002753 89489  -0.000001 0.000623 0.004288 -0.005711  -0.133234 0.009609   88869 -0.000001 0.000605 -0.000000
107 88143011286.000000  -0.002295 0.002622 89492  0.000000 0.000610 -0.002382 0.006909  0.013977 -0.001008   88844 0.000001 0.000592 -0.000001
108 88148853333.000000  -0.002568 0.002370 89489  0.000003 0.000626 -0.033403 -0.014414  0.247295 -0.017836   88868 0.000006 0.000608 0.000004
109 88154695380.000000  -0.002339 0.002545 89491  -0.000002 0.000602 0.012157 -0.021592  -0.145528 0.010496   88909 -0.000002 0.000585 -0.000004
110 88160537427.000000  -0.002598 0.002408 89488  -0.000001 0.000607 -0.005689 0.001433  -0.120530 0.008693   88850 -0.000000 0.000590 -0.000002
111 88166379474.000000  -0.002469 0.003100 89492  0.000001 0.000631 0.067849 0.107646  0.053935 -0.003890   88764 -0.000004 0.000609 -0.000005
112 88172221521.000000  -0.002857 0.002419 89489  0.000003 0.000612 0.007228 -0.021773  0.305099 -0.022005   88880 0.000003 0.000595 -0.000002
113 88178063568.000000  -0.002471 0.002716 89490  0.000002 0.000625 -0.015095 0.009817  0.183494 -0.013234   88861 0.000003 0.000607 0.000008
114 88183905615.000000  -0.002415 0.002577 89492  0.000000 0.000608 0.038429 -0.020900  0.017062 -0.001231   88918 -0.000001 0.000592 -0.000003
115 88189747662.000000  -0.002877 0.002484 89497  -0.000001 0.000617 -0.021103 -0.041947  -0.125562 0.009056   88904 -0.000000 0.000600 -0.000003
116 88195589709.000000  -0.002287 0.002517 89501  0.000001 0.000633 0.006190 -0.030657  0.072640 -0.005239   88912 -0.000000 0.000616 0.000003
117 88201431756.000000  -0.002487 0.002556 89500  0.000000 0.000635 0.015398 0.018870  0.030625 -0.002209   88828 -0.000000 0.000615 -0.000000
118 88207273803.000000  -0.003287 0.002777 89498  0.000000 0.000637 -0.035395 0.034639  0.012243 -0.000883   88872 0.000002 0.000618 0.000005
119 88213115850.000000  -0.002607 0.002813 89502  0.000003 0.000663 -0.026082 0.007195  0.252415 -0.018205   88875 0.000004 0.000643 0.000006
120 88218957897.000000  -0.002736 0.002591 89498  0.000000 0.000629 0.000465 0.077836  0.032700 -0.002358   88742 0.000000 0.000607 -0.000001
121 88224799944.000000  -0.002640 0.002765 89490  -0.000000 0.000633 -0.014856 -0.004048  -0.019898 0.001435   88882 0.000001 0.000615 -0.000001
122 88230641991.000000  -0.002756 0.002780 89489  -0.000002 0.000617 -0.002634 0.032272  -0.162518 0.011721   88802 -0.000001 0.000597 -0.000000
123 88236484038.000000  -0.002730 0.003032 89490  -0.000005 0.000640 0.026548 -0.002984  -0.403732 0.029119   88910 -0.000005 0.000622 -0.000008
124 88242326085.000000  -0.002678 0.002695 89491  -0.000001 0.000627 -0.031981 0.025030  -0.085645 0.006177   88828 0.000000 0.000607 0.000003
125 88248168132.000000  -0.002696 0.002652 89491  -0.000001 0.000651 -0.016471 -0.004238  -0.045356 0.003271   88875 -0.000000 0.000632 0.000002
126 88254010179.000000  -0.003345 0.002931 89489  -0.000001 0.000620 0.011021 0.051105  -0.128698 0.009282   88813 -0.000003 0.000600 -0.000002
127 88259852226.000000  -0.003173 0.002574 89487  -0.000000 0.000644 -0.010487 -0.046489  -0.023566 0.001700   88993 0.000000 0.000628 0.000000
128 88265694273.000000  -0.002342 0.002651 89487  0.000002 0.000614 -0.026549 -0.044719  0.186543 -0.013454   88938 0.000003 0.000599 0.000007
129 88271536320.000000  -0.002865 0.002662 89486  -0.000004 0.000629 -0.038327 0.037912  -0.368490 0.026577   88787 -0.000001 0.000609 -0.000001
130 88277378367.000000  -0.002849 0.002672 89492  -0.000000 0.000623 -0.053647 0.001793  -0.002814 0.000203   88858 0.000002 0.000605 0.000008
131 88283220414.000000  -0.002554 0.002827 89494  -0.000001 0.000616 0.027271 -0.022234  -0.118431 0.008542   88935 -0.000002 0.000600 -0.000003
132 88289062461.000000  -0.002707 0.002402 89487  -0.000001 0.000647 0.026877 -0.053021  -0.069351 0.005002   88932 -0.000002 0.000630 -0.000004
133 88294904508.000000  -0.002485 0.002462 89480  0.000001 0.000630 -0.003926 0.009081  0.118912 -0.008576   88823 0.000001 0.000611 0.000002
134 88300746555.000000  -0.002358 0.002780 89477  0.000003 0.000634 -0.002525 0.005862  0.261888 -0.018888   88847 0.000002 0.000616 0.000003
135 88306588602.000000  -0.002456 0.002612 89481  -0.000001 0.000615 0.012750 0.012180  -0.072888 0.005257   88827 -0.000001 0.000597 -0.000005
136 88312430649.000000  -0.002947 0.002991 89483  -0.000002 0.000619 0.026031 0.013209  -0.192877 0.013911   88924 -0.000004 0.000603 -0.000005
137 88318272696.000000  -0.002860 0.002812 89483  -0.000003 0.000642 -0.009951 0.015698  -0.264978 0.019111   88842 -0.000004 0.000623 -0.000001
138 88324114743.000000  -0.002951 0.002681 89479  -0.000001 0.000634 0.012093 0.044962  -0.097181 0.007009   88825 -0.000001 0.000614 -0.000004
139 88329956790.000000  -0.002603 0.002524 89484  0.000000 0.000634 -0.001872 -0.072715  0.002132 -0.000154   88975 0.000000 0.000619 0.000002
140 88335798837.000000  -0.002630 0.004109 89486  0.000001 0.000639 0.040874 0.223712  0.059426 -0.004286   88785 0.000000 0.000616 -0.000004
141 88341640884.000000  -0.002587 0.003596 89493  0.000000 0.000626 0.029909 0.067191  0.004308 -0.000311   88850 -0.000002 0.000606 -0.000000
142 88347482931.000000  -0.002712 0.002616 89492  0.000003 0.000641 0.028219 -0.015778  0.288148 -0.020782   88850 0.000002 0.000623 -0.000002
143 88353324978.000000  -0.002561 0.003197 89491  -0.000000 0.000639 0.054988 0.126086  -0.040336 0.002909   88807 -0.000003 0.000617 -0.000004
144 88359167025.000000  -0.002807 0.003876 89492  -0.000005 0.000644 0.018314 0.101848  -0.459733 0.033158   88826 -0.000005 0.000624 -0.000009
145 88365009072.000000  -0.002523 0.002691 89484  0.000001 0.000622 0.078267 0.052708  0.078354 -0.005651   88781 -0.000003 0.000601 -0.000010
146 88370851119.000000  -0.002649 0.003052 89486  0.000000 0.000632 0.040283 0.056966  0.042739 -0.003082   88770 -0.000001 0.000611 -0.000005
147 88376693166.000000  -0.002534 0.002378 89485  0.000002 0.000609 0.008457 -0.024170  0.179052 -0.012914   88880 0.000002 0.000592 -0.000001
148 88382535213.000000  -0.002564 0.002669 89489  -0.000000 0.000630 -0.011499 0.013785  -0.012621 0.000910   88804 0.000000 0.000610 0.000000
149 88388377260.000000  -0.003021 0.002764 89487  0.000003 0.000632 -0.010824 0.042062  0.235701 -0.017000   88788 0.000003 0.000612 0.000004
150 88394219307.000000  -0.002490 0.002526 89491  0.000000 0.000643 -0.008371 -0.083490  0.025103 -0.001810   88987 0.000001 0.000629 0.000002
151 88400061354.000000  -0.002944 0.002712 89495  0.000001 0.000639 -0.013042 -0.019863  0.061456 -0.004432   88896 0.000001 0.000621 -0.000001
152 88405903401.000000  -0.002607 0.002443 89487  -0.000000 0.000617 -0.015887 0.026994  -0.007598 0.000548   88838 0.000001 0.000598 0.000001
153 88411745448.000000  -0.002465 0.003181 89483  -0.000003 0.000633 -0.018317 0.021108  -0.238570 0.017207   88833 -0.000002 0.000614 0.000001
154 88417587495.000000  -0.002656 0.002491 89479  -0.000002 0.000632 0.000687 -0.032873  -0.164415 0.011858   88900 -0.000002 0.000615 -0.000000
155 88423429542.000000  -0.002467 0.002602 89483  -0.000003 0.000635 -0.015654 -0.027365  -0.310466 0.022392   88863 -0.000003 0.000618 0.000000
156 88429271589.000000  -0.002699 0.002930 89484  0.000000 0.000635 -0.006973 -0.009743  0.022053 -0.001591   88929 0.000000 0.000619 -0.000000
157 88435113636.000000  -0.002910 0.002738 89480  0.000000 0.000649 -0.026447 0.032093  0.001390 -0.000100   88781 0.000001 0.000629 0.000005
158 88440955683.000000  -0.002553 0.002511 89484  0.000003 0.000615 -0.021377 0.060884  0.279610 -0.020167   88738 0.000004 0.000594 0.000005
159 88446797730.000000  -0.003091 0.002829 89480  0.000000 0.000626 -0.002166 -0.025327  0.011119 -0.000802   88922 0.000000 0.000610 0.000001
160 88452639777.000000  -0.002567 0.002691 89482  0.000003 0.000629 0.019105 -0.029987  0.280108 -0.020202   88909 0.000002 0.000613 0.000001
161 88458481824.000000  -0.002547 0.003209 89486  -0.000002 0.000630 -0.001924 0.105456  -0.208127 0.015011   88706 -0.000002 0.000607 -0.000002
162 88464323871.000000  -0.002618 0.002463 89485  -0.000001 0.000637 0.017274 -0.058317  -0.067794 0.004890   88961 -0.000002 0.000621 -0.000006
163 88470165918.000000  -0.002732 0.002646 89486  0.000001 0.000621 -0.020005 0.032920  0.070154 -0.005060   88772 0.000000 0.000601 0.000004
164 88476007965.000000  -0.002695 0.002542 89486  -0.000002 0.000632 -0.023660 0.027234  -0.172445 0.012437   88815 -0.000001 0.000612 0.000002
165 88481850012.000000  -0.002538 0.002464 89484  -0.000003 0.000629 0.031214 -0.006534  -0.262065 0.018901   88866 -0.000003 0.000611 -0.000010
166 88487692059.000000  -0.003097 0.002593 89491  0.000001 0.000623 0.029592 0.043994  0.079914 -0.005764   88804 0.000000 0.000603 -0.000003
167 88493534106.000000  -0.002630 0.002892 89495  0.000000 0.000650 0.020175 -0.006328  0.016334 -0.001178   88850 -0.000001 0.000631 -0.000005
168 88499376153.000000  -0.002614 0.005317 89496  0.000004 0.000669 0.102634 0.509764  0.372688 -0.026880   88815 -0.000000 0.000644 0.000004
169 88505218200.000000  -0.002846 0.006497 89499  0.000005 0.000780 0.414066 2.129256  0.408888 -0.029491   88438 -0.000010 0.000721 -0.000009
170 88511060247.000000  -0.004700 0.016311 89498  0.000025 0.001116 2.003327 18.587536  2.219790 -0.160100   87535 -0.000012 0.000895 -0.000007
171 88516902294.000000  -0.005787 0.031421 89500  0.000052 0.001513 4.424793 55.454572  4.657848 -0.335943   87416 -0.000021 0.001065 -0.000002
172 88522744341.000000  -0.007208 0.038957 89496  0.000085 0.002001 5.692238 71.361219  7.631071 -0.550384   87537 -0.000019 0.001277 0.000011
173 88528586388.000000  -0.010958 0.059689 89500  0.000147 0.002763 6.463150 77.415526  13.121026 -0.946341   86805 -0.000019 0.001516 0.000022
174 88534428435.000000  -0.010544 0.078393 89503  0.000184 0.003550 6.994739 90.969872  16.450651 -1.186487   86750 -0.000049 0.001895 -0.000005
175 88540270482.000000  -0.011428 0.124908 89502  0.000237 0.004461 10.348785 183.879301  21.256105 -1.533076   86899 -0.000051 0.002073 -0.000007
176 88546112529.000000  -0.010287 0.128166 89500  0.000254 0.004861 12.564701 227.339560  22.704481 -1.637539   86711 -0.000048 0.001928 -0.000002
177 88551954576.000000  -0.012306 0.182993 89495  0.000242 0.005198 18.509421 485.367221  21.686009 -1.564083   86575 -0.000035 0.001789 -0.000013
178 88557796623.000000  -0.014490 0.168300 89498  0.000205 0.004548 17.441240 462.640114  18.339999 -1.322755   86788 -0.000059 0.001738 -0.000064
179 88563638670.000000  -0.011192 0.110116 89506  0.000201 0.003791 12.027558 218.397796  18.017275 -1.299479   86702 -0.000060 0.001559 -0.000055
180 88569480717.000000  -0.008745 0.192351 89503  0.000246 0.004437 18.209671 491.463298  22.000234 -1.586746   87348 -0.000045 0.001395 -0.000033
181 88575322764.000000  -0.007484 0.151237 89504  0.000255 0.004392 17.810133 423.517911  22.804871 -1.644779   87387 -0.000026 0.001259 -0.000040
182 88581164811.000000  -0.006630 0.170791 89505  0.000223 0.004163 18.729082 498.682575  19.927999 -1.437288   87115 -0.000033 0.001270 -0.000049
183 88587006858.000000  -0.005812 0.111056 89510  0.000188 0.003694 15.402612 318.525369  16.828980 -1.213774   87180 -0.000050 0.001296 -0.000062
184 88592848905.000000  -0.005106 0.080261 89510  0.000130 0.002723 13.850532 284.092367  11.608843 -0.837277   87377 -0.000042 0.001177 -0.000039
