# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
1 87523754304.000000  -0.003382 0.003264 89527  0.000005 0.000786 0.012731 -0.000291  0.411695 -0.029693   88935 0.000004 0.000764 0.000002
2 87529596351.000000  -0.002605 0.002728 89538  0.000001 0.000683 0.035479 0.006295  0.110202 -0.007948   88898 -0.000000 0.000663 -0.000004
3 87535438398.000000  -0.003121 0.003147 89535  0.000002 0.000699 0.005730 -0.028821  0.177715 -0.012818   88985 -0.000000 0.000680 0.000001
4 87541280445.000000  -0.002723 0.003043 89527  0.000000 0.000709 0.009741 -0.056883  0.032968 -0.002378   88982 0.000000 0.000692 -0.000002
5 87547122492.000000  -0.003021 0.003185 89533  0.000001 0.000678 -0.038484 0.055799  0.060078 -0.004333   88884 0.000004 0.000657 0.000005
6 87552964539.000000  -0.002738 0.002753 89533  0.000002 0.000656 -0.021729 0.006580  0.181239 -0.013072   88931 0.000003 0.000637 0.000007
7 87558806586.000000  -0.002830 0.002729 89536  0.000001 0.000671 0.034153 0.049475  0.067155 -0.004843   88853 -0.000002 0.000649 -0.000001
8 87564648633.000000  -0.003150 0.002706 89534  0.000000 0.000653 0.015812 0.007764  0.015024 -0.001084   88971 -0.000002 0.000635 -0.000003
9 87570490680.000000  -0.002687 0.002593 89535  -0.000001 0.000630 -0.019425 0.018422  -0.079098 0.005705   88905 -0.000000 0.000612 0.000005
10 87576332727.000000  -0.002864 0.002733 89537  -0.000002 0.000656 0.027913 0.028809  -0.203506 0.014678   88886 -0.000003 0.000636 -0.000005
11 87582174774.000000  -0.002450 0.002499 89537  -0.000001 0.000628 -0.011406 -0.033600  -0.064479 0.004651   88914 -0.000000 0.000611 -0.000002
12 87588016821.000000  -0.002462 0.002533 89530  0.000002 0.000643 -0.018959 -0.017712  0.178449 -0.012870   88916 0.000003 0.000624 0.000005
13 87593858868.000000  -0.002495 0.002990 89532  0.000003 0.000642 0.036020 0.025565  0.258029 -0.018610   88897 0.000001 0.000623 0.000001
14 87599700915.000000  -0.002484 0.002597 89531  -0.000004 0.000646 0.017414 -0.058935  -0.358810 0.025879   88984 -0.000005 0.000630 -0.000005
15 87605542962.000000  -0.002724 0.002681 89530  0.000004 0.000655 0.026232 0.084705  0.318496 -0.022971   88755 0.000002 0.000632 -0.000000
16 87611385009.000000  -0.002489 0.002617 89537  -0.000001 0.000649 0.002744 -0.034093  -0.115920 0.008361   88961 -0.000001 0.000632 -0.000002
17 87617227056.000000  -0.002997 0.002616 89537  -0.000003 0.000639 0.006929 0.061821  -0.288206 0.020787   88816 -0.000004 0.000618 -0.000004
18 87623069103.000000  -0.002581 0.002469 89539  0.000001 0.000645 -0.007460 -0.086371  0.087355 -0.006300   89069 0.000001 0.000630 0.000002
19 87628911150.000000  -0.002946 0.002549 89539  0.000000 0.000644 -0.048500 0.019374  0.033342 -0.002405   88902 0.000002 0.000625 0.000008
20 87634753197.000000  -0.002619 0.002706 89533  0.000001 0.000656 0.049729 -0.039109  0.131588 -0.009491   88932 -0.000001 0.000639 -0.000003
21 87640595244.000000  -0.002780 0.002534 89532  0.000001 0.000645 -0.030934 0.034972  0.046257 -0.003336   88870 0.000002 0.000625 0.000003
22 87646437291.000000  -0.002453 0.002578 89526  -0.000002 0.000652 0.000013 -0.056057  -0.136314 0.009831   88972 -0.000002 0.000635 0.000001
23 87652279338.000000  -0.002477 0.002918 89521  0.000001 0.000634 0.013766 0.075934  0.073010 -0.005266   88773 -0.000000 0.000612 0.000001
24 87658121385.000000  -0.002593 0.002570 89520  0.000002 0.000643 -0.021510 0.008402  0.203222 -0.014657   88870 0.000004 0.000623 0.000003
25 87663963432.000000  -0.002711 0.002832 89517  -0.000001 0.000662 -0.010198 -0.015858  -0.077687 0.005603   88938 -0.000001 0.000644 0.000002
26 87669805479.000000  -0.002648 0.002595 89519  -0.000001 0.000645 0.028906 0.037364  -0.101456 0.007317   88810 -0.000002 0.000624 -0.000005
27 87675647526.000000  -0.002572 0.002851 89512  -0.000000 0.000666 0.020905 -0.018003  -0.016611 0.001198   88927 -0.000001 0.000647 -0.000002
28 87681489573.000000  -0.002833 0.002722 89513  -0.000002 0.000655 -0.031013 0.015183  -0.193081 0.013926   88827 -0.000000 0.000634 0.000003
29 87687331620.000000  -0.003041 0.003100 89516  0.000001 0.000655 0.006587 0.016262  0.073782 -0.005321   88905 -0.000000 0.000636 0.000001
30 87693173667.000000  -0.003127 0.002613 89515  -0.000001 0.000641 0.034791 0.013398  -0.114484 0.008257   88892 -0.000003 0.000622 -0.000005
31 87699015714.000000  -0.002679 0.002851 89512  -0.000001 0.000657 -0.009077 0.014355  -0.102009 0.007357   88878 -0.000001 0.000637 -0.000000
32 87704857761.000000  -0.002767 0.002446 89508  -0.000001 0.000664 -0.011596 -0.054939  -0.049932 0.003601   88950 -0.000000 0.000647 0.000000
33 87710699808.000000  -0.002806 0.002993 89502  0.000001 0.000668 0.007057 -0.001470  0.054056 -0.003899   88846 0.000000 0.000648 0.000000
34 87716541855.000000  -0.002685 0.002640 89501  0.000001 0.000646 -0.009383 -0.031432  0.084773 -0.006114   88930 0.000002 0.000629 -0.000000
35 87722383902.000000  -0.002815 0.002611 89504  0.000003 0.000656 -0.010224 0.001832  0.294214 -0.021220   88870 0.000003 0.000636 0.000006
36 87728225949.000000  -0.002902 0.002803 89505  -0.000001 0.000651 0.021226 0.039033  -0.076521 0.005519   88840 -0.000001 0.000631 -0.000005
37 87734067996.000000  -0.002533 0.002919 89499  -0.000000 0.000640 0.039039 0.042674  -0.005934 0.000428   88783 -0.000003 0.000618 -0.000004
38 87739910043.000000  -0.003117 0.002699 89503  -0.000000 0.000640 0.013421 -0.078366  -0.008768 0.000632   89026 0.000000 0.000625 -0.000003
39 87745752090.000000  -0.002969 0.002816 89501  -0.000001 0.000634 -0.001916 0.087868  -0.120103 0.008662   88799 -0.000001 0.000613 0.000002
40 87751594137.000000  -0.002937 0.002496 89505  -0.000001 0.000648 -0.004626 0.034300  -0.047479 0.003424   88819 -0.000000 0.000627 -0.000001
41 87757436184.000000  -0.002594 0.003316 89508  -0.000001 0.000653 0.038278 0.041199  -0.092970 0.006705   88850 -0.000003 0.000633 -0.000006
42 87763278231.000000  -0.002934 0.003737 89506  -0.000001 0.000642 0.043340 0.093209  -0.123135 0.008881   88934 -0.000003 0.000623 -0.000005
43 87769120278.000000  -0.003209 0.005179 89505  -0.000002 0.000668 0.063156 0.345278  -0.216133 0.015588   88769 -0.000004 0.000643 -0.000006
44 87774962325.000000  -0.002933 0.003446 89507  0.000000 0.000663 0.018768 0.036296  0.032708 -0.002359   88886 -0.000001 0.000643 -0.000001
45 87780804372.000000  -0.002558 0.003067 89502  0.000001 0.000653 0.024530 -0.001448  0.132415 -0.009550   88859 0.000001 0.000634 -0.000007
46 87786646419.000000  -0.002705 0.002900 89500  -0.000000 0.000648 0.007698 -0.019722  -0.029262 0.002110   88934 -0.000000 0.000631 -0.000002
47 87792488466.000000  -0.002704 0.003739 89499  -0.000002 0.000662 -0.018772 0.097492  -0.157044 0.011327   88806 -0.000001 0.000640 0.000003
48 87798330513.000000  -0.002743 0.007645 89498  -0.000000 0.000664 0.178627 1.395054  -0.012755 0.000920   88744 -0.000002 0.000635 -0.000003
49 87804172560.000000  -0.002542 0.006357 89497  -0.000001 0.000670 0.167907 0.820901  -0.055182 0.003980   88916 -0.000005 0.000647 -0.000007
50 87810014607.000000  -0.002470 0.005392 89503  0.000001 0.000642 0.093185 0.406702  0.046688 -0.003367   88855 -0.000003 0.000619 -0.000004
51 87815856654.000000  -0.002540 0.003132 89504  0.000001 0.000675 0.093887 0.119441  0.052651 -0.003797   88710 -0.000004 0.000650 -0.000008
52 87821698701.000000  -0.002762 0.012085 89507  0.000003 0.000761 1.159122 11.382045  0.299684 -0.021614   88491 -0.000012 0.000687 -0.000020
53 87827540748.000000  -0.004080 0.028246 89511  0.000026 0.001057 7.948202 147.404675  2.339747 -0.168752   88460 -0.000020 0.000733 -0.000028
54 87833382795.000000  -0.004078 0.031081 89513  0.000037 0.001170 7.925071 138.425409  3.317562 -0.239276   88152 -0.000020 0.000769 -0.000023
55 87839224842.000000  -0.003576 0.041024 89510  0.000039 0.001284 10.470549 220.358538  3.517729 -0.253713   88297 -0.000022 0.000793 -0.000029
56 87845066889.000000  -0.003172 0.029161 89515  0.000027 0.001068 8.172568 154.098809  2.424329 -0.174852   88480 -0.000013 0.000735 -0.000010
57 87850908936.000000  -0.002798 0.013512 89517  0.000006 0.000784 1.596673 18.419180  0.494369 -0.035656   88568 -0.000012 0.000696 -0.000014
58 87856750983.000000  -0.002866 0.013084 89512  -0.000000 0.000756 1.267809 14.660223  -0.018475 0.001333   88674 -0.000014 0.000688 -0.000016
59 87862593030.000000  -0.003292 0.024788 89518  0.000011 0.000844 5.542288 115.519301  0.970858 -0.070022   88587 -0.000012 0.000677 -0.000012
60 87868435077.000000  -0.002743 0.026788 89525  0.000024 0.000960 6.776925 120.676811  2.172118 -0.156662   88568 -0.000011 0.000702 -0.000006
61 87874277124.000000  -0.002748 0.023441 89525  0.000014 0.000823 4.419283 83.866263  1.236603 -0.089189   88694 -0.000008 0.000679 -0.000009
62 87880119171.000000  -0.002792 0.021003 89536  0.000005 0.000805 2.712356 49.822221  0.460077 -0.033183   88758 -0.000010 0.000710 -0.000007
63 87885961218.000000  -0.003036 0.005084 89518  -0.000002 0.000706 0.077832 0.581300  -0.221330 0.015963   88614 -0.000005 0.000672 -0.000004
64 87891803265.000000  -0.002680 0.004342 89521  -0.000001 0.000674 0.056312 0.203487  -0.122578 0.008841   88845 -0.000004 0.000651 -0.000001
65 87897645312.000000  -0.002523 0.002753 89515  -0.000003 0.000640 0.040268 -0.040943  -0.253323 0.018271   88923 -0.000005 0.000623 -0.000007
66 87903487359.000000  -0.002863 0.002507 89510  0.000002 0.000640 -0.012656 0.031583  0.196021 -0.014138   88808 0.000003 0.000619 0.000006
67 87909329406.000000  -0.002438 0.002909 89512  -0.000003 0.000628 0.018981 -0.049757  -0.277289 0.019999   88984 -0.000004 0.000613 -0.000003
68 87915171453.000000  -0.002755 0.002584 89516  0.000001 0.000625 -0.034227 -0.037606  0.074123 -0.005346   88982 0.000002 0.000610 0.000007
69 87921013500.000000  -0.002445 0.002558 89515  0.000000 0.000620 -0.013010 -0.017139  0.037569 -0.002710   88901 -0.000000 0.000603 0.000003
70 87926855547.000000  -0.002497 0.002754 89503  -0.000001 0.000620 0.004337 -0.027343  -0.097612 0.007040   88934 -0.000001 0.000604 -0.000002
71 87932697594.000000  -0.002655 0.002770 89505  0.000001 0.000627 0.039940 0.032465  0.131426 -0.009479   88829 -0.000001 0.000607 -0.000002
72 87938539641.000000  -0.002563 0.002597 89507  -0.000004 0.000636 -0.007738 -0.040811  -0.313831 0.022635   88935 -0.000003 0.000619 -0.000003
73 87944381688.000000  -0.002867 0.003019 89508  -0.000002 0.000627 0.009525 0.072460  -0.159930 0.011535   88792 -0.000004 0.000606 -0.000002
74 87950223735.000000  -0.002636 0.002473 89514  -0.000001 0.000639 0.001620 -0.017716  -0.046652 0.003365   88869 -0.000001 0.000620 0.000001
75 87956065782.000000  -0.003147 0.002660 89514  0.000002 0.000648 0.020848 -0.021720  0.202290 -0.014590   88878 0.000002 0.000629 -0.000001
76 87961907829.000000  -0.003067 0.002713 89517  -0.000001 0.000636 -0.030154 -0.002409  -0.104911 0.007567   88915 0.000000 0.000618 0.000002
77 87967749876.000000  -0.002633 0.002915 89518  0.000001 0.000612 0.006095 0.081504  0.067813 -0.004891   88798 0.000000 0.000591 -0.000004
78 87973591923.000000  -0.002624 0.002648 89524  -0.000000 0.000623 -0.023087 0.010555  -0.010053 0.000725   88861 0.000002 0.000604 0.000001
79 87979433970.000000  -0.002527 0.002679 89523  0.000002 0.000617 0.012277 0.042290  0.195392 -0.014092   88824 0.000002 0.000597 0.000002
80 87985276017.000000  -0.002226 0.002858 89518  0.000004 0.000607 0.005968 -0.073516  0.363704 -0.026232   89015 0.000004 0.000593 0.000002
81 87991118064.000000  -0.002600 0.002523 89512  -0.000001 0.000617 0.028751 -0.076025  -0.067019 0.004834   88990 -0.000000 0.000602 -0.000005
82 87996960111.000000  -0.002599 0.002604 89509  -0.000001 0.000620 -0.035396 -0.035477  -0.114899 0.008287   88931 -0.000001 0.000604 0.000004
83 88002802158.000000  -0.003016 0.002914 89509  0.000002 0.000610 -0.009070 0.018066  0.180543 -0.013021   88902 0.000003 0.000592 0.000002
84 88008644205.000000  -0.002606 0.002450 89508  0.000003 0.000618 -0.000753 -0.010178  0.256045 -0.018467   88870 0.000003 0.000600 0.000002
85 88014486252.000000  -0.002609 0.002636 89517  -0.000000 0.000623 -0.005067 -0.028087  -0.037238 0.002686   88913 0.000000 0.000606 -0.000004
86 88020328299.000000  -0.002918 0.002854 89518  -0.000003 0.000635 -0.053189 0.043220  -0.236825 0.017081   88863 -0.000000 0.000615 0.000004
87 88026170346.000000  -0.002571 0.003080 89516  -0.000003 0.000622 0.042211 0.055454  -0.241689 0.017432   88844 -0.000005 0.000602 -0.000009
88 88032012393.000000  -0.002423 0.002810 89513  0.000001 0.000617 0.001567 -0.017582  0.059665 -0.004303   88905 -0.000000 0.000600 0.000005
89 88037854440.000000  -0.002718 0.002354 89517  0.000005 0.000623 0.012196 0.023767  0.448636 -0.032357   88853 0.000004 0.000604 0.000004
90 88043696487.000000  -0.002651 0.002648 89522  -0.000000 0.000643 0.012525 -0.017267  -0.000537 0.000039   88930 0.000000 0.000626 -0.000000
91 88049538534.000000  -0.002423 0.002570 89521  0.000001 0.000617 0.046144 0.001413  0.117289 -0.008459   88907 -0.000000 0.000599 -0.000005
92 88055380581.000000  -0.002515 0.003112 89520  -0.000003 0.000624 -0.000455 0.010329  -0.229903 0.016582   88910 -0.000002 0.000606 0.000000
93 88061222628.000000  -0.002575 0.002739 89519  -0.000001 0.000608 0.014483 0.014342  -0.098815 0.007127   88903 -0.000002 0.000591 -0.000005
94 88067064675.000000  -0.002488 0.002476 89510  -0.000002 0.000624 0.003349 0.091454  -0.178270 0.012858   88703 -0.000003 0.000601 -0.000003
