# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
184 98793919779.000000  -0.002387 0.002690 76743  0.000000 0.000600 0.050550 0.003530  0.022379 -0.001833   76205 -0.000001 0.000583 -0.000004
185 98800554073.500000  -0.002643 0.002797 76743  -0.000003 0.000641 0.025895 -0.000790  -0.238269 0.019515   76225 -0.000005 0.000622 -0.000006
186 98807188368.000000  -0.002287 0.003795 76741  0.000003 0.000607 0.034359 0.061937  0.196679 -0.016109   76190 0.000002 0.000588 0.000003
187 98813822662.500000  -0.003016 0.002671 76745  -0.000001 0.000633 0.040355 0.053941  -0.060783 0.004978   76198 -0.000003 0.000613 -0.000006
188 98820456957.000000  -0.002627 0.002582 76732  0.000001 0.000593 -0.011158 0.044929  0.072395 -0.005930   76130 0.000001 0.000574 0.000004
189 98827091251.500000  -0.002373 0.002617 76736  0.000001 0.000599 0.016615 0.011940  0.075945 -0.006220   76177 0.000001 0.000581 -0.000002
190 98833725546.000000  -0.002706 0.002838 76743  0.000003 0.000629 0.008801 0.039427  0.264088 -0.021630   76197 0.000002 0.000610 0.000005
191 98840359840.500000  -0.002610 0.003662 76729  0.000004 0.000607 0.080406 0.174004  0.271223 -0.022214   76077 0.000000 0.000585 -0.000003
192 98846994135.000000  -0.002731 0.002500 76742  0.000001 0.000629 0.003041 0.036595  0.054980 -0.004503   76170 0.000000 0.000609 -0.000001
193 98853628429.500000  -0.002681 0.002772 76728  0.000001 0.000624 -0.007497 0.130771  0.071683 -0.005871   76063 0.000001 0.000601 0.000002
194 98860262724.000000  -0.002676 0.002590 76732  -0.000003 0.000613 0.008571 0.001115  -0.267321 0.021895   76209 -0.000004 0.000595 -0.000005
195 98866897018.500000  -0.002808 0.002727 76737  -0.000002 0.000629 -0.010804 0.045881  -0.182247 0.014927   76139 -0.000002 0.000608 -0.000002
196 98873531313.000000  -0.002812 0.002625 76723  -0.000001 0.000625 0.022908 0.015372  -0.044731 0.003664   76145 -0.000002 0.000606 -0.000001
197 98880165607.500000  -0.003014 0.002860 76723  0.000002 0.000636 0.011652 0.120397  0.115688 -0.009475   76041 0.000001 0.000612 0.000001
198 98886799902.000000  -0.002479 0.002755 76715  0.000001 0.000630 -0.041169 -0.017296  0.110091 -0.009017   76200 0.000003 0.000612 0.000004
199 98893434196.500000  -0.002743 0.002819 76718  -0.000002 0.000639 0.004298 -0.026226  -0.135302 0.011082   76202 -0.000003 0.000621 -0.000007
200 98900068491.000000  -0.002696 0.002742 76717  0.000000 0.000622 -0.022037 0.014283  0.020607 -0.001688   76174 0.000001 0.000603 0.000004
201 98906702785.500000  -0.002658 0.002498 76719  0.000000 0.000630 -0.034098 -0.051957  0.036143 -0.002960   76252 0.000003 0.000614 0.000004
202 98913337080.000000  -0.002768 0.004114 76711  0.000000 0.000648 0.042308 0.117631  0.027149 -0.002224   76181 -0.000001 0.000628 -0.000002
203 98919971374.500000  -0.002754 0.005470 76710  0.000003 0.000637 0.094171 0.501204  0.198804 -0.016283   76063 0.000000 0.000611 -0.000005
204 98926605669.000000  -0.002783 0.007810 76711  0.000005 0.000655 0.245567 2.128961  0.356687 -0.029214   76105 0.000002 0.000625 -0.000001
205 98933239963.500000  -0.002267 0.009325 76706  0.000005 0.000635 0.616158 6.039080  0.414117 -0.033918   76007 -0.000000 0.000594 -0.000003
206 98939874258.000000  -0.002848 0.011212 76700  0.000004 0.000645 0.874499 9.796845  0.278311 -0.022795   76038 -0.000003 0.000598 -0.000006
207 98946508552.500000  -0.002577 0.008364 76703  0.000000 0.000665 0.522524 4.924469  0.035198 -0.002883   76002 -0.000004 0.000623 -0.000001
208 98953142847.000000  -0.002728 0.008533 76697  0.000010 0.000669 0.584895 5.145006  0.744837 -0.061006   76020 0.000002 0.000625 0.000007
209 98959777141.500000  -0.002916 0.007793 76700  0.000007 0.000663 0.395620 3.019262  0.574924 -0.047089   75962 0.000000 0.000624 -0.000002
210 98966411436.000000  -0.002660 0.009912 76691  0.000004 0.000654 0.544138 5.797004  0.320432 -0.026245   76045 -0.000002 0.000615 -0.000001
211 98973045730.500000  -0.002599 0.009241 76692  0.000007 0.000640 0.522104 5.541555  0.510490 -0.041812   76129 0.000002 0.000606 0.000001
212 98979680025.000000  -0.003063 0.005579 76683  0.000001 0.000637 0.049820 0.614647  0.114459 -0.009375   76050 0.000002 0.000612 0.000004
213 98986314319.500000  -0.002639 0.003815 76686  -0.000000 0.000614 0.025493 0.052743  -0.011093 0.000909   76202 -0.000002 0.000597 -0.000002
214 98992948614.000000  -0.002642 0.003450 76687  0.000001 0.000634 0.001541 0.125135  0.056430 -0.004622   76058 0.000001 0.000612 0.000003
215 98999582908.500000  -0.002775 0.002589 76686  0.000001 0.000623 -0.029095 -0.017182  0.100831 -0.008259   76174 0.000003 0.000606 0.000004
216 99006217203.000000  -0.002523 0.002739 76685  -0.000000 0.000643 0.014512 -0.052625  -0.014748 0.001208   76205 -0.000001 0.000626 -0.000001
217 99012851497.500000  -0.002476 0.002932 76693  0.000001 0.000622 0.006238 -0.020194  0.101657 -0.008326   76169 0.000001 0.000605 0.000003
218 99019485792.000000  -0.002587 0.003114 76690  -0.000001 0.000643 0.012234 0.047313  -0.061171 0.005010   76138 -0.000001 0.000624 -0.000001
219 99026120086.500000  -0.002736 0.002490 76690  0.000002 0.000638 0.001568 -0.034529  0.141366 -0.011579   76173 0.000002 0.000621 0.000003
220 99032754381.000000  -0.002585 0.002708 76688  0.000001 0.000622 0.011257 0.094595  0.105819 -0.008667   76007 0.000002 0.000599 -0.000000
221 99039388675.500000  -0.002772 0.002759 76689  0.000000 0.000648 -0.008375 -0.020225  0.035042 -0.002870   76193 0.000000 0.000631 0.000000
222 99046022970.000000  -0.002652 0.003082 76689  0.000000 0.000613 0.003461 0.040374  0.032346 -0.002649   76153 0.000001 0.000595 -0.000003
223 99052657264.500000  -0.002714 0.002443 76686  0.000001 0.000625 -0.023470 -0.016978  0.078070 -0.006394   76161 0.000002 0.000607 0.000005
224 99059291559.000000  -0.002710 0.002807 76689  -0.000001 0.000639 0.028988 0.008602  -0.049738 0.004074   76128 -0.000003 0.000619 -0.000003
225 99065925853.500000  -0.002574 0.002519 76686  -0.000000 0.000630 -0.018553 -0.003836  -0.034458 0.002822   76145 -0.000000 0.000612 0.000005
226 99072560148.000000  -0.002478 0.002687 76689  -0.000001 0.000649 -0.002868 0.053695  -0.056695 0.004644   76042 -0.000001 0.000626 -0.000001
227 99079194442.500000  -0.002561 0.003123 76682  -0.000004 0.000632 0.009046 0.013043  -0.280948 0.023011   76163 -0.000004 0.000614 -0.000002
228 99085828737.000000  -0.002713 0.002755 76684  -0.000004 0.000641 0.003910 0.093532  -0.277123 0.022698   75977 -0.000004 0.000617 -0.000008
229 99092463031.500000  -0.002663 0.002727 76687  -0.000001 0.000637 -0.013503 0.049186  -0.114110 0.009346   76092 -0.000000 0.000616 0.000002
230 99099097326.000000  -0.003027 0.002587 76682  0.000003 0.000629 -0.008267 0.043473  0.217045 -0.017777   76078 0.000003 0.000608 0.000003
231 99105731620.500000  -0.002675 0.002684 76695  0.000001 0.000658 -0.010890 -0.028443  0.058565 -0.004797   76189 0.000002 0.000640 0.000001
232 99112365915.000000  -0.002797 0.002573 76689  -0.000002 0.000631 -0.015214 0.023909  -0.135041 0.011061   76098 -0.000002 0.000611 -0.000002
233 99119000209.500000  -0.002626 0.002566 76704  0.000001 0.000648 -0.012828 0.060563  0.108631 -0.008897   76083 0.000002 0.000626 0.000001
234 99125634504.000000  -0.002502 0.002774 76698  0.000002 0.000624 0.042797 0.029920  0.170567 -0.013970   76146 0.000001 0.000605 -0.000003
235 99132268798.500000  -0.002958 0.003150 76701  0.000000 0.000651 0.034575 0.039974  0.000880 -0.000072   76181 -0.000001 0.000632 -0.000004
236 99138903093.000000  -0.003112 0.002991 76711  0.000004 0.000689 0.013607 -0.009243  0.342251 -0.028032   76227 0.000003 0.000671 0.000005
237 99145537387.500000  -0.002630 0.003563 76709  0.000003 0.000648 0.039132 0.056564  0.266582 -0.021834   76181 0.000001 0.000629 -0.000000
238 99152171682.000000  -0.002594 0.002783 76710  0.000001 0.000666 0.019289 -0.002003  0.083696 -0.006855   76180 0.000000 0.000647 -0.000000
239 99158805976.500000  -0.002564 0.003003 76707  0.000002 0.000654 0.000289 -0.039390  0.125616 -0.010289   76245 0.000002 0.000638 0.000003
240 99165440271.000000  -0.002651 0.003013 76711  0.000003 0.000637 0.029357 0.056075  0.268286 -0.021974   76116 0.000002 0.000616 0.000002
241 99172074565.500000  -0.002525 0.002581 76725  -0.000001 0.000677 0.059123 -0.071743  -0.065974 0.005404   76270 -0.000004 0.000660 -0.000010
242 99178708860.000000  -0.003226 0.002633 76710  0.000001 0.000669 0.030180 0.086838  0.111543 -0.009136   76055 0.000000 0.000646 -0.000005
243 99185343154.500000  -0.003020 0.005473 76723  0.000001 0.000714 0.130033 0.592986  0.049882 -0.004086   75966 -0.000005 0.000680 -0.000008
244 99191977449.000000  -0.002688 0.005959 76719  -0.000002 0.000716 0.323277 1.778162  -0.170221 0.013942   75934 -0.000011 0.000672 -0.000010
245 99198611743.500000  -0.003246 0.013832 76721  0.000010 0.000795 1.413638 16.289232  0.777898 -0.063714   75828 -0.000004 0.000706 -0.000003
246 99205246038.000000  -0.003703 0.019257 76727  0.000012 0.000839 2.519948 39.496452  0.936648 -0.076716   75882 -0.000006 0.000724 0.000001
247 99211880332.500000  -0.003090 0.015102 76725  0.000013 0.000803 1.810272 22.804655  0.973370 -0.079724   75794 -0.000005 0.000703 -0.000002
248 99218514627.000000  -0.002750 0.016289 76727  0.000008 0.000773 1.568600 22.927016  0.636144 -0.052103   75957 -0.000005 0.000699 -0.000002
249 99225148921.500000  -0.003059 0.013325 76726  0.000005 0.000722 1.099173 13.043811  0.367851 -0.030129   75980 -0.000007 0.000661 -0.000010
250 99231783216.000000  -0.002812 0.020558 76728  0.000015 0.000805 2.731665 45.904865  1.121045 -0.091819   75971 -0.000004 0.000698 -0.000003
251 99238417510.500000  -0.003180 0.025138 76734  0.000015 0.000824 4.743217 99.147041  1.138416 -0.093242   75986 -0.000004 0.000679 -0.000004
252 99245051805.000000  -0.003561 0.023657 76749  0.000013 0.000821 4.489936 89.297927  1.025340 -0.083980   76011 -0.000004 0.000683 -0.000005
253 99251686099.500000  -0.002769 0.012098 76740  0.000008 0.000761 1.128481 11.920879  0.611537 -0.050088   76003 -0.000004 0.000695 -0.000008
254 99258320394.000000  -0.002448 0.008457 76751  0.000006 0.000697 0.435721 3.379241  0.462445 -0.037876   76174 -0.000001 0.000661 -0.000003
255 99264954688.500000  -0.003030 0.005153 76749  -0.000003 0.000683 0.044293 0.321641  -0.244608 0.020035   76114 -0.000005 0.000658 -0.000004
256 99271588983.000000  -0.002689 0.002625 76752  -0.000002 0.000655 0.030888 -0.020062  -0.159912 0.013098   76247 -0.000003 0.000637 -0.000008
257 99278223277.500000  -0.003009 0.002883 76754  -0.000002 0.000670 -0.007679 0.006814  -0.173191 0.014185   76246 -0.000002 0.000651 -0.000002
258 99284857572.000000  -0.003223 0.002996 76753  0.000002 0.000669 -0.008876 0.055189  0.137523 -0.011264   76167 0.000002 0.000648 0.000004
259 99291491866.500000  -0.003000 0.003016 76763  -0.000002 0.000672 0.038475 0.004319  -0.117620 0.009634   76250 -0.000003 0.000653 -0.000007
260 99298126161.000000  -0.002827 0.002597 76757  0.000001 0.000687 -0.009971 -0.000783  0.111923 -0.009167   76225 0.000003 0.000667 -0.000002
261 99304760455.500000  -0.002691 0.002768 76765  0.000003 0.000654 0.058038 -0.017380  0.255914 -0.020961   76260 0.000000 0.000636 -0.000005
262 99311394750.000000  -0.002906 0.002568 76758  -0.000003 0.000652 -0.027169 0.053004  -0.215799 0.017675   76170 -0.000001 0.000631 -0.000001
263 99318029044.500000  -0.002994 0.003031 76764  -0.000001 0.000667 0.002111 0.043765  -0.043968 0.003601   76207 -0.000001 0.000647 0.000003
264 99324663339.000000  -0.002738 0.002666 76763  -0.000002 0.000663 -0.013753 0.031314  -0.134822 0.011043   76202 -0.000001 0.000643 0.000002
265 99331297633.500000  -0.002847 0.002844 76765  0.000000 0.000670 0.004923 -0.031524  0.024876 -0.002037   76309 0.000001 0.000653 -0.000002
266 99337931928.000000  -0.002601 0.002588 76762  -0.000005 0.000654 -0.015629 0.013911  -0.393011 0.032189   76192 -0.000004 0.000634 -0.000002
267 99344566222.500000  -0.002942 0.002908 76765  -0.000001 0.000671 0.023592 0.034173  -0.079579 0.006518   76172 -0.000002 0.000650 -0.000003
268 99351200517.000000  -0.002990 0.003123 76764  -0.000000 0.000660 -0.000439 0.029446  -0.028950 0.002371   76200 -0.000000 0.000640 0.000000
269 99357834811.500000  -0.002659 0.002731 76766  -0.000002 0.000662 -0.016688 -0.004320  -0.184985 0.015151   76203 -0.000002 0.000642 0.000001
270 99364469106.000000  -0.003118 0.002988 76767  -0.000001 0.000663 -0.000269 0.007488  -0.044729 0.003664   76224 -0.000000 0.000644 0.000002
271 99371103400.500000  -0.002766 0.002831 76777  -0.000000 0.000638 -0.006820 0.010811  -0.028605 0.002343   76259 -0.000001 0.000620 0.000002
272 99377737695.000000  -0.003056 0.003228 76771  0.000002 0.000675 0.000200 0.047229  0.180099 -0.014751   76176 0.000002 0.000653 0.000003
273 99384371989.500000  -0.003028 0.002545 76775  0.000001 0.000642 -0.013355 -0.012721  0.074808 -0.006127   76263 0.000002 0.000624 0.000001
274 99391006284.000000  -0.003780 0.002642 76765  -0.000001 0.000632 -0.042489 0.132895  -0.086214 0.007061   76140 0.000001 0.000609 0.000002
275 99397640578.500000  -0.002576 0.003063 76758  -0.000003 0.000655 0.000472 -0.025441  -0.232419 0.019036   76236 -0.000004 0.000637 -0.000001
276 99404274873.000000  -0.002708 0.002639 76759  0.000001 0.000633 0.011333 0.006340  0.091597 -0.007502   76235 0.000000 0.000614 -0.000001
277 99410909167.500000  -0.002543 0.002690 76753  0.000001 0.000672 0.013387 -0.025354  0.091885 -0.007526   76203 0.000001 0.000653 0.000001
278 99417543462.000000  -0.002564 0.002921 76758  0.000001 0.000644 0.032003 0.070289  0.072316 -0.005923   76120 -0.000002 0.000622 -0.000002
279 99424177756.500000  -0.002870 0.002552 76749  0.000001 0.000647 -0.030535 0.027392  0.095430 -0.007816   76179 0.000003 0.000628 0.000007
280 99430812051.000000  -0.003075 0.002936 76746  -0.000002 0.000670 0.000698 0.036404  -0.191047 0.015648   76224 -0.000003 0.000651 -0.000003
281 99437446345.500000  -0.002820 0.002757 76756  0.000002 0.000674 -0.013016 -0.005937  0.169117 -0.013851   76229 0.000003 0.000655 0.000004
282 99444080640.000000  -0.002844 0.002825 76751  0.000001 0.000708 0.009027 -0.043829  0.108357 -0.008875   76283 0.000001 0.000690 0.000003
