# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
43 97858484254.500000  -0.003636 0.019675 76679  0.000022 0.000931 3.615539 49.822526  1.720285 -0.140900   75608 -0.000013 0.000742 -0.000020
44 97865118549.000000  -0.004513 0.024750 76680  0.000037 0.001162 4.073862 49.970893  2.837079 -0.232371   75373 -0.000019 0.000857 -0.000016
45 97871752843.500000  -0.004381 0.032498 76681  0.000078 0.001617 7.066769 94.424953  5.994311 -0.490963   74929 -0.000028 0.000947 -0.000014
46 97878387138.000000  -0.005712 0.062301 76684  0.000111 0.002081 9.268710 164.726054  8.529220 -0.698585   74551 -0.000021 0.001078 -0.000001
47 97885021432.500000  -0.006768 0.085090 76688  0.000127 0.002523 12.982491 290.294051  9.776769 -0.800765   74574 -0.000019 0.001116 0.000001
48 97891655727.000000  -0.006073 0.101448 76696  0.000130 0.002702 15.955329 393.324326  9.933739 -0.813622   74753 -0.000028 0.001041 -0.000014
49 97898290021.500000  -0.005659 0.094429 76697  0.000101 0.002418 17.796223 494.051694  7.771030 -0.636485   74836 -0.000032 0.000999 -0.000018
50 97904924316.000000  -0.006179 0.078345 76699  0.000081 0.001932 13.922872 360.190615  6.219146 -0.509378   74781 -0.000029 0.000919 -0.000028
51 97911558610.500000  -0.004692 0.090369 76694  0.000111 0.002156 15.782994 406.911046  8.487766 -0.695189   75033 -0.000021 0.000885 -0.000017
52 97918192905.000000  -0.004094 0.119965 76693  0.000135 0.002643 21.054532 641.705154  10.370081 -0.849360   75083 -0.000015 0.000867 -0.000014
53 97924827199.500000  -0.005404 0.107707 76693  0.000128 0.002671 20.152607 553.143661  9.784253 -0.801378   75176 -0.000013 0.000863 -0.000017
54 97931461494.000000  -0.003949 0.079864 76684  0.000118 0.002287 16.215711 376.265150  9.026906 -0.739348   75103 -0.000010 0.000881 0.000001
55 97938095788.500000  -0.003870 0.038583 76694  0.000059 0.001465 10.535220 187.726936  4.551635 -0.372801   75431 -0.000020 0.000801 -0.000021
56 97944730083.000000  -0.003277 0.029130 76686  0.000033 0.001092 7.589563 141.427917  2.505723 -0.205231   75722 -0.000011 0.000765 -0.000008
57 97951364377.500000  -0.003059 0.015463 76693  0.000007 0.000804 1.897999 23.585221  0.518645 -0.042480   75784 -0.000012 0.000703 -0.000018
58 97957998672.000000  -0.002700 0.005083 76698  -0.000003 0.000678 0.090079 0.262349  -0.234412 0.019199   76206 -0.000007 0.000657 -0.000007
59 97964632966.500000  -0.002488 0.002680 76692  0.000001 0.000646 -0.003696 -0.047420  0.064846 -0.005311   76215 0.000002 0.000630 0.000003
60 97971267261.000000  -0.002526 0.002712 76699  0.000002 0.000651 -0.025742 0.014899  0.171609 -0.014056   76136 0.000004 0.000632 0.000005
61 97977901555.500000  -0.002590 0.002431 76696  0.000001 0.000649 -0.050536 -0.056574  0.065261 -0.005345   76219 0.000004 0.000632 0.000004
62 97984535850.000000  -0.002913 0.002602 76704  -0.000001 0.000635 -0.001794 0.030281  -0.112308 0.009199   76156 -0.000001 0.000616 -0.000002
63 97991170144.500000  -0.002885 0.002575 76706  -0.000001 0.000631 -0.002026 0.015811  -0.039845 0.003263   76126 -0.000001 0.000612 -0.000003
64 97997804439.000000  -0.002675 0.002651 76704  0.000002 0.000649 -0.020030 -0.035309  0.169580 -0.013889   76173 0.000005 0.000631 0.000003
65 98004438733.500000  -0.002682 0.002551 76718  -0.000002 0.000617 -0.008241 0.012401  -0.182024 0.014909   76149 0.000000 0.000598 -0.000002
