# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
1 101783620225.500000  -0.004620 0.005099 77851  -0.000000 0.001298 0.061107 -0.030438  -0.004713 0.000395   77326 -0.000008 0.001264 -0.000011
2 101790410073.000000  -0.004525 0.005217 77838  -0.000002 0.001203 0.011793 -0.020825  -0.182703 0.015315   77382 -0.000007 0.001171 0.000014
3 101797199920.500000  -0.004102 0.004288 77840  -0.000016 0.001158 -0.029144 -0.037494  -1.252634 0.105002   77344 -0.000016 0.001128 -0.000006
4 101803989768.000000  -0.004722 0.004828 77831  -0.000003 0.001180 -0.005271 0.072812  -0.215599 0.018073   77220 -0.000000 0.001141 -0.000015
5 101810779615.500000  -0.004116 0.004421 77852  -0.000007 0.001158 -0.009074 -0.033872  -0.509218 0.042685   77350 -0.000007 0.001129 -0.000011
6 101817569463.000000  -0.004264 0.004829 77836  0.000004 0.001164 -0.035876 0.033491  0.344227 -0.028855   77272 0.000006 0.001129 0.000019
7 101824359310.500000  -0.005365 0.004904 77837  0.000020 0.001099 0.015623 0.360239  1.586333 -0.132975   77013 0.000017 0.001047 0.000023
8 101831149158.000000  -0.004329 0.004854 77839  -0.000012 0.001116 0.066972 0.084243  -0.957960 0.080301   77248 -0.000021 0.001078 -0.000018
9 101837939005.500000  -0.005462 0.004950 77842  0.000008 0.001130 0.022202 0.340061  0.627779 -0.052624   76987 0.000005 0.001074 0.000001
10 101844728853.000000  -0.005419 0.004649 77847  -0.000007 0.001124 -0.069917 0.302245  -0.542063 0.045439   77088 0.000000 0.001074 -0.000005
11 101851518700.500000  -0.004828 0.004722 77847  -0.000019 0.001136 -0.029240 0.234997  -1.499078 0.125661   77013 -0.000012 0.001084 -0.000020
12 101858308548.000000  -0.005084 0.003971 77846  -0.000028 0.001105 -0.044002 0.135177  -2.142339 0.179582   77243 -0.000020 0.001068 -0.000020
13 101865098395.500000  -0.004711 0.004218 77847  -0.000003 0.001159 -0.048474 0.170970  -0.249253 0.020894   77051 0.000006 0.001110 -0.000012
14 101871888243.000000  -0.004447 0.004734 77832  0.000009 0.001153 0.002153 0.107327  0.721308 -0.060464   77145 0.000014 0.001109 -0.000001
15 101878678090.500000  -0.004059 0.003598 77856  0.000014 0.001148 -0.029595 -0.195852  1.055195 -0.088452   77560 0.000016 0.001132 0.000015
16 101885467938.000000  -0.004360 0.004351 77848  -0.000010 0.001159 -0.020653 0.085241  -0.780376 0.065415   77113 -0.000006 0.001116 -0.000017
17 101892257785.500000  -0.004476 0.004952 77848  0.000018 0.001150 0.016810 -0.018703  1.375728 -0.115321   77372 0.000015 0.001120 0.000024
18 101899047633.000000  -0.004270 0.004592 77850  0.000013 0.001137 -0.004362 -0.002919  1.020546 -0.085548   77315 0.000013 0.001104 0.000004
19 101905837480.500000  -0.005646 0.004131 77850  -0.000006 0.001141 -0.000759 0.303491  -0.477974 0.040066   76996 -0.000003 0.001085 -0.000019
20 101912627328.000000  -0.004889 0.004724 77850  0.000010 0.001117 -0.015690 -0.024826  0.784483 -0.065760   77435 0.000011 0.001090 0.000022
21 101919417175.500000  -0.004669 0.004149 77849  0.000002 0.001109 -0.041763 0.028186  0.160076 -0.013418   77199 0.000007 0.001073 0.000005
22 101926207023.000000  -0.004726 0.005221 77849  0.000022 0.001158 0.109654 0.265819  1.694152 -0.142013   76960 0.000013 0.001102 -0.000009
23 101932996870.500000  -0.004511 0.005520 77851  -0.000008 0.001126 0.005678 0.075337  -0.602987 0.050546   77334 -0.000006 0.001091 -0.000007
24 101939786718.000000  -0.004364 0.004295 77852  -0.000007 0.001134 0.004200 0.004545  -0.522469 0.043796   77304 -0.000010 0.001100 -0.000002
25 101946576565.500000  -0.004018 0.004002 77846  0.000019 0.001167 0.042951 -0.149469  1.441568 -0.120840   77479 0.000013 0.001146 0.000013
26 101953366413.000000  -0.004574 0.004176 77850  -0.000001 0.001119 -0.024749 0.040493  -0.075251 0.006308   77205 -0.000001 0.001083 0.000012
27 101960156260.500000  -0.004830 0.004582 77851  0.000009 0.001119 -0.018826 0.214440  0.733868 -0.061517   77017 0.000013 0.001069 0.000003
28 101966946108.000000  -0.004458 0.006502 77850  0.000005 0.001132 0.159645 0.547928  0.351650 -0.029477   77098 -0.000009 0.001077 -0.000010
29 101973735955.500000  -0.003999 0.005475 77850  -0.000000 0.001138 0.088384 0.021831  -0.030963 0.002595   77429 -0.000008 0.001110 -0.000025
30 101980525803.000000  -0.003941 0.007760 77851  -0.000007 0.001141 0.169498 0.462483  -0.560932 0.047020   77502 -0.000016 0.001110 -0.000022
31 101987315650.500000  -0.003949 0.003715 77852  -0.000018 0.001056 -0.006261 -0.082405  -1.385734 0.116160   77375 -0.000016 0.001030 -0.000014
32 101994105498.000000  -0.005206 0.004244 77850  -0.000004 0.001091 0.124844 0.129776  -0.350017 0.029340   77126 -0.000014 0.001048 -0.000039
33 102000895345.500000  -0.004071 0.009386 77843  0.000015 0.001159 0.286468 1.543555  1.129583 -0.094688   77218 0.000001 0.001099 0.000002
34 102007685193.000000  -0.004140 0.008673 77849  0.000012 0.001135 0.363680 2.091887  0.929554 -0.077920   76972 -0.000007 0.001056 0.000007
35 102014475040.500000  -0.004324 0.004810 77834  -0.000016 0.001121 -0.016892 -0.013845  -1.233030 0.103359   77337 -0.000014 0.001092 -0.000020
36 102021264888.000000  -0.004622 0.003973 77857  0.000006 0.001137 0.033278 -0.206647  0.467763 -0.039210   77564 0.000006 0.001119 -0.000008
37 102028054735.500000  -0.004303 0.003789 77845  0.000002 0.001111 -0.025881 -0.084156  0.132721 -0.011125   77430 0.000004 0.001087 0.000014
38 102034844583.000000  -0.004319 0.004469 77848  0.000008 0.001094 -0.051291 0.031515  0.624939 -0.052386   77203 0.000015 0.001057 0.000023
39 102041634430.500000  -0.004053 0.004098 77838  -0.000011 0.001149 -0.010219 0.142841  -0.850614 0.071303   76893 -0.000008 0.001096 -0.000013
40 102048424278.000000  -0.003867 0.003904 77842  0.000001 0.001083 0.084572 0.041215  0.105346 -0.008831   77159 -0.000007 0.001045 -0.000016
41 102055214125.500000  -0.004167 0.004122 77842  -0.000002 0.001131 -0.091155 -0.141931  -0.142687 0.011961   77491 0.000003 0.001110 0.000025
42 102062003973.000000  -0.004574 0.004228 77844  -0.000017 0.001100 0.019886 0.012624  -1.286522 0.107843   77315 -0.000019 0.001069 -0.000015
43 102068793820.500000  -0.003746 0.004105 77840  0.000002 0.001108 -0.031294 -0.147253  0.137538 -0.011529   77482 0.000003 0.001088 0.000002
44 102075583668.000000  -0.004171 0.003684 77841  0.000018 0.001084 0.025536 -0.154292  1.407494 -0.117984   77569 0.000018 0.001068 0.000002
45 102082373515.500000  -0.004472 0.004711 77844  0.000002 0.001106 0.102594 0.138058  0.137038 -0.011487   77113 -0.000005 0.001063 -0.000028
46 102089163363.000000  -0.004052 0.004764 77831  -0.000005 0.001071 0.026112 0.083155  -0.379841 0.031840   77249 -0.000007 0.001037 -0.000006
47 102095953210.500000  -0.005021 0.004187 77845  0.000000 0.001073 -0.010131 0.085447  0.028044 -0.002351   77257 -0.000002 0.001037 -0.000003
48 102102743058.000000  -0.004236 0.003780 77842  0.000011 0.001101 -0.025136 -0.102604  0.880443 -0.073803   77402 0.000015 0.001075 0.000001
49 102109532905.500000  -0.004455 0.004187 77841  0.000013 0.001136 -0.023538 0.051961  1.049363 -0.087963   77169 0.000015 0.001097 0.000024
50 102116322753.000000  -0.004061 0.003867 77842  0.000002 0.001099 -0.070425 -0.071448  0.129952 -0.010893   77346 0.000005 0.001072 0.000008
51 102123112600.500000  -0.004200 0.003823 77838  -0.000004 0.001116 -0.028778 -0.094418  -0.335131 0.028092   77423 -0.000003 0.001091 0.000010
52 102129902448.000000  -0.005130 0.004601 77837  -0.000001 0.001089 0.024325 0.178100  -0.040673 0.003409   77115 -0.000005 0.001047 0.000002
53 102136692295.500000  -0.004519 0.004029 77837  -0.000021 0.001070 -0.048250 -0.035124  -1.596269 0.133808   77385 -0.000018 0.001042 -0.000001
54 102143482143.000000  -0.003908 0.005029 77835  0.000016 0.001139 0.009303 0.143726  1.235518 -0.103568   77202 0.000014 0.001099 0.000028
55 102150271990.500000  -0.003643 0.003755 77829  -0.000013 0.001090 0.034309 -0.120099  -0.999267 0.083764   77402 -0.000016 0.001067 -0.000025
56 102157061838.000000  -0.003587 0.004278 77797  0.000024 0.001110 0.030558 0.007636  1.828596 -0.153283   77178 0.000016 0.001076 0.000031
57 102163851685.500000  -0.003720 0.003706 77843  0.000002 0.001067 0.041821 -0.185361  0.170061 -0.014255   77515 0.000000 0.001050 -0.000002
58 102170641533.000000  -0.004399 0.004110 77829  -0.000003 0.001097 -0.056865 0.160473  -0.263244 0.022066   77084 0.000005 0.001053 -0.000004
59 102177431380.500000  -0.003987 0.004346 77829  0.000014 0.001104 0.068664 0.011191  1.099752 -0.092187   77268 0.000004 0.001071 0.000021
60 102184221228.000000  -0.004736 0.004683 77825  -0.000001 0.001063 0.053279 0.207261  -0.110859 0.009293   77095 -0.000008 0.001019 -0.000015
61 102191011075.500000  -0.004049 0.004005 77825  -0.000002 0.001112 0.013286 -0.152470  -0.143265 0.012009   77486 -0.000003 0.001093 -0.000011
62 102197800923.000000  -0.004404 0.003830 77824  -0.000010 0.001077 0.000524 0.242594  -0.783778 0.065700   76772 -0.000008 0.001020 -0.000007
63 102204590770.500000  -0.004300 0.004047 77824  -0.000015 0.001063 -0.012892 0.055096  -1.140490 0.095602   77193 -0.000016 0.001028 -0.000017
64 102211380618.000000  -0.003969 0.004034 77829  0.000026 0.001040 -0.007090 0.011426  2.023711 -0.169638   77258 0.000025 0.001009 0.000027
65 102218170465.500000  -0.003893 0.004490 77829  -0.000005 0.001105 0.031219 0.088658  -0.421565 0.035338   77126 -0.000006 0.001064 -0.000013
66 102224960313.000000  -0.003828 0.004449 77830  0.000016 0.001082 0.106823 0.097311  1.243702 -0.104254   77188 0.000005 0.001044 -0.000017
67 102231750160.500000  -0.004349 0.004434 77833  0.000034 0.001145 0.021769 -0.076779  2.658215 -0.222826   77390 0.000034 0.001118 0.000022
