# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
68 102238540008.000000  -0.003876 0.003790 77834  0.000008 0.001089 -0.010971 -0.071222  0.612164 -0.051315   77315 0.000012 0.001060 0.000004
69 102245329855.500000  -0.003877 0.004279 77834  0.000009 0.001077 0.046291 -0.023852  0.665946 -0.055823   77334 0.000005 0.001049 0.000001
70 102252119703.000000  -0.004050 0.004302 77832  -0.000008 0.001058 0.048156 0.035114  -0.613499 0.051427   77193 -0.000014 0.001024 -0.000018
71 102258909550.500000  -0.004247 0.003957 77829  -0.000008 0.001107 -0.033618 -0.071898  -0.641680 0.053789   77369 -0.000001 0.001080 -0.000016
72 102265699398.000000  -0.005416 0.004077 77831  0.000013 0.001077 -0.128682 0.260764  1.040772 -0.087243   77165 0.000027 0.001034 0.000033
73 102272489245.500000  -0.004157 0.004612 77832  -0.000010 0.001052 0.131736 0.152121  -0.780153 0.065397   77181 -0.000020 0.001014 -0.000042
74 102279279093.000000  -0.003622 0.004196 77832  0.000002 0.001054 0.035836 -0.056764  0.118165 -0.009905   77371 -0.000004 0.001029 -0.000007
75 102286068940.500000  -0.004636 0.003790 77834  -0.000010 0.001060 -0.076581 0.022583  -0.786994 0.065970   77347 -0.000002 0.001030 0.000010
76 102292858788.000000  -0.004265 0.003949 77831  0.000013 0.001102 -0.014314 -0.042826  1.050102 -0.088025   77381 0.000016 0.001076 0.000025
77 102299648635.500000  -0.004720 0.003854 77802  -0.000002 0.001111 0.078991 -0.026396  -0.154821 0.012978   77263 -0.000008 0.001080 -0.000016
78 102306438483.000000  -0.003840 0.004344 77836  -0.000011 0.001071 0.045250 -0.050510  -0.828844 0.069478   77400 -0.000019 0.001045 -0.000008
79 102313228330.500000  -0.004091 0.004488 77827  -0.000008 0.001103 -0.025895 -0.037778  -0.599916 0.050288   77309 -0.000008 0.001073 0.000004
80 102320018178.000000  -0.004337 0.004294 77827  0.000001 0.001121 -0.003253 0.059583  0.091159 -0.007641   77189 -0.000001 0.001083 0.000014
81 102326808025.500000  -0.004853 0.004092 77828  -0.000003 0.001090 -0.048261 0.038892  -0.209885 0.017594   77254 -0.000002 0.001055 0.000006
82 102333597873.000000  -0.003549 0.004440 77827  0.000007 0.001065 0.002448 -0.141836  0.512113 -0.042928   77473 0.000005 0.001045 0.000002
83 102340387720.500000  -0.003909 0.004042 77827  -0.000025 0.001106 -0.029642 -0.178778  -1.922315 0.161139   77490 -0.000025 0.001087 -0.000015
84 102347177568.000000  -0.004352 0.004462 77825  0.000003 0.001130 -0.025855 -0.108330  0.232704 -0.019506   77392 0.000003 0.001104 0.000021
85 102353967415.500000  -0.004535 0.004050 77824  0.000003 0.001061 -0.004407 0.074123  0.213738 -0.017917   77230 0.000003 0.001024 0.000002
86 102360757263.000000  -0.004072 0.003774 77823  0.000003 0.001096 0.004438 -0.037153  0.226785 -0.019010   77319 0.000007 0.001068 -0.000003
87 102367547110.500000  -0.004307 0.003606 77820  -0.000002 0.001053 -0.034024 0.020604  -0.181781 0.015238   77180 0.000005 0.001018 -0.000008
88 102374336958.000000  -0.005921 0.004112 77802  -0.000021 0.001117 -0.066394 0.238167  -1.602552 0.134334   77180 -0.000010 0.001076 -0.000028
89 102381126805.500000  -0.004310 0.004516 77823  -0.000007 0.001118 -0.016891 -0.061759  -0.514042 0.043090   77403 -0.000001 0.001093 -0.000003
90 102387916653.000000  -0.004538 0.004538 77820  -0.000001 0.001039 0.031591 0.318421  -0.103828 0.008703   76843 -0.000005 0.000985 -0.000006
91 102394706500.500000  -0.004188 0.003679 77824  -0.000006 0.001088 -0.030282 -0.132798  -0.482138 0.040415   77429 -0.000001 0.001067 -0.000007
92 102401496348.000000  -0.003549 0.003917 77824  -0.000007 0.001080 0.042402 -0.132570  -0.551266 0.046210   77437 -0.000014 0.001059 -0.000007
93 102408286195.500000  -0.004235 0.004192 77824  -0.000003 0.001078 0.030470 0.193568  -0.249140 0.020884   76985 -0.000012 0.001029 -0.000003
94 102415076043.000000  -0.003665 0.008358 77829  0.000030 0.001150 0.571650 2.422903  2.311281 -0.193744   77233 0.000001 0.001076 -0.000014
95 102421865890.500000  -0.004456 0.009611 77831  0.000035 0.001179 0.780115 3.853214  2.736903 -0.229422   76704 -0.000006 0.001052 -0.000024
96 102428655738.000000  -0.003873 0.013014 77831  0.000074 0.001391 2.191734 14.174810  5.764915 -0.483246   76340 -0.000025 0.001089 -0.000011
97 102435445585.500000  -0.003981 0.021688 77830  0.000134 0.001711 4.025487 31.860579  10.436956 -0.874881   75777 -0.000022 0.001089 -0.000021
98 102442235433.000000  -0.005440 0.045083 77819  0.000161 0.002132 8.579000 126.426191  12.551985 -1.052174   75920 -0.000019 0.001108 -0.000025
99 102449025280.500000  -0.003666 0.054956 77831  0.000207 0.002465 10.564154 165.919716  16.126573 -1.351815   75921 -0.000012 0.001061 -0.000042
100 102455815128.000000  -0.004429 0.041422 77829  0.000153 0.002069 8.654910 124.208408  11.939215 -1.000808   76212 -0.000011 0.001101 -0.000023
101 102462604975.500000  -0.004218 0.031176 77829  0.000135 0.001788 6.056175 71.551218  10.483237 -0.878760   76052 0.000001 0.001091 0.000010
102 102469394823.000000  -0.004596 0.022301 77827  0.000093 0.001642 4.264790 37.834052  7.234598 -0.606442   76191 -0.000043 0.001087 -0.000029
103 102476184670.500000  -0.004012 0.028988 77827  0.000106 0.001724 5.933007 65.408141  8.258247 -0.692250   76497 -0.000024 0.001058 -0.000042
104 102482974518.000000  -0.003837 0.035554 77828  0.000121 0.001811 7.287838 97.712568  9.394844 -0.787525   76297 -0.000023 0.001059 -0.000024
105 102489764365.500000  -0.003935 0.032737 77827  0.000113 0.001728 7.319084 98.455547  8.822969 -0.739588   76806 0.000008 0.001066 0.000009
106 102496554213.000000  -0.004559 0.016858 77826  0.000053 0.001353 2.940882 25.273205  4.163343 -0.348993   76338 -0.000019 0.001031 -0.000041
107 102503344060.500000  -0.003706 0.009437 77823  -0.000004 0.001162 0.473642 2.254050  -0.348276 0.029194   77079 -0.000027 0.001088 -0.000039
108 102510133908.000000  -0.005277 0.005588 77806  -0.000010 0.001152 0.028288 0.482274  -0.777531 0.065177   76716 -0.000008 0.001081 -0.000020
109 102516923755.500000  -0.003611 0.004158 77832  -0.000002 0.001084 0.131906 0.034573  -0.136683 0.011457   77225 -0.000017 0.001048 -0.000024
110 102523713603.000000  -0.004450 0.004124 77825  0.000011 0.001060 0.008065 0.236562  0.853931 -0.071581   76908 0.000012 0.001008 0.000002
111 102530503450.500000  -0.004319 0.004450 77825  0.000013 0.001070 -0.060413 0.117831  1.042852 -0.087417   77074 0.000019 0.001027 0.000033
112 102537293298.000000  -0.003946 0.004141 77826  0.000011 0.001013 0.041077 0.004485  0.858115 -0.071932   77242 0.000011 0.000982 0.000005
113 102544083145.500000  -0.003806 0.004358 77828  0.000010 0.001056 0.078372 0.048002  0.784829 -0.065789   77235 0.000005 0.001022 -0.000004
114 102550872993.000000  -0.003495 0.004035 77828  0.000011 0.001095 0.042164 -0.153313  0.862609 -0.072308   77518 0.000008 0.001077 -0.000007
115 102557662840.500000  -0.004383 0.003801 77827  0.000008 0.001068 0.006959 -0.039033  0.623443 -0.052260   77382 0.000009 0.001042 0.000007
116 102564452688.000000  -0.004094 0.003791 77824  0.000006 0.001101 -0.014948 -0.104058  0.478423 -0.040104   77422 0.000007 0.001078 0.000013
117 102571242535.500000  -0.004247 0.003782 77826  0.000012 0.001046 -0.024920 0.046082  0.898660 -0.075330   77265 0.000017 0.001013 0.000011
118 102578032383.000000  -0.004211 0.003921 77823  -0.000006 0.001052 0.024337 0.031911  -0.505517 0.042375   77166 -0.000004 0.001017 -0.000020
119 102584822230.500000  -0.004631 0.003885 77823  -0.000007 0.001112 0.063744 -0.032024  -0.565065 0.047367   77342 -0.000007 0.001082 -0.000028
120 102591612078.000000  -0.003814 0.004819 77830  0.000006 0.001092 0.082759 0.025935  0.503095 -0.042172   77300 -0.000001 0.001060 0.000000
121 102598401925.500000  -0.003945 0.004008 77831  -0.000007 0.001070 0.010719 -0.080521  -0.573043 0.048036   77387 -0.000009 0.001044 -0.000007
122 102605191773.000000  -0.003792 0.003618 77831  -0.000006 0.001062 0.079681 -0.068684  -0.458386 0.038424   77303 -0.000012 0.001034 -0.000023
123 102611981620.500000  -0.003864 0.003775 77827  -0.000000 0.001049 0.008964 0.011387  -0.002380 0.000200   77161 0.000001 0.001014 -0.000008
124 102618771468.000000  -0.003585 0.005182 77823  0.000013 0.001088 0.123486 0.033198  1.021180 -0.085601   77345 0.000004 0.001059 -0.000018
125 102625561315.500000  -0.003856 0.003945 77823  0.000014 0.001023 -0.004554 0.077779  1.106618 -0.092763   77098 0.000012 0.000985 0.000027
126 102632351163.000000  -0.004386 0.004036 77823  0.000011 0.001059 0.110409 0.093584  0.893550 -0.074902   77118 0.000006 0.001018 -0.000022
127 102639141010.500000  -0.003567 0.004138 77820  -0.000018 0.001030 0.015871 -0.042710  -1.418565 0.118912   77322 -0.000017 0.001004 -0.000029
128 102645930858.000000  -0.004293 0.004417 77821  0.000002 0.001087 -0.015269 0.053343  0.151561 -0.012705   77228 0.000001 0.001052 0.000007
129 102652720705.500000  -0.004272 0.003812 77806  0.000005 0.001099 -0.130438 0.078644  0.409073 -0.034291   77100 0.000013 0.001059 0.000041
130 102659510553.000000  -0.003647 0.004816 77850  0.000012 0.001101 0.020866 -0.194898  0.913041 -0.076536   77585 0.000009 0.001085 0.000014
131 102666300400.500000  -0.004109 0.003722 77830  0.000009 0.001064 0.037741 -0.087481  0.699356 -0.058624   77409 0.000009 0.001042 0.000000
132 102673090248.000000  -0.003839 0.004030 77833  -0.000012 0.001032 0.064741 -0.040886  -0.939545 0.078758   77343 -0.000015 0.001005 -0.000031
133 102679880095.500000  -0.003665 0.004658 77839  -0.000007 0.001055 0.021922 -0.102465  -0.578720 0.048511   77451 -0.000009 0.001033 -0.000012
134 102686669943.000000  -0.003773 0.003931 77840  -0.000024 0.001037 0.025162 -0.052362  -1.906216 0.159789   77358 -0.000026 0.001011 -0.000027
135 102693459790.500000  -0.004647 0.004591 77839  0.000006 0.001068 0.062509 0.179459  0.493370 -0.041357   77125 -0.000003 0.001024 -0.000001
136 102700249638.000000  -0.004327 0.004077 77842  -0.000004 0.001086 -0.021450 0.153294  -0.328185 0.027510   76996 -0.000000 0.001039 -0.000009
137 102707039485.500000  -0.003876 0.003925 77843  -0.000009 0.001036 0.112380 -0.161556  -0.723882 0.060680   77517 -0.000014 0.001018 -0.000054
138 102713829333.000000  -0.003881 0.003761 77843  -0.000006 0.001074 -0.040129 0.113368  -0.471738 0.039544   77036 -0.000000 0.001030 0.000004
139 102720619180.500000  -0.003684 0.003677 77843  0.000008 0.000995 0.035279 -0.049865  0.657325 -0.055100   77271 0.000005 0.000967 0.000005
140 102727409028.000000  -0.004148 0.003911 77842  -0.000007 0.001112 0.002389 -0.143385  -0.527067 0.044182   77492 -0.000007 0.001092 -0.000010
141 102734198875.500000  -0.003977 0.003988 77844  -0.000005 0.001078 0.053096 0.020631  -0.385956 0.032353   77261 -0.000011 0.001045 -0.000005
142 102740988723.000000  -0.004242 0.004800 77846  -0.000015 0.001060 0.026511 0.134230  -1.161045 0.097325   77128 -0.000018 0.001018 -0.000011
143 102747778570.500000  -0.004379 0.003774 77848  0.000007 0.001069 -0.032782 -0.049684  0.514459 -0.043125   77428 0.000009 0.001045 0.000008
144 102754568418.000000  -0.003808 0.004289 77849  0.000004 0.001068 0.048492 0.081422  0.283999 -0.023806   77118 0.000001 0.001028 -0.000006
145 102761358265.500000  -0.003887 0.003742 77849  -0.000001 0.001041 0.044789 -0.039609  -0.107007 0.008970   77299 -0.000003 0.001011 -0.000013
146 102768148113.000000  -0.003358 0.003687 77847  0.000009 0.001057 0.024761 -0.185381  0.717244 -0.060123   77529 0.000007 0.001040 0.000007
147 102774937960.500000  -0.004589 0.004814 77845  0.000008 0.001080 0.093249 0.068589  0.585106 -0.049047   77322 0.000000 0.001047 -0.000012
148 102781727808.000000  -0.004552 0.004617 77846  -0.000021 0.001059 0.046097 0.065708  -1.602954 0.134368   77225 -0.000029 0.001023 -0.000025
149 102788517655.500000  -0.004082 0.003884 77847  -0.000010 0.001077 0.015022 -0.059545  -0.816954 0.068481   77395 -0.000011 0.001052 -0.000014
150 102795307503.000000  -0.004920 0.003710 77850  -0.000005 0.001118 0.008408 -0.040878  -0.396349 0.033224   77339 -0.000004 0.001089 -0.000014
151 102802097350.500000  -0.004094 0.003964 77847  -0.000015 0.001100 0.028904 -0.034021  -1.171992 0.098243   77346 -0.000016 0.001071 -0.000037
152 102808887198.000000  -0.003560 0.004559 77845  0.000003 0.001049 0.087336 -0.050423  0.239073 -0.020040   77398 -0.000003 0.001024 -0.000016
153 102815677045.500000  -0.004343 0.004407 77845  0.000016 0.001091 0.044534 0.185221  1.240231 -0.103963   76988 0.000014 0.001042 -0.000010
154 102822466893.000000  -0.004139 0.004247 77847  -0.000002 0.001062 0.148814 0.032234  -0.164232 0.013767   77261 -0.000011 0.001027 -0.000044
155 102829256740.500000  -0.004041 0.003787 77845  -0.000007 0.001061 0.051413 0.069116  -0.530099 0.044436   77118 -0.000013 0.001022 -0.000013
156 102836046588.000000  -0.004014 0.004048 77846  -0.000009 0.001057 -0.039874 -0.012065  -0.723237 0.060626   77333 -0.000008 0.001029 -0.000002
157 102842836435.500000  -0.004010 0.003859 77844  0.000024 0.001072 -0.003343 -0.029545  1.890073 -0.158436   77312 0.000027 0.001042 0.000014
158 102849626283.000000  -0.003839 0.003839 77848  -0.000011 0.001111 -0.024964 -0.139826  -0.857019 0.071840   77480 -0.000010 0.001091 -0.000010
159 102856416130.500000  -0.005398 0.004204 77850  0.000024 0.001034 -0.031535 0.259729  1.866700 -0.156477   77169 0.000026 0.000991 0.000012
160 102863205978.000000  -0.003899 0.004605 77848  0.000004 0.001069 0.028324 0.089298  0.299991 -0.025147   77163 0.000003 0.001030 0.000005
161 102869995825.500000  -0.003956 0.004770 77849  0.000010 0.001154 0.051567 -0.007202  0.784645 -0.065773   77245 0.000008 0.001120 -0.000006
162 102876785673.000000  -0.004016 0.003763 77845  0.000011 0.001054 0.030829 -0.105870  0.826410 -0.069274   77418 0.000012 0.001031 -0.000004
163 102883575520.500000  -0.003972 0.004000 77844  0.000013 0.001044 0.049130 0.056976  1.048139 -0.087861   77222 0.000007 0.001008 0.000011
164 102890365368.000000  -0.004300 0.004862 77848  0.000007 0.001059 0.106560 0.151397  0.529892 -0.044418   77146 -0.000001 0.001018 -0.000015
165 102897155215.500000  -0.004166 0.003974 77844  -0.000019 0.001065 0.004123 -0.110909  -1.503947 0.126069   77415 -0.000018 0.001041 -0.000023
166 102903945063.000000  -0.004579 0.003931 77844  -0.000014 0.001109 -0.125664 -0.073109  -1.067855 0.089513   77455 -0.000004 0.001085 0.000017
167 102910734910.500000  -0.004408 0.004118 77843  -0.000011 0.001129 0.023182 -0.123824  -0.831911 0.069735   77432 -0.000012 0.001106 -0.000015
168 102917524758.000000  -0.004597 0.004069 77844  0.000021 0.001134 -0.050409 0.035176  1.610018 -0.134960   77226 0.000024 0.001098 0.000027
169 102924314605.500000  -0.004524 0.004836 77844  0.000004 0.001101 0.077626 0.313003  0.282810 -0.023707   77013 -0.000005 0.001047 -0.000012
170 102931104453.000000  -0.004308 0.005578 77845  0.000019 0.001116 0.127633 0.428072  1.486281 -0.124588   76970 0.000008 0.001057 -0.000008
171 102937894300.500000  -0.004439 0.004401 77845  0.000002 0.001134 -0.019808 0.015494  0.181031 -0.015175   77313 0.000002 0.001101 0.000011
172 102944684148.000000  -0.003864 0.007894 77845  0.000011 0.001122 0.259047 0.858838  0.868857 -0.072832   77037 -0.000009 0.001064 -0.000019
173 102951473995.500000  -0.004356 0.007639 77845  0.000020 0.001095 0.155450 0.992199  1.585470 -0.132902   77152 0.000015 0.001040 0.000014
174 102958263843.000000  -0.003583 0.005245 77841  0.000010 0.001047 0.178057 0.250208  0.790175 -0.066237   77257 -0.000004 0.001009 -0.000006
175 102965053690.500000  -0.004172 0.005707 77839  -0.000004 0.001109 0.087279 0.155382  -0.287614 0.024109   77224 -0.000012 0.001071 -0.000019
176 102971843538.000000  -0.003985 0.006714 77838  0.000019 0.001108 0.192538 0.950018  1.505221 -0.126176   76782 0.000008 0.001033 0.000006
177 102978633385.500000  -0.003779 0.008561 77836  0.000025 0.001131 0.360458 1.593698  1.978509 -0.165849   77239 0.000008 0.001069 0.000006
178 102985423233.000000  -0.004717 0.010554 77835  0.000011 0.001186 0.572887 3.164690  0.847142 -0.071012   77149 -0.000009 0.001107 -0.000048
179 102992213080.500000  -0.003893 0.004268 77833  0.000024 0.001060 0.076118 0.040664  1.869930 -0.156747   77272 0.000016 0.001027 0.000005
180 102999002928.000000  -0.003599 0.005353 77836  -0.000004 0.001126 0.209268 0.181793  -0.318738 0.026718   77103 -0.000027 0.001080 -0.000050
181 103005792775.500000  -0.004596 0.003943 77838  -0.000011 0.001109 -0.019597 0.028859  -0.872271 0.073118   77224 -0.000008 0.001074 -0.000007
182 103012582623.000000  -0.004186 0.003910 77839  0.000007 0.001136 -0.016664 -0.046936  0.556608 -0.046658   77319 0.000008 0.001106 0.000016
183 103019372470.500000  -0.004178 0.003985 77836  0.000010 0.001089 -0.017367 -0.022249  0.762602 -0.063925   77289 0.000015 0.001058 0.000005
184 103026162318.000000  -0.003864 0.004614 77837  0.000015 0.001068 -0.045032 0.099083  1.202758 -0.100822   77204 0.000015 0.001031 0.000034
