# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
1 111918450056.000000  -0.007104 0.007052 69584  -0.000033 0.001917 -0.042265 0.025316  -2.311101 0.216713   69040 -0.000035 0.001856 -0.000000
2 111926045472.000000  -0.007709 0.007470 69561  0.000020 0.001887 -0.044806 0.135875  1.359187 -0.127452   68928 0.000027 0.001814 0.000049
3 111933640888.000000  -0.006804 0.007498 69566  0.000019 0.001985 -0.039097 -0.095048  1.339376 -0.125594   69201 0.000020 0.001942 0.000040
4 111941236304.000000  -0.006363 0.007918 69563  -0.000010 0.001798 -0.047673 -0.045617  -0.705131 0.066121   69138 -0.000008 0.001751 0.000031
5 111948831720.000000  -0.006571 0.007535 69566  -0.000027 0.001849 0.031592 0.224441  -1.897688 0.177947   68781 -0.000035 0.001763 -0.000029
6 111956427136.000000  -0.006493 0.006950 69565  -0.000001 0.001786 0.020956 -0.028591  -0.059615 0.005590   69073 -0.000004 0.001735 0.000007
7 111964022552.000000  -0.006746 0.007315 69568  -0.000034 0.001979 -0.039321 -0.111011  -2.364068 0.221680   69226 -0.000030 0.001942 -0.000015
8 111971617968.000000  -0.007173 0.006584 69573  -0.000007 0.001823 -0.078153 -0.081747  -0.513848 0.048184   69157 0.000001 0.001780 0.000025
9 111979213384.000000  -0.008518 0.007275 69571  -0.000009 0.001962 -0.086963 -0.024182  -0.646971 0.060667   69134 -0.000002 0.001909 0.000009
10 111986808800.000000  -0.006430 0.007491 69573  -0.000005 0.001835 0.037726 0.081060  -0.347996 0.032632   68912 -0.000012 0.001767 -0.000028
11 111994404216.000000  -0.006180 0.006577 69572  -0.000009 0.001818 -0.026704 0.032481  -0.606514 0.056873   68918 -0.000000 0.001753 -0.000027
12 112001999632.000000  -0.006637 0.006935 69569  0.000034 0.001907 -0.001947 -0.060894  2.397908 -0.224853   69098 0.000032 0.001857 0.000028
13 112009595048.000000  -0.007811 0.007561 69572  -0.000027 0.001822 -0.076219 -0.055400  -1.869061 0.175263   69224 -0.000018 0.001781 -0.000004
14 112017190464.000000  -0.007865 0.006390 69572  0.000003 0.001863 -0.073375 -0.026877  0.194614 -0.018249   69108 0.000015 0.001812 0.000007
15 112024785880.000000  -0.006698 0.007300 69571  0.000038 0.001850 -0.033639 -0.122317  2.671932 -0.250549   69212 0.000047 0.001810 0.000054
16 112032381296.000000  -0.007072 0.006819 69572  0.000010 0.001849 -0.006607 -0.022318  0.698058 -0.065457   69086 0.000017 0.001795 -0.000009
17 112039976712.000000  -0.007069 0.006939 69572  0.000023 0.001831 -0.078794 -0.002950  1.583722 -0.148507   69106 0.000029 0.001780 0.000054
18 112047572128.000000  -0.008481 0.007122 69573  0.000006 0.001931 -0.067894 0.130743  0.395623 -0.037098   69046 0.000024 0.001864 0.000009
19 112055167544.000000  -0.006651 0.006478 69572  0.000008 0.001790 -0.020179 -0.064665  0.585722 -0.054923   69154 0.000012 0.001746 0.000020
20 112062762960.000000  -0.007871 0.006439 69574  -0.000036 0.001829 -0.063382 0.146224  -2.510159 0.235379   68920 -0.000021 0.001758 -0.000031
21 112070358376.000000  -0.007308 0.007554 69578  0.000016 0.001979 0.025271 -0.113542  1.114334 -0.104492   69227 0.000011 0.001937 -0.000012
22 112077953792.000000  -0.007437 0.007110 69579  -0.000021 0.001837 -0.005709 0.039152  -1.486017 0.139345   69019 -0.000024 0.001775 -0.000023
23 112085549208.000000  -0.008940 0.006251 69583  -0.000018 0.001987 -0.054344 -0.095220  -1.255377 0.117717   69234 -0.000007 0.001948 -0.000005
24 112093144624.000000  -0.006767 0.006861 69583  -0.000006 0.001779 0.049594 0.035899  -0.426505 0.039994   69048 -0.000011 0.001720 -0.000018
25 112100740040.000000  -0.007764 0.006313 69583  0.000000 0.001888 -0.050600 0.023469  0.027342 -0.002564   69054 0.000015 0.001829 0.000017
26 112108335456.000000  -0.006952 0.007308 69587  0.000024 0.001841 0.118495 0.062370  1.689494 -0.158425   69022 0.000003 0.001778 -0.000001
27 112115930872.000000  -0.007867 0.007737 69585  0.000022 0.001913 0.006788 0.163553  1.501804 -0.140825   68907 0.000021 0.001833 -0.000007
28 112123526288.000000  -0.007403 0.006409 69592  0.000018 0.001862 -0.027473 -0.095002  1.257455 -0.117912   69218 0.000016 0.001822 0.000012
