# iz z min  max  N  mean sigma skew kurt sum sum  robust[N mean sig med]
29 112131121704.000000  -0.007130 0.008678 69593  -0.000020 0.001826 -0.014497 0.086089  -1.375769 0.129007   69090 -0.000010 0.001770 -0.000002
30 112138717120.000000  -0.007533 0.007170 69596  0.000000 0.001863 -0.017795 0.055449  0.018736 -0.001757   69045 0.000003 0.001803 0.000009
31 112146312536.000000  -0.006628 0.008481 69595  -0.000014 0.001826 0.014192 0.074731  -0.973862 0.091320   69027 -0.000017 0.001762 -0.000012
32 112153907952.000000  -0.006505 0.010843 69597  0.000004 0.001858 0.114680 0.510363  0.254577 -0.023872   68782 -0.000003 0.001758 -0.000028
33 112161503368.000000  -0.005941 0.008809 69598  0.000042 0.001832 0.071354 -0.002061  2.925187 -0.274296   69176 0.000026 0.001782 0.000024
34 112169098784.000000  -0.008350 0.008499 69599  0.000036 0.001951 0.010910 0.171907  2.474805 -0.232064   68990 0.000041 0.001875 0.000008
35 112176694200.000000  -0.007523 0.006333 69602  0.000023 0.001881 -0.018133 -0.137474  1.586769 -0.148792   69215 0.000021 0.001838 0.000037
36 112184289616.000000  -0.006992 0.011698 69598  0.000022 0.001998 0.098433 0.316118  1.506019 -0.141220   69065 -0.000003 0.001924 0.000037
37 112191885032.000000  -0.007366 0.009331 69602  -0.000001 0.001902 0.018702 0.099307  -0.047175 0.004424   69022 -0.000007 0.001836 -0.000005
38 112199480448.000000  -0.007506 0.006613 69602  -0.000004 0.001933 -0.020179 -0.018113  -0.283281 0.026563   69115 0.000010 0.001878 -0.000030
39 112207075864.000000  -0.008292 0.006751 69598  0.000024 0.001980 0.023312 0.061229  1.639453 -0.153732   69068 0.000035 0.001917 -0.000005
40 112214671280.000000  -0.007696 0.010084 69605  0.000051 0.001984 0.230449 0.599232  3.548830 -0.332776   68778 0.000014 0.001867 -0.000017
41 112222266696.000000  -0.006586 0.011292 69604  0.000034 0.002133 0.242087 0.460823  2.398149 -0.224876   69015 -0.000011 0.002045 -0.000032
42 112229862112.000000  -0.006951 0.011470 69604  0.000052 0.002019 0.203538 0.688069  3.610084 -0.338520   68906 0.000025 0.001913 0.000034
43 112237457528.000000  -0.008176 0.014891 69599  0.000109 0.002261 0.625559 2.384875  7.616401 -0.714194   68546 0.000026 0.002032 0.000022
44 112245052944.000000  -0.007245 0.023196 69600  0.000108 0.002326 1.833930 11.464191  7.500851 -0.703359   68383 -0.000028 0.001886 -0.000026
45 112252648360.000000  -0.007911 0.027398 69598  0.000145 0.002493 2.377139 16.772965  10.077718 -0.944993   67778 -0.000009 0.001869 -0.000011
46 112260243776.000000  -0.007088 0.019452 69602  0.000060 0.002241 0.920937 5.900221  4.191612 -0.393050   68517 -0.000011 0.001973 0.000023
47 112267839192.000000  -0.008942 0.018585 69602  0.000088 0.002149 0.839750 4.440008  6.101644 -0.572155   68433 0.000017 0.001897 -0.000040
48 112275434608.000000  -0.007705 0.012534 69603  0.000093 0.002040 0.515695 1.836733  6.476304 -0.607287   68500 0.000032 0.001849 -0.000024
49 112283030024.000000  -0.008250 0.019221 69606  0.000103 0.002118 1.144010 6.409753  7.143062 -0.669809   68493 0.000018 0.001828 -0.000032
50 112290625440.000000  -0.007608 0.018888 69605  0.000088 0.002197 1.279171 7.543649  6.138767 -0.575636   68656 0.000001 0.001896 -0.000033
51 112298220856.000000  -0.007162 0.021727 69607  0.000098 0.002092 1.246604 9.157024  6.833271 -0.640760   68480 0.000042 0.001808 0.000010
52 112305816272.000000  -0.006940 0.015633 69610  0.000048 0.002138 0.784533 3.814469  3.311701 -0.310540   68631 -0.000022 0.001910 -0.000047
53 112313411688.000000  -0.006737 0.010407 69609  0.000028 0.001981 0.274816 0.463006  1.950928 -0.182940   68910 -0.000018 0.001883 -0.000051
54 112321007104.000000  -0.008872 0.006651 69609  -0.000001 0.001902 -0.015043 0.091984  -0.070441 0.006605   69017 0.000006 0.001835 -0.000013
55 112328602520.000000  -0.007683 0.007740 69604  0.000033 0.001829 0.012856 0.007759  2.325172 -0.218033   69157 0.000038 0.001778 0.000033
56 112336197936.000000  -0.007065 0.006882 69604  0.000010 0.001877 0.045463 -0.008412  0.729118 -0.068370   69136 -0.000001 0.001824 -0.000018
57 112343793352.000000  -0.007899 0.011495 69611  0.000030 0.002018 0.163104 0.713914  2.062809 -0.193431   68918 0.000010 0.001915 -0.000007
58 112351388768.000000  -0.006619 0.011981 69604  0.000036 0.001874 0.168000 0.710474  2.493993 -0.233863   69032 0.000011 0.001788 0.000032
59 112358984184.000000  -0.007181 0.008962 69607  0.000033 0.002034 0.104446 0.239207  2.305008 -0.216142   68777 0.000010 0.001933 0.000030
60 112366579600.000000  -0.006409 0.006799 69604  0.000021 0.001833 0.018440 -0.044284  1.473097 -0.138133   69101 0.000023 0.001782 0.000021
61 112374175016.000000  -0.007659 0.010427 69606  0.000008 0.001955 0.121942 0.366417  0.559837 -0.052496   69013 -0.000004 0.001872 -0.000029
62 112381770432.000000  -0.007222 0.015998 69601  0.000015 0.001897 0.404151 2.335397  1.044403 -0.097934   68889 -0.000011 0.001774 -0.000010
63 112389365848.000000  -0.007476 0.006843 69605  -0.000005 0.001964 -0.009225 -0.123259  -0.338308 0.031723   69297 -0.000006 0.001928 -0.000002
64 112396961264.000000  -0.007100 0.007413 69600  0.000004 0.001822 0.052642 0.219105  0.302427 -0.028359   68781 -0.000007 0.001735 -0.000014
65 112404556680.000000  -0.006455 0.007194 69600  0.000009 0.001945 0.051232 -0.044406  0.660387 -0.061925   69133 -0.000006 0.001892 -0.000011
66 112412152096.000000  -0.005929 0.008188 69603  -0.000010 0.001776 -0.040694 0.034266  -0.669160 0.062747   69061 -0.000007 0.001721 -0.000003
67 112419747512.000000  -0.006537 0.007582 69598  -0.000004 0.001914 0.023941 -0.059104  -0.278614 0.026126   69153 -0.000007 0.001865 -0.000019
68 112427342928.000000  -0.008327 0.006572 69600  0.000003 0.001898 -0.084134 0.004452  0.226518 -0.021241   69138 0.000015 0.001844 0.000020
69 112434938344.000000  -0.006587 0.006880 69604  -0.000002 0.001844 0.017078 0.068907  -0.163832 0.015363   68934 -0.000006 0.001774 -0.000007
70 112442533760.000000  -0.007747 0.008384 69603  -0.000053 0.001870 0.031556 0.215455  -3.706162 0.347529   68837 -0.000056 0.001784 -0.000063
71 112450129176.000000  -0.008595 0.006469 69606  0.000018 0.001952 -0.062511 0.006128  1.284552 -0.120453   69128 0.000035 0.001894 0.000028
72 112457724592.000000  -0.006630 0.007786 69605  0.000037 0.001842 0.029641 0.150406  2.584048 -0.242308   68930 0.000034 0.001768 0.000032
73 112465320008.000000  -0.006946 0.006539 69606  -0.000034 0.001839 -0.008888 -0.103769  -2.333584 0.218821   69233 -0.000027 0.001799 -0.000028
74 112472915424.000000  -0.005924 0.006719 69602  0.000010 0.001906 0.051309 -0.121751  0.725909 -0.068069   69276 -0.000005 0.001871 0.000008
75 112480510840.000000  -0.007120 0.006286 69602  -0.000013 0.001866 -0.127066 -0.036861  -0.913297 0.085640   69143 0.000004 0.001814 0.000048
76 112488106256.000000  -0.006640 0.007244 69604  0.000000 0.001797 -0.038750 0.031665  0.008570 -0.000804   69029 0.000006 0.001737 0.000015
77 112495701672.000000  -0.007093 0.006352 69604  -0.000030 0.001911 0.004733 -0.199335  -2.109792 0.197836   69326 -0.000034 0.001880 -0.000035
78 112503297088.000000  -0.007840 0.007261 69609  -0.000026 0.001791 0.019785 0.046458  -1.787954 0.167658   69124 -0.000027 0.001738 -0.000047
79 112510892504.000000  -0.006262 0.008163 69608  -0.000010 0.001872 0.114299 0.042990  -0.690963 0.064792   69119 -0.000027 0.001814 -0.000044
80 112518487920.000000  -0.006139 0.006229 69610  0.000028 0.001786 0.016292 -0.148455  1.967146 -0.184460   69295 0.000025 0.001754 0.000013
81 112526083336.000000  -0.006660 0.006976 69608  0.000002 0.001881 0.022750 -0.047225  0.127162 -0.011924   69182 0.000003 0.001834 0.000004
82 112533678752.000000  -0.006930 0.007182 69612  -0.000020 0.001868 0.039083 -0.000504  -1.382978 0.129683   69092 -0.000021 0.001812 -0.000040
83 112541274168.000000  -0.007093 0.006312 69609  0.000004 0.001920 -0.133936 -0.107073  0.273301 -0.025628   69184 0.000025 0.001874 0.000052
84 112548869584.000000  -0.007540 0.007606 69611  0.000000 0.001898 0.033464 0.013227  0.003968 -0.000372   69087 -0.000011 0.001837 0.000007
85 112556465000.000000  -0.006715 0.006121 69610  0.000038 0.001760 -0.085977 0.008826  2.650206 -0.248511   69090 0.000045 0.001703 0.000071
86 112564060416.000000  -0.007044 0.006394 69611  -0.000012 0.001858 0.021440 -0.177479  -0.818486 0.076750   69354 -0.000011 0.001829 -0.000012
87 112571655832.000000  -0.007393 0.006746 69610  -0.000020 0.001843 -0.059340 0.069018  -1.406063 0.131847   69024 -0.000016 0.001778 0.000001
88 112579251248.000000  -0.006446 0.007638 69600  -0.000028 0.001874 -0.013198 0.064170  -1.971349 0.184854   69051 -0.000031 0.001813 -0.000012
89 112586846664.000000  -0.007893 0.006526 69605  -0.000001 0.001847 -0.089404 0.036490  -0.103445 0.009700   69068 0.000007 0.001788 0.000035
90 112594442080.000000  -0.006926 0.007040 69601  -0.000006 0.001847 0.011659 0.032284  -0.428734 0.040203   69039 -0.000007 0.001787 -0.000016
91 112602037496.000000  -0.007582 0.006443 69602  -0.000037 0.001857 -0.030411 0.021435  -2.573905 0.241357   69054 -0.000035 0.001798 -0.000031
92 112609632912.000000  -0.007132 0.006621 69599  0.000025 0.001926 -0.155625 -0.066248  1.709996 -0.160347   69140 0.000047 0.001876 0.000092
93 112617228328.000000  -0.006337 0.006163 69600  -0.000008 0.001780 0.030643 -0.086813  -0.542090 0.050832   69212 -0.000006 0.001740 -0.000028
94 112624823744.000000  -0.007324 0.007802 69600  -0.000018 0.001841 0.036948 -0.035426  -1.285346 0.120528   69219 -0.000019 0.001798 -0.000065
95 112632419160.000000  -0.008396 0.007833 69598  -0.000010 0.001947 0.032863 0.231197  -0.681057 0.063863   68879 -0.000012 0.001860 -0.000035
96 112640014576.000000  -0.007838 0.006715 69602  -0.000027 0.001820 -0.045236 0.055596  -1.856464 0.174082   69062 -0.000023 0.001761 -0.000001
97 112647609992.000000  -0.007396 0.007328 69601  -0.000006 0.001895 -0.024426 -0.041004  -0.421180 0.039494   69173 -0.000003 0.001847 0.000010
98 112655205408.000000  -0.006230 0.008217 69602  -0.000023 0.001868 0.117291 0.003742  -1.623670 0.152252   69142 -0.000044 0.001815 -0.000052
99 112662800824.000000  -0.006858 0.007644 69602  -0.000038 0.001964 0.003469 -0.038729  -2.619727 0.245653   69182 -0.000047 0.001916 -0.000043
100 112670396240.000000  -0.006686 0.006669 69601  0.000021 0.001854 -0.014521 -0.182422  1.451008 -0.136062   69316 0.000020 0.001823 0.000029
101 112677991656.000000  -0.007444 0.007520 69601  -0.000006 0.001888 0.018309 -0.105436  -0.415003 0.038915   69250 -0.000005 0.001848 -0.000021
102 112685587072.000000  -0.007274 0.006944 69603  0.000023 0.001933 0.032389 -0.061133  1.585704 -0.148692   69146 0.000018 0.001882 0.000015
103 112693182488.000000  -0.006695 0.007442 69601  0.000015 0.001871 -0.010785 0.088624  1.046086 -0.098092   68989 0.000012 0.001802 0.000006
104 112700777904.000000  -0.006419 0.006517 69598  0.000023 0.001888 0.077001 -0.134583  1.588924 -0.148994   69233 0.000013 0.001848 -0.000024
105 112708373320.000000  -0.007121 0.008001 69596  0.000025 0.001796 -0.053453 0.165171  1.765614 -0.165563   68989 0.000032 0.001726 0.000064
106 112715968736.000000  -0.008703 0.007676 69594  -0.000013 0.001931 -0.089943 -0.056249  -0.915195 0.085818   69252 -0.000003 0.001887 0.000058
107 112723564152.000000  -0.008410 0.007188 69598  0.000008 0.001873 0.077309 0.161421  0.582769 -0.054647   68840 -0.000008 0.001792 -0.000013
108 112731159568.000000  -0.006309 0.009531 69593  0.000022 0.001876 0.083758 0.211669  1.517529 -0.142300   68938 0.000013 0.001802 0.000000
109 112738754984.000000  -0.006161 0.006519 69595  0.000032 0.001760 0.015216 -0.101690  2.203363 -0.206611   69206 0.000028 0.001721 0.000029
110 112746350400.000000  -0.007167 0.007309 69590  0.000014 0.001922 0.039645 -0.066352  1.004772 -0.094218   69143 0.000016 0.001870 -0.000018
111 112753945816.000000  -0.007365 0.006599 69589  0.000008 0.001868 -0.128241 -0.003125  0.563927 -0.052880   69061 0.000025 0.001808 0.000053
112 112761541232.000000  -0.007367 0.007653 69588  -0.000004 0.001871 0.043039 0.159440  -0.261406 0.024512   68930 -0.000006 0.001795 -0.000031
113 112769136648.000000  -0.007532 0.007966 69585  0.000015 0.001842 -0.010165 0.024077  1.026415 -0.096248   69108 0.000019 0.001786 0.000037
114 112776732064.000000  -0.006778 0.006954 69588  0.000010 0.001819 -0.014909 -0.081440  0.680593 -0.063820   69228 0.000006 0.001780 0.000042
115 112784327480.000000  -0.007174 0.006095 69587  0.000011 0.001864 -0.075940 -0.169200  0.784045 -0.073520   69303 0.000019 0.001834 0.000041
116 112791922896.000000  -0.006451 0.007109 69592  0.000017 0.001904 0.078163 -0.068380  1.163679 -0.109119   69145 0.000005 0.001855 0.000012
117 112799518312.000000  -0.006766 0.006121 69591  0.000001 0.001776 -0.029673 -0.048277  0.090751 -0.008510   69183 0.000008 0.001734 0.000003
118 112807113728.000000  -0.008084 0.007506 69595  -0.000002 0.001886 -0.076293 0.117486  -0.118008 0.011066   69023 0.000007 0.001817 0.000026
119 112814709144.000000  -0.007021 0.006739 69594  0.000028 0.001951 -0.004267 -0.207247  1.970233 -0.184750   69323 0.000027 0.001920 0.000013
120 112822304560.000000  -0.006961 0.006346 69594  -0.000008 0.001823 0.081980 -0.044510  -0.562184 0.052716   69095 -0.000019 0.001770 -0.000063
121 112829899976.000000  -0.007139 0.006599 69603  0.000005 0.001814 0.049479 0.031053  0.347474 -0.032583   69038 -0.000005 0.001753 -0.000006
122 112837495392.000000  -0.007671 0.007453 69578  0.000027 0.001915 -0.032109 0.111063  1.885679 -0.176821   68971 0.000038 0.001843 0.000019
123 112845090808.000000  -0.006825 0.006437 69591  -0.000020 0.001822 -0.042997 -0.034232  -1.357082 0.127254   69134 -0.000017 0.001772 -0.000003
124 112852686224.000000  -0.006774 0.006746 69594  -0.000009 0.001929 -0.071593 -0.052176  -0.625874 0.058689   69108 -0.000001 0.001877 0.000026
125 112860281640.000000  -0.006385 0.007505 69593  -0.000020 0.001856 0.127607 -0.003675  -1.368501 0.128325   69105 -0.000032 0.001801 -0.000064
126 112867877056.000000  -0.007658 0.006349 69595  0.000010 0.001857 -0.082450 -0.036014  0.679672 -0.063733   69120 0.000024 0.001805 0.000047
127 112875472472.000000  -0.006412 0.006644 69596  0.000008 0.001850 -0.061064 -0.160139  0.581586 -0.054536   69296 0.000016 0.001819 0.000051
128 112883067888.000000  -0.007905 0.007463 69595  -0.000000 0.001991 -0.018777 0.054619  -0.003706 0.000348   69021 0.000010 0.001924 -0.000037
129 112890663304.000000  -0.006741 0.006644 69597  0.000019 0.001833 0.000490 0.067043  1.299850 -0.121888   69030 0.000019 0.001772 0.000018
130 112898258720.000000  -0.006747 0.008165 69599  -0.000006 0.001836 0.039548 0.136473  -0.437178 0.040994   68978 -0.000014 0.001766 -0.000021
131 112905854136.000000  -0.007105 0.005939 69597  0.000002 0.001892 -0.168574 -0.020911  0.159057 -0.014915   69109 0.000029 0.001838 0.000058
132 112913449552.000000  -0.006778 0.006792 69596  -0.000003 0.001878 0.052471 -0.027892  -0.211813 0.019862   69043 -0.000005 0.001820 -0.000030
133 112921044968.000000  -0.007707 0.006852 69595  -0.000043 0.001963 -0.059283 0.051536  -2.999005 0.281218   69019 -0.000039 0.001898 -0.000001
134 112928640384.000000  -0.006119 0.008298 69592  0.000023 0.001910 0.139273 -0.025244  1.625373 -0.152412   69161 0.000001 0.001858 -0.000014
135 112936235800.000000  -0.006937 0.006821 69591  -0.000012 0.001945 -0.036050 -0.028647  -0.843532 0.079099   69043 0.000004 0.001884 -0.000005
136 112943831216.000000  -0.006632 0.007007 69587  0.000011 0.001891 -0.069439 -0.097410  0.754738 -0.070772   69163 0.000016 0.001846 0.000049
137 112951426632.000000  -0.009313 0.006859 69589  -0.000011 0.002026 -0.028121 0.097138  -0.790642 0.074139   69108 0.000003 0.001961 -0.000028
138 112959022048.000000  -0.007249 0.006401 69589  -0.000055 0.001928 -0.054740 -0.200559  -3.848736 0.360898   69343 -0.000045 0.001900 -0.000058
139 112966617464.000000  -0.007739 0.007423 69589  0.000026 0.001937 0.020030 -0.088904  1.841144 -0.172645   69214 0.000024 0.001892 0.000015
140 112974212880.000000  -0.007692 0.007744 69584  0.000050 0.002025 0.046503 0.060260  3.478848 -0.326214   69016 0.000041 0.001955 0.000026
141 112981808296.000000  -0.006319 0.009277 69585  0.000051 0.001965 0.247095 0.238979  3.574763 -0.335208   69008 0.000018 0.001889 -0.000021
142 112989403712.000000  -0.008429 0.011779 69584  0.000063 0.002110 0.425770 1.274016  4.407181 -0.413264   68696 -0.000006 0.001948 -0.000013
143 112996999128.000000  -0.007764 0.027547 69580  0.000209 0.002788 2.743227 16.442149  14.510137 -1.360624   67641 -0.000046 0.001919 -0.000045
144 113004594544.000000  -0.007494 0.044756 69581  0.000375 0.003542 4.384084 35.163581  26.076326 -2.445192   67554 -0.000016 0.002100 -0.000049
145 113012189960.000000  -0.007440 0.080533 69578  0.000605 0.005207 7.311002 74.114272  42.099376 -3.947682   67199 -0.000063 0.001932 -0.000063
146 113019785376.000000  -0.007922 0.102078 69580  0.000741 0.006377 7.829566 82.408022  51.584674 -4.837124   67481 -0.000057 0.002255 -0.000024
147 113027380792.000000  -0.008098 0.141398 69579  0.000931 0.007845 9.734378 122.571455  64.764033 -6.072960   66962 -0.000055 0.002055 -0.000068
148 113034976208.000000  -0.008911 0.159136 69577  0.001076 0.009074 9.845823 122.049511  74.866557 -7.020280   66536 -0.000070 0.002163 -0.000089
149 113042571624.000000  -0.009584 0.164888 69576  0.001259 0.009848 9.224142 106.522785  87.576834 -8.212130   66586 -0.000109 0.002187 -0.000152
150 113050167040.000000  -0.007938 0.190235 69577  0.001563 0.011054 9.039954 102.393629  108.721371 -10.194865   66365 -0.000047 0.002135 -0.000070
151 113057762456.000000  -0.010602 0.207304 69576  0.001786 0.012896 9.268463 104.367440  124.249305 -11.650928   66441 -0.000030 0.002344 0.000014
152 113065357872.000000  -0.009119 0.230014 69579  0.001960 0.014430 9.460613 106.576832  136.374321 -12.787898   66443 -0.000075 0.002241 -0.000082
153 113072953288.000000  -0.009473 0.263786 69578  0.002042 0.015158 9.792276 115.312317  142.058017 -13.320861   66355 -0.000084 0.002310 -0.000080
154 113080548704.000000  -0.011844 0.281412 69576  0.002043 0.015760 10.066972 121.248412  142.139071 -13.328462   66263 -0.000050 0.002252 -0.000009
155 113088144120.000000  -0.010307 0.218903 69577  0.001856 0.014185 9.394794 102.854093  129.133309 -12.108904   66317 -0.000084 0.002238 -0.000101
156 113095739536.000000  -0.009662 0.206564 69578  0.001763 0.013337 9.247124 99.984532  122.680416 -11.503813   66703 -0.000039 0.002180 -0.000058
157 113103334952.000000  -0.008523 0.221446 69578  0.001519 0.012456 9.759281 113.682618  105.722460 -9.913655   67070 -0.000080 0.002231 -0.000098
158 113110930368.000000  -0.009190 0.221420 69582  0.001337 0.011961 10.563058 132.536396  93.033353 -8.723791   67137 -0.000073 0.002242 -0.000104
159 113118525784.000000  -0.007546 0.184173 69583  0.001072 0.009995 10.412951 130.535991  74.561777 -6.991700   67229 -0.000101 0.002109 -0.000105
160 113126121200.000000  -0.011040 0.173330 69578  0.000918 0.009094 10.933067 145.686566  63.864862 -5.988645   67320 -0.000053 0.002163 -0.000053
161 113133716616.000000  -0.007513 0.152416 69580  0.000766 0.007750 11.171934 155.032460  53.310010 -4.998910   67750 -0.000042 0.002129 -0.000046
162 113141312032.000000  -0.007908 0.087439 69583  0.000451 0.005084 9.137259 114.806697  31.415059 -2.945808   68221 -0.000028 0.002163 -0.000039
163 113148907448.000000  -0.009835 0.057241 69580  0.000231 0.003424 6.222661 73.959069  16.074884 -1.507351   68185 0.000003 0.002087 0.000040
164 113156502864.000000  -0.008173 0.026294 69582  0.000053 0.002445 1.888315 15.116037  3.657667 -0.342981   68314 -0.000040 0.002015 -0.000044
165 113164098280.000000  -0.006802 0.011692 69584  0.000025 0.002016 0.202444 0.383290  1.772563 -0.166214   68915 0.000000 0.001929 -0.000038
166 113171693696.000000  -0.006727 0.008643 69589  -0.000006 0.002034 0.101330 -0.037272  -0.417478 0.039147   69114 -0.000020 0.001979 -0.000034
167 113179289112.000000  -0.007083 0.008207 69594  -0.000005 0.002027 0.108708 0.087869  -0.356212 0.033402   68985 -0.000028 0.001953 -0.000035
168 113186884528.000000  -0.007213 0.008447 69596  -0.000001 0.002007 -0.010397 0.049246  -0.089162 0.008361   68999 0.000004 0.001937 0.000010
169 113194479944.000000  -0.008940 0.007837 69596  -0.000018 0.002076 -0.079394 0.117875  -1.247719 0.116999   69022 -0.000000 0.002004 0.000008
170 113202075360.000000  -0.006847 0.009478 69598  -0.000003 0.001948 0.013167 0.005077  -0.193895 0.018182   69213 -0.000008 0.001900 -0.000006
171 113209670776.000000  -0.008361 0.007350 69597  -0.000034 0.002095 -0.073520 -0.148295  -2.392383 0.224335   69290 -0.000027 0.002056 0.000008
172 113217266192.000000  -0.008657 0.007483 69603  0.000019 0.002039 -0.002651 0.030611  1.346142 -0.126229   69105 0.000018 0.001978 0.000009
173 113224861608.000000  -0.007103 0.007261 69595  0.000020 0.002019 -0.028081 -0.155396  1.367748 -0.128255   69268 0.000021 0.001982 0.000054
174 113232457024.000000  -0.007589 0.007062 69601  -0.000028 0.002029 0.023927 -0.045454  -1.972912 0.185001   69129 -0.000031 0.001977 -0.000047
175 113240052440.000000  -0.007270 0.007688 69594  0.000000 0.001978 0.071237 -0.043423  0.011922 -0.001118   69186 0.000000 0.001929 -0.000048
176 113247647856.000000  -0.006963 0.007221 69592  0.000016 0.001930 0.054670 0.073143  1.143991 -0.107273   68973 0.000008 0.001861 -0.000026
177 113255243272.000000  -0.008199 0.007384 69609  -0.000044 0.002064 -0.013489 -0.065216  -3.078312 0.288655   69163 -0.000040 0.002010 -0.000040
178 113262838688.000000  -0.008335 0.008512 69574  -0.000006 0.001962 -0.000113 0.109259  -0.390594 0.036626   68999 -0.000004 0.001894 -0.000007
179 113270434104.000000  -0.008609 0.007224 69589  -0.000017 0.002009 -0.016133 -0.042277  -1.200053 0.112530   69181 -0.000013 0.001959 -0.000015
180 113278029520.000000  -0.008128 0.007640 69587  0.000020 0.001999 -0.119544 0.005920  1.388958 -0.130243   69102 0.000038 0.001942 0.000094
181 113285624936.000000  -0.007817 0.006973 69587  -0.000007 0.002082 -0.092955 0.004841  -0.510730 0.047891   69061 0.000007 0.002020 0.000003
182 113293220352.000000  -0.009334 0.008250 69586  0.000036 0.002077 0.004577 0.261875  2.507771 -0.235155   68863 0.000033 0.001982 0.000018
183 113300815768.000000  -0.007934 0.007688 69586  -0.000015 0.002052 0.059872 -0.030348  -1.038498 0.097381   69132 -0.000023 0.001996 -0.000035
184 113308411184.000000  -0.008334 0.007992 69583  -0.000030 0.002047 -0.056832 0.017366  -2.055327 0.192729   69074 -0.000027 0.001982 -0.000001
